GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
01001020100,140,01,001,33860,388,,,Census Tract 201,1912,752,1920,768,1912,1920,1622,1732,217,140,14,14,14,6,0,0,14,3,31,20
01001020200,140,01,001,33860,388,,,Census Tract 202,2170,822,1892,731,2170,1892,888,683,1217,1165,5,6,5,7,0,0,27,6,28,25
01001020300,140,01,001,33860,388,,,Census Tract 203,3373,1326,3339,1263,3373,3339,2576,2760,647,492,11,7,17,16,5,7,35,26,82,31
01001020400,140,01,001,33860,388,,,Census Tract 204,4386,1823,4556,1871,4386,4556,4086,4330,193,123,11,16,18,35,4,0,22,30,52,22
01001020500,140,01,001,33860,388,,,Census Tract 205,10766,4308,6040,2277,10766,6040,8666,5489,1437,358,48,25,296,72,9,0,90,26,220,70
01001020600,140,01,001,33860,388,,,Census Tract 206,3668,1452,3275,1292,3668,3275,2751,2658,740,547,10,11,9,5,1,0,83,15,74,34
01001020700,140,01,001,33860,388,,,Census Tract 207,2891,1301,2900,1348,2891,2900,2333,2553,435,284,11,23,13,12,3,3,43,11,53,14
01001020801,140,01,001,33860,388,,,Census Tract 208.01,3081,1169,2173,843,3081,2173,2690,1840,278,287,27,10,16,7,0,0,22,5,48,21
01001020802,140,01,001,33860,388,,,Census Tract 208.02,10435,4003,7287,2846,10435,7287,8744,6182,1387,952,49,35,61,24,7,0,47,18,140,73
01001020900,140,01,001,33860,388,,,Census Tract 209,5675,2320,4629,1865,5675,4629,4835,3895,679,636,14,18,20,11,3,0,43,16,81,53
01001021000,140,01,001,33860,388,,,Census Tract 210,2894,1261,2677,1173,2894,2677,2223,1914,603,720,18,20,3,1,0,2,19,2,28,18
01001021100,140,01,001,33860,388,,,Census Tract 211,3320,1598,2982,1384,3320,2982,1441,1184,1810,1766,14,6,2,1,0,0,21,4,32,21
01003010100,140,01,003,19300,380,,,Census Tract 101,3804,1984,4161,2345,3804,4161,2865,3026,826,1037,64,58,6,1,0,2,2,0,41,37
01003010200,140,01,003,19300,380,,,Census Tract 102,2902,1269,2634,1043,2902,2634,2469,2323,281,222,73,41,11,10,0,0,17,5,51,33
01003010300,140,01,003,19300,380,,,Census Tract 103,7826,3100,6511,2548,7826,6511,6091,5080,1437,1344,75,30,34,9,1,0,55,12,133,36
01003010400,140,01,003,19300,380,,,Census Tract 104,4736,1959,4442,1756,4736,4442,4339,4080,252,250,35,24,11,9,0,0,18,24,81,55
01003010500,140,01,003,19300,380,,,Census Tract 105,4815,1977,4566,1863,4815,4566,3922,4026,669,430,60,35,60,27,1,2,27,20,76,26
01003010600,140,01,003,19300,380,,,Census Tract 106,3325,1375,3724,1380,3325,3724,1323,1713,1851,1926,30,20,3,9,0,1,50,12,68,43
01003010701,140,01,003,19300,380,,,Census Tract 107.01,7882,3297,6510,2618,7882,6510,7426,6124,222,255,32,26,99,43,14,3,24,16,65,43
01003010703,140,01,003,19300,380,,,Census Tract 107.03,13166,5522,5299,2006,13166,5299,11582,4621,1071,563,47,15,206,28,2,2,86,19,172,45
01003010704,140,01,003,19300,380,,,Census Tract 107.04,5055,2166,4828,1964,5055,4828,4531,4561,331,177,22,11,58,18,0,0,35,9,78,46
01003010705,140,01,003,19300,380,,,Census Tract 107.05,8331,4279,6006,2925,8331,6006,6867,5157,1028,643,50,31,156,52,10,0,104,35,116,88
01003010800,140,01,003,19300,380,,,Census Tract 108,6861,3128,6254,2746,6861,6254,5050,4441,1639,1710,16,10,65,29,3,0,30,28,58,36
01003010903,140,01,003,19300,380,,,Census Tract 109.03,5173,2005,4156,1527,5173,4156,4000,3607,950,408,37,41,16,7,2,0,88,52,80,38
01003010904,140,01,003,19300,380,,,Census Tract 109.04,6831,2858,5489,2178,6831,5489,6361,4765,141,538,100,55,23,9,4,1,78,68,124,50
01003010905,140,01,003,19300,380,,,Census Tract 109.05,8011,3322,5990,2433,8011,5990,6896,5595,426,243,50,34,36,17,1,0,467,32,135,67
01003010906,140,01,003,19300,380,,,Census Tract 109.06,4302,1761,3217,1289,4302,3217,3914,3004,193,131,26,18,17,9,1,0,99,17,52,35
01003011000,140,01,003,19300,380,,,Census Tract 110,4305,1929,4101,1660,4305,4101,3656,3694,279,270,47,55,6,8,3,3,217,23,97,48
01003011101,140,01,003,19300,380,,,Census Tract 111.01,8397,3726,5216,2284,8397,5216,7655,4820,441,274,19,20,61,22,5,2,150,15,66,61
01003011102,140,01,003,19300,380,,,Census Tract 111.02,3715,1570,2307,962,3715,2307,3405,2132,156,121,19,8,17,9,1,0,71,7,46,26
01003011201,140,01,003,19300,380,,,Census Tract 112.01,4230,2285,4191,2075,4230,4191,4041,4021,111,93,2,10,30,31,1,0,12,9,33,27
01003011202,140,01,003,19300,380,,,Census Tract 112.02,5065,2848,5405,2826,5065,5405,3815,4088,1146,1217,9,6,21,30,1,0,34,6,39,58
01003011300,140,01,003,19300,380,,,Census Tract 113,4487,2431,3665,1937,4487,3665,4193,3464,182,139,11,13,8,7,0,0,36,4,57,38
01003011401,140,01,003,19300,380,,,Census Tract 114.01,10632,5088,6904,3187,10632,6904,8995,6009,956,657,82,31,42,23,5,5,342,71,210,102
01003011403,140,01,003,19300,380,,,Census Tract 114.03,9131,5726,4260,2387,9131,4260,8243,4140,197,38,46,25,57,10,9,0,433,5,146,42
01003011405,140,01,003,19300,380,,,Census Tract 114.05,3832,7970,3054,5247,3832,3054,3717,2942,5,7,25,16,28,7,0,0,11,30,46,49
