GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
04001942600,140,04,001,99999,999,,,Census Tract 9426,1578,667,1809,712,1578,1809,13,14,1,0,1550,1782,0,0,0,0,0,0,14,13
04001942700,140,04,001,99999,999,,,Census Tract 9427,5628,2393,5657,2676,5628,5657,96,97,2,0,5444,5498,12,0,1,6,14,11,59,45
04001944000,140,04,001,99999,999,,,Census Tract 9440,6043,2359,5830,2281,6043,5830,244,216,12,7,5581,5495,57,14,4,2,19,14,126,82
04001944100,140,04,001,99999,999,,,Census Tract 9441,5870,2418,5207,2454,5870,5207,65,70,3,1,5725,5083,1,2,0,1,1,14,75,36
04001944201,140,04,001,99999,999,,,Census Tract 9442.01,4010,1383,4395,1451,4010,4395,244,184,15,5,3662,4132,11,4,0,1,2,23,76,42
04001944202,140,04,001,99999,999,,,Census Tract 9442.02,4053,1485,4443,1558,4053,4443,59,187,1,6,3951,4176,3,4,0,1,3,24,36,43
04001944300,140,04,001,99999,999,,,Census Tract 9443,6958,2912,6881,3176,6958,6881,101,162,5,8,6746,6624,2,5,1,1,8,11,95,70
04001944901,140,04,001,99999,999,,,Census Tract 9449.01,4021,1810,4429,2137,4021,4429,91,132,5,1,3823,4263,13,1,3,0,4,13,82,17
04001944902,140,04,001,99999,999,,,Census Tract 9449.02,4853,2037,5347,2404,4853,5347,77,159,3,2,4708,5146,3,2,0,0,3,15,59,20
04001945001,140,04,001,99999,999,,,Census Tract 9450.01,4497,1601,4824,1596,4497,4824,163,153,4,5,4193,4595,23,8,7,0,13,10,94,51
04001945002,140,04,001,99999,999,,,Census Tract 9450.02,3916,1626,4202,1622,3916,4202,76,134,1,4,3734,4001,1,6,0,0,11,8,93,45
04001945100,140,04,001,99999,999,,,Census Tract 9451,2221,774,2007,760,2221,2007,246,213,10,8,1900,1702,4,1,1,1,14,27,46,55
04001970200,140,04,001,99999,999,,,Census Tract 9702,4990,3412,3466,2086,4990,3466,4437,2973,21,32,179,103,31,18,7,2,165,202,150,136
04001970300,140,04,001,99999,999,,,Census Tract 9703,3523,1558,3436,1538,3523,3436,2835,2600,52,59,209,221,11,8,0,1,278,451,138,96
04001970501,140,04,001,99999,999,,,Census Tract 9705.01,5081,2140,4108,1828,5081,4108,4396,3574,32,13,181,150,18,9,2,12,286,219,166,129
04001970502,140,04,001,99999,999,,,Census Tract 9705.02,4276,3939,3378,3337,4276,3378,3491,2664,8,18,568,400,13,7,0,8,83,171,113,106
04003000100,140,04,003,43420,999,,,Census Tract 1,1971,1348,2274,1274,1971,2274,1701,1904,9,7,30,9,12,2,2,11,147,270,70,71
04003000201,140,04,003,43420,999,,,Census Tract 2.01,3747,1603,3548,1446,3747,3548,2831,2898,16,15,52,49,7,21,6,0,725,455,110,107
04003000202,140,04,003,43420,999,,,Census Tract 2.02,3982,1826,3772,1648,3982,3772,2700,3080,43,16,52,52,25,23,7,0,1032,483,123,114
04003000203,140,04,003,43420,999,,,Census Tract 2.03,2740,1763,2595,1591,2740,2595,2542,2119,15,11,35,36,19,15,10,0,64,332,55,78
04003000301,140,04,003,43420,999,,,Census Tract 3.01,4212,2285,3704,2064,4212,3704,3677,3379,30,19,41,39,27,13,5,4,271,160,161,88
04003000302,140,04,003,43420,999,,,Census Tract 3.02,4851,2534,4267,2288,4851,4267,4493,3893,33,22,58,45,25,15,6,4,113,184,123,101
04003000303,140,04,003,43420,999,,,Census Tract 3.03,3457,1676,3040,1513,3457,3040,3189,2773,20,16,34,32,20,11,6,3,89,131,99,72
04003000400,140,04,003,43420,999,,,Census Tract 4,2206,1391,2200,1234,2206,2200,2043,1959,10,11,22,20,13,12,1,5,56,141,61,52
04003000500,140,04,003,43420,999,,,Census Tract 5,5651,2079,5229,1716,5651,5229,4168,3818,360,326,194,126,27,19,3,1,796,823,103,116
04003000600,140,04,003,43420,999,,,Census Tract 6,2984,1205,3375,1143,2984,3375,2089,2018,29,33,35,127,16,19,1,5,745,1069,69,104
04003000700,140,04,003,43420,999,,,Census Tract 7,5196,1619,4052,1333,5196,4052,3609,2398,82,9,50,12,18,20,7,0,1291,1498,139,115
04003000800,140,04,003,43420,999,,,Census Tract 8,5160,1972,4951,1853,5160,4951,3673,3187,36,13,48,38,44,29,4,9,1217,1529,138,146
04003000901,140,04,003,43420,999,,,Census Tract 9.01,3586,1427,3768,1447,3586,3768,2496,2387,23,25,40,22,8,12,0,2,886,1201,133,115
04003000902,140,04,003,43420,999,,,Census Tract 9.02,2846,1165,2990,1181,2846,2990,1937,1894,22,19,28,17,6,10,2,2,777,954,74,92
04003001000,140,04,003,43420,999,,,Census Tract 10,1656,1225,1920,1264,1656,1920,1405,1657,34,12,24,20,7,10,1,3,113,169,72,49
04003001100,140,04,003,43420,999,,,Census Tract 11,3599,1884,3901,1890,3599,3901,2860,3016,30,19,45,42,8,12,3,3,505,705,148,104
04003001200,140,04,003,43420,999,,,Census Tract 12,3036,1416,2856,1300,3036,2856,2555,2260,26,25,36,48,19,16,5,0,330,415,65,92
04003001300,140,04,003,43420,999,,,Census Tract 13,5613,2606,4876,2251,5613,4876,4651,3933,201,208,84,87,88,51,27,4,312,365,250,228
04003001401,140,04,003,43420,999,,,Census Tract 14.01,4359,611,6548,1303,4359,6548,3060,4039,676,1336,29,56,142,182,30,29,147,504,275,399
04003001402,140,04,003,43420,999,,,Census Tract 14.02,1251,340,1879,725,1251,1879,921,1159,158,383,15,16,38,52,3,8,30,144,86,114
04003001501,140,04,003,43420,999,,,Census Tract 15.01,3636,1918,3723,2001,3636,3723,2554,2602,344,345,58,43,109,116,35,22,288,365,248,227
04003001502,140,04,003,43420,999,,,Census Tract 15.02,3812,1820,3903,1899,3812,3903,2818,2728,308,361,63,46,103,121,19,24,294,383,207,237
04003001601,140,04,003,43420,999,,,Census Tract 16.01,4825,2152,4490,1987,4825,4490,3555,3409,402,388,49,41,202,183,31,14,249,234,337,219
04003001602,140,04,003,43420,999,,,Census Tract 16.02,3441,1756,3202,1621,3441,3202,2482,2431,322,276,67,29,120,131,15,9,240,166,195,156
04003001701,140,04,003,43420,999,,,Census Tract 17.01,4274,2191,3251,1628,4274,3251,3100,2514,355,252,61,25,140,99,22,17,371,193,225,149
04003001702,140,04,003,43420,999,,,Census Tract 17.02,3978,1689,3026,1255,3978,3026,2878,2339,320,234,37,23,162,92,28,16,319,180,234,138
