GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
05001480100,140,05,001,99999,999,,,Census Tract 4801,1435,879,1656,902,1435,1656,1254,1376,164,260,1,6,1,0,0,0,2,1,13,13
05001480200,140,05,001,99999,999,,,Census Tract 4802,1643,886,1936,948,1643,1936,1478,1675,140,225,3,4,4,6,1,0,1,0,16,26
05001480300,140,05,001,99999,999,,,Census Tract 4803,3129,1408,3624,1490,3129,3624,1865,2264,1100,1304,11,6,45,23,1,0,61,5,46,22
05001480400,140,05,001,99999,999,,,Census Tract 4804,2518,1200,2770,1207,2518,2770,830,1021,1609,1721,2,2,4,10,0,1,30,6,43,9
05001480500,140,05,001,99999,999,,,Census Tract 4805,4151,1936,3929,1911,4151,3929,3131,3411,797,440,8,16,20,26,0,0,135,9,60,27
05001480600,140,05,001,99999,999,,,Census Tract 4806,1747,798,1883,797,1747,1883,1598,1785,101,79,5,6,5,0,0,0,14,1,24,12
05001480700,140,05,001,99999,999,,,Census Tract 4807,2972,1402,3297,1467,2972,3297,2238,2569,628,686,4,0,11,9,0,0,59,6,32,27
05001480800,140,05,001,99999,999,,,Census Tract 4808,1424,927,1654,950,1424,1654,1265,1501,122,133,2,4,2,0,0,0,18,16,15,0
05003960100,140,05,003,99999,999,,,Census Tract 9601,1928,912,2457,1083,1928,2457,1153,1407,655,947,6,2,1,0,0,0,85,75,28,26
05003960200,140,05,003,99999,999,,,Census Tract 9602,2694,1237,2698,1182,2694,2698,2356,2381,207,233,14,13,0,0,0,0,85,56,32,15
05003960300,140,05,003,99999,999,,,Census Tract 9603,4982,2077,4975,2079,4982,4975,3425,3454,1076,1206,28,15,5,5,2,4,397,190,49,101
05003960400,140,05,003,99999,999,,,Census Tract 9604,1801,966,2192,1024,1801,2192,1196,1331,559,810,4,7,0,1,0,1,27,26,15,16
