GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
09001010101,140,09,001,14860,408,,,Census Tract 101.01,4476,1778,4661,1643,4476,4661,4139,4399,55,32,2,2,210,164,1,0,32,18,37,46
09001010102,140,09,001,14860,408,,,Census Tract 101.02,4330,1653,4476,1594,4330,4476,3985,4221,49,33,3,3,212,154,0,3,29,35,52,27
09001010201,140,09,001,14860,408,,,Census Tract 102.01,3421,1156,3435,1087,3421,3435,3129,3224,28,38,0,4,166,109,0,0,37,33,61,27
09001010202,140,09,001,14860,408,,,Census Tract 102.02,5359,2004,5218,1941,5359,5218,4688,4720,46,14,8,3,425,386,1,2,61,32,130,61
09001010400,140,09,001,14860,408,,,Census Tract 104,5290,2343,5116,2171,5290,5116,4593,4743,64,34,13,3,341,213,0,2,171,55,108,66
09001010500,140,09,001,14860,408,,,Census Tract 105,5494,2724,5567,2529,5494,5567,3990,4412,451,410,10,12,494,313,6,0,365,210,178,210
09001010600,140,09,001,14860,408,,,Census Tract 106,1845,1252,2121,1250,1845,2121,1549,1800,69,48,8,1,150,145,0,1,30,56,39,70
09001010700,140,09,001,14860,408,,,Census Tract 107,3579,1873,3699,1833,3579,3699,2968,3152,137,187,2,7,291,181,0,0,90,102,91,70
09001010800,140,09,001,14860,408,,,Census Tract 108,3388,1434,3386,1422,3388,3386,2915,3055,42,19,1,4,312,245,2,0,46,17,70,46
09001010900,140,09,001,14860,408,,,Census Tract 109,4870,1983,4812,1949,4870,4812,4003,4112,141,75,3,3,537,481,3,3,113,64,70,74
09001011000,140,09,001,14860,408,,,Census Tract 110,5263,1911,5143,1887,5263,5143,4809,4772,44,41,10,3,234,233,1,0,46,25,119,69
09001020200,140,09,001,14860,408,,,Census Tract 202,3687,1372,3674,1326,3687,3674,3289,3406,107,106,2,3,172,95,0,2,38,19,79,43
09001020300,140,09,001,14860,408,,,Census Tract 203,7263,2587,7275,2510,7263,7275,6432,6665,243,234,11,3,418,279,1,2,48,34,110,58
09001020500,140,09,001,14860,408,,,Census Tract 205,4896,1830,4920,1764,4896,4920,4332,4408,134,135,4,3,298,216,0,2,58,50,70,106
09001020600,140,09,001,14860,408,,,Census Tract 206,4952,1802,4662,1702,4952,4662,3927,4095,273,167,0,1,413,263,1,1,210,80,128,55
09001020800,140,09,001,14860,408,,,Census Tract 208,2939,999,2745,968,2939,2745,2530,2511,96,48,13,0,207,116,0,0,38,15,55,55
09001020900,140,09,001,14860,408,,,Census Tract 209,4906,2180,4366,1970,4906,4366,3789,3717,436,188,5,3,361,217,2,3,223,149,90,89
