GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
11001007403,140,11,001,47900,548,,,Census Tract 74.03,2859,1180,2308,1040,2859,2308,12,10,2811,2262,4,6,7,1,0,0,1,10,24,19
11001001902,140,11,001,47900,548,,,Census Tract 19.02,1969,861,2062,855,1969,2062,237,106,1537,1841,2,5,24,7,0,0,91,47,78,56
11001002001,140,11,001,47900,548,,,Census Tract 20.01,2340,1026,2435,1128,2340,2435,598,538,1172,1510,10,11,61,34,4,2,399,247,96,93
11001002002,140,11,001,47900,548,,,Census Tract 20.02,3813,1436,3781,1395,3813,3781,778,508,2297,2785,14,16,54,40,9,2,459,285,202,145
11001002101,140,11,001,47900,548,,,Census Tract 21.01,5309,2183,5233,2163,5309,5233,675,253,3301,4241,34,16,99,45,9,5,957,488,234,185
11001002102,140,11,001,47900,548,,,Census Tract 21.02,4648,2173,4631,2197,4648,4631,398,118,3583,4162,15,17,27,19,0,2,500,207,125,106
11001002201,140,11,001,47900,548,,,Census Tract 22.01,3442,1186,3505,1190,3442,3505,432,170,2331,2981,12,20,55,14,0,1,524,219,88,100
11001002600,140,11,001,47900,548,,,Census Tract 26,2166,1001,2184,990,2166,2184,916,693,1026,1344,6,5,67,40,0,0,59,49,92,53
11001007000,140,11,001,47900,548,,,Census Tract 70,2812,1268,2132,1133,2812,2132,2209,1497,433,496,8,8,65,51,4,2,29,38,64,40
11001007100,140,11,001,47900,548,,,Census Tract 71,2911,1461,2818,1204,2911,2818,977,241,1703,2417,15,9,72,57,0,1,40,46,104,47
11001007200,140,11,001,47900,548,,,Census Tract 72,2794,2370,1825,911,2794,1825,1670,60,862,1732,4,4,144,7,0,2,29,4,85,16
11001007301,140,11,001,47900,548,,,Census Tract 73.01,3012,991,5234,1450,3012,5234,1791,3037,767,1572,21,39,110,183,13,35,116,166,194,202
11001007304,140,11,001,47900,548,,,Census Tract 73.04,3546,1376,4665,1622,3546,4665,41,40,3443,4564,10,17,7,6,1,0,11,1,33,37
11001007401,140,11,001,47900,548,,,Census Tract 74.01,2414,935,2996,971,2414,2996,17,14,2349,2943,10,1,5,0,0,0,12,12,21,26
11001007502,140,11,001,47900,548,,,Census Tract 75.02,4541,1898,4221,1745,4541,4221,43,42,4380,4101,4,3,8,8,0,0,19,5,87,62
11001007503,140,11,001,47900,548,,,Census Tract 75.03,2425,1000,2515,979,2425,2515,39,28,2319,2445,8,3,6,5,0,1,16,4,37,29
11001009509,140,11,001,47900,548,,,Census Tract 95.09,2940,1320,2898,1280,2940,2898,165,47,2592,2787,5,9,33,5,0,0,93,2,52,48
11001009601,140,11,001,47900,548,,,Census Tract 96.01,2445,847,2343,867,2445,2343,27,11,2359,2290,3,10,5,7,3,0,23,4,25,21
11001009602,140,11,001,47900,548,,,Census Tract 96.02,3280,1545,3106,1367,3280,3106,24,10,3166,3046,9,9,3,5,0,3,18,13,60,20
11001009603,140,11,001,47900,548,,,Census Tract 96.03,3373,1750,3230,1768,3373,3230,25,13,3236,3158,10,8,7,9,1,2,26,2,68,38
11001009604,140,11,001,47900,548,,,Census Tract 96.04,1962,998,1982,1001,1962,1982,31,13,1865,1940,4,7,1,1,0,0,24,8,37,13
11001009700,140,11,001,47900,548,,,Census Tract 97,3177,1307,2309,984,3177,2309,20,3,3098,2281,6,1,4,2,5,0,8,2,36,20
11001009811,140,11,001,47900,548,,,Census Tract 98.11,4365,1979,3778,1894,4365,3778,13,28,4246,3693,12,8,4,6,0,1,18,8,72,30
11001009901,140,11,001,47900,548,,,Census Tract 99.01,2249,1070,2302,1074,2249,2302,94,92,2094,2161,15,7,3,0,0,2,6,7,37,33
11001000501,140,11,001,47900,548,,,Census Tract 5.01,3376,2186,2765,1878,3376,2765,2853,2383,124,134,7,6,249,155,1,2,33,20,109,65
