GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
13001950200,140,13,001,99999,999,,,Census Tract 9502,4530,2063,4452,1982,4530,4452,2194,2207,2027,2126,5,0,18,15,0,0,230,73,56,31
13001950300,140,13,001,99999,999,,,Census Tract 9503,5176,2260,4830,2142,5176,4830,3749,3923,778,618,12,28,85,26,12,0,481,197,59,38
13003960100,140,13,003,20060,999,,,Census Tract 9601,2077,951,2121,947,2077,2121,1195,1321,548,590,18,0,4,7,3,0,267,171,42,32
13003960200,140,13,003,20060,999,,,Census Tract 9602,5053,2035,4253,1719,5053,4253,3015,2699,864,851,16,23,16,2,21,2,1044,633,77,43
13003960300,140,13,003,20060,999,,,Census Tract 9603,1245,536,1235,505,1245,1235,1003,1062,41,51,13,5,3,0,0,0,174,111,11,6
13005970201,140,13,005,99999,999,,,Census Tract 9702.01,4233,1839,3858,1728,4233,3858,3056,3027,914,719,9,4,24,11,5,0,165,63,60,33
13005970202,140,13,005,99999,999,,,Census Tract 9702.02,3806,1644,3468,1545,3806,3468,2950,2721,617,646,3,3,9,9,0,0,180,56,47,29
13007960100,140,13,007,10500,999,,,Census Tract 9601,2198,1030,2643,1112,2198,2643,994,1190,1108,1378,5,5,9,0,1,0,47,51,34,19
13009970200,140,13,009,33300,999,,,Census Tract 9702,6883,3448,6310,2979,6883,6310,4253,4441,2232,1695,27,12,128,79,1,0,140,32,102,45
13009970400,140,13,009,33300,999,,,Census Tract 9704,4336,2100,4891,1883,4336,4891,2300,2546,1797,2196,5,5,110,113,2,0,59,9,63,22
13009970701,140,13,009,33300,999,,,Census Tract 9707.01,2632,1053,3008,1187,2632,3008,689,853,1885,2079,6,8,14,22,0,0,4,8,34,38
13009970702,140,13,009,33300,999,,,Census Tract 9707.02,2297,889,6691,1037,2297,6691,942,3210,1286,3349,1,12,30,79,1,0,5,7,32,34
13011970100,140,13,011,99999,999,,,Census Tract 9701,5208,2201,4340,1762,5208,4340,4701,4044,46,73,7,9,56,25,0,7,355,148,43,34
13011970200,140,13,011,99999,999,,,Census Tract 9702,5017,2112,3951,1647,5017,3951,4728,3694,128,172,22,19,30,8,0,0,53,36,56,22
13011970300,140,13,011,99999,999,,,Census Tract 9703,4366,1834,3525,1399,4366,3525,4051,3334,91,62,11,6,17,20,2,1,128,72,66,30
13013180103,140,13,013,12060,122,,,Census Tract 1801.03,4668,1714,3465,1217,4668,3465,3938,3127,252,89,10,14,301,116,0,1,98,60,69,55
13013180104,140,13,013,12060,122,,,Census Tract 1801.04,2016,750,2025,716,2016,2025,1713,1846,92,73,6,6,78,50,0,0,86,24,41,23
13013180105,140,13,013,12060,122,,,Census Tract 1801.05,2501,905,1856,642,2501,1856,2170,1675,114,48,3,7,124,62,2,0,44,32,44,29
13013180108,140,13,013,12060,122,,,Census Tract 1801.08,2931,1102,2944,1051,2931,2944,2482,2684,181,107,12,8,118,74,1,1,91,34,46,33
13013180203,140,13,013,12060,122,,,Census Tract 1802.03,3187,1307,2639,1053,3187,2639,1788,1747,1012,787,17,7,64,33,0,3,191,18,115,41
13013180205,140,13,013,12060,122,,,Census Tract 1802.05,4042,1745,3556,1488,4042,3556,2965,2911,715,477,6,4,66,54,6,0,167,48,117,58
13013180302,140,13,013,12060,122,,,Census Tract 1803.02,5749,2209,3376,1298,5749,3376,4722,3113,391,95,13,7,122,50,8,1,327,55,166,53
13013180303,140,13,013,12060,122,,,Census Tract 1803.03,4229,1595,2483,937,4229,2483,3604,2289,214,70,17,5,175,36,10,1,129,41,80,38
13013180401,140,13,013,12060,122,,,Census Tract 1804.01,5191,2007,2613,1004,5191,2613,4329,2137,476,403,23,9,131,21,1,0,118,13,113,27
13013180501,140,13,013,12060,122,,,Census Tract 1805.01,5079,1744,2570,890,5079,2570,3864,2126,659,259,19,8,212,82,4,0,214,65,107,28
13013180502,140,13,013,12060,122,,,Census Tract 1805.02,4534,1658,2295,846,4534,2295,3657,1898,389,231,16,7,137,73,0,0,235,58,100,25
13013180503,140,13,013,12060,122,,,Census Tract 1805.03,5404,1910,2735,975,5404,2735,3962,2262,905,276,11,9,186,87,0,0,196,69,144,29
13015960101,140,13,015,12060,122,,,Census Tract 9601.01,1694,678,1310,497,1694,1310,1630,1263,8,18,2,5,1,3,0,0,41,6,12,12
13015960102,140,13,015,12060,122,,,Census Tract 9601.02,9507,3721,7356,2729,9507,7356,8860,7092,272,106,23,28,26,22,4,0,160,36,162,69
13015960200,140,13,015,12060,122,,,Census Tract 9602,10802,4320,7756,3081,10802,7756,9598,6834,788,709,34,17,59,57,2,5,170,67,151,67
13015960300,140,13,015,12060,122,,,Census Tract 9603,6647,2511,4085,1584,6647,4085,5879,3704,456,318,18,3,54,6,1,2,101,13,138,39
13015960401,140,13,015,12060,122,,,Census Tract 9604.01,8944,3807,5928,2263,8944,5928,6316,5056,1468,631,39,13,93,40,12,1,731,110,285,76
13015960402,140,13,015,12060,122,,,Census Tract 9604.02,8926,3430,5917,2040,8926,5917,7188,5045,1149,630,29,12,133,39,0,1,257,110,170,75
13015960700,140,13,015,12060,122,,,Census Tract 9607,7249,3147,5747,2345,7249,5747,4960,4343,1247,1026,42,15,109,45,34,3,582,237,275,78
13015960801,140,13,015,12060,122,,,Census Tract 9608.01,3579,1397,3171,1188,3579,3171,2977,2828,256,214,24,9,49,36,0,1,175,27,98,56
13015960802,140,13,015,12060,122,,,Census Tract 9608.02,3316,1337,2911,1108,3316,2911,2996,2751,96,32,11,8,13,18,1,0,150,78,49,24
13015960901,140,13,015,12060,122,,,Census Tract 9609.01,2839,1116,2487,920,2839,2487,2529,2245,167,188,9,3,8,5,2,0,76,21,48,22
13015960902,140,13,015,12060,122,,,Census Tract 9609.02,6737,2383,5901,1965,6737,5901,5657,5329,728,447,57,8,20,13,0,0,166,49,109,53
13015961000,140,13,015,12060,122,,,Census Tract 9610,8415,2917,6209,2200,8415,6209,7572,5806,490,278,32,28,39,19,0,0,141,43,141,35
13017960100,140,13,017,22340,999,,,Census Tract 9601,2286,1100,2230,971,2286,2230,2027,2019,193,157,8,7,4,1,0,0,23,25,31,21
13017960300,140,13,017,22340,999,,,Census Tract 9603,4002,1782,3909,1761,4002,3909,2196,2517,1508,1217,24,15,47,10,1,0,157,122,69,28
13017960500,140,13,017,22340,999,,,Census Tract 9605,5825,2670,6002,2640,5825,6002,3139,3470,2440,2322,12,6,51,25,0,0,128,136,55,43
13019970200,140,13,019,99999,999,,,Census Tract 9702,3947,1681,2952,1196,3947,2952,3483,2642,139,146,5,2,16,5,1,10,252,121,51,26
13019970300,140,13,019,99999,999,,,Census Tract 9703,2882,1323,2573,1194,2882,2573,2609,2413,175,122,15,9,21,3,0,1,28,5,34,20
13019970500,140,13,019,99999,999,,,Census Tract 9705,3761,1659,3379,1446,3761,3379,3179,2908,454,409,6,7,13,8,2,0,58,16,49,31
13021010800,140,13,021,31420,356,,,Census Tract 108,1315,1058,1506,1048,1315,1506,988,1157,265,286,1,3,23,32,1,1,11,4,26,23
13021011000,140,13,021,31420,356,,,Census Tract 110,4972,2741,4814,2767,4972,4814,1980,2341,2842,2330,8,13,30,43,1,1,50,32,61,54
13021011701,140,13,021,31420,356,,,Census Tract 117.01,2539,1009,2134,1010,2539,2134,269,395,2143,1724,1,1,5,3,20,0,65,2,36,9
13021011800,140,13,021,31420,356,,,Census Tract 118,3625,1861,3428,1901,3625,3428,2516,2861,955,442,12,9,52,61,1,4,36,9,53,42
13021011900,140,13,021,31420,356,,,Census Tract 119,2167,1225,2343,1179,2167,2343,1157,1371,941,906,3,5,9,12,1,0,11,23,45,26
13021012000,140,13,021,31420,356,,,Census Tract 120,4330,2091,4160,1980,4330,4160,3506,3876,660,208,7,0,82,45,0,1,27,10,48,20
13021012102,140,13,021,31420,356,,,Census Tract 121.02,4673,2506,4706,2385,4673,4706,3170,3884,1251,644,12,12,105,100,0,4,52,24,83,34
13021012200,140,13,021,31420,356,,,Census Tract 122,2341,1070,2095,964,2341,2095,706,623,1537,1428,2,1,30,4,0,0,30,17,36,22
13021012400,140,13,021,31420,356,,,Census Tract 124,4305,1859,4665,1910,4305,4665,344,655,3871,3960,5,2,12,5,0,0,19,11,54,32
13021012700,140,13,021,31420,356,,,Census Tract 127,2184,1014,2623,1049,2184,2623,142,265,1968,2336,4,2,1,1,0,0,36,9,33,10
13021012800,140,13,021,31420,356,,,Census Tract 128,3260,1442,3624,1539,3260,3624,398,1087,2776,2484,4,7,11,26,0,0,23,1,48,19
13021013101,140,13,021,31420,356,,,Census Tract 131.01,6119,2325,6649,2457,6119,6649,998,2030,4927,4479,20,20,20,11,0,1,89,47,65,56
13021013201,140,13,021,31420,356,,,Census Tract 132.01,6034,2624,5424,2339,6034,5424,872,1452,4915,3796,6,9,49,74,6,1,87,48,99,44
13021013202,140,13,021,31420,356,,,Census Tract 132.02,2952,1424,3369,1482,2952,3369,436,983,2375,2288,7,3,14,16,0,0,79,56,41,22
13021013407,140,13,021,31420,356,,,Census Tract 134.07,4229,1955,3664,1645,4229,3664,2368,2887,1530,555,5,4,116,158,0,0,118,20,92,37
13021013408,140,13,021,31420,356,,,Census Tract 134.08,4418,1728,3828,1454,4418,3828,3525,3016,516,580,4,4,303,165,0,0,16,21,54,38
13021013409,140,13,021,31420,356,,,Census Tract 134.09,4143,1703,3788,1381,4143,3788,2821,3262,1033,371,11,3,161,102,6,0,24,7,87,40
13021013410,140,13,021,31420,356,,,Census Tract 134.10,5582,2523,5105,2047,5582,5105,4767,4395,541,500,8,5,207,137,0,1,21,10,38,54
13021013411,140,13,021,31420,356,,,Census Tract 134.11,4039,2058,3499,1732,4039,3499,2496,2757,1170,530,15,3,203,151,11,0,61,19,83,35
13021013502,140,13,021,31420,356,,,Census Tract 135.02,1927,879,2114,988,1927,2114,1564,1860,185,184,4,9,14,5,29,0,93,27,38,29
