GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
15001020100,140,15,001,25900,999,,,Census Tract 201,5213,2108,4961,1905,5213,4961,1340,993,24,15,10,28,1867,2216,492,316,49,57,1431,1336
15001020202,140,15,001,25900,999,,,Census Tract 202.02,2568,692,1805,668,2568,1805,794,387,24,2,4,5,772,754,409,132,59,7,506,518
15001020300,140,15,001,25900,999,,,Census Tract 203,3934,1874,3779,1816,3934,3779,1205,1123,39,36,29,17,885,974,640,433,44,70,1092,1126
15001020400,140,15,001,25900,999,,,Census Tract 204,3294,1454,3098,1515,3294,3098,706,627,22,15,16,16,857,966,528,410,32,36,1133,1028
15001020500,140,15,001,25900,999,,,Census Tract 205,5924,2389,5918,2508,5924,5918,1083,1099,58,58,29,28,1675,1942,1088,911,43,79,1948,1801
15001020600,140,15,001,25900,999,,,Census Tract 206,5391,1935,4909,1902,5391,4909,664,682,28,12,15,24,840,834,1742,1689,14,25,2088,1643
15001020701,140,15,001,25900,999,,,Census Tract 207.01,4507,1866,4535,1783,4507,4535,492,467,26,14,8,10,2226,2476,403,359,31,25,1321,1184
15001020702,140,15,001,25900,999,,,Census Tract 207.02,4861,1779,4782,1675,4861,4782,570,529,13,15,4,6,2466,2588,358,314,11,27,1439,1303
15001020801,140,15,001,25900,999,,,Census Tract 208.01,4310,1472,3651,1175,4310,3651,724,630,12,10,9,10,1718,1619,394,298,22,22,1431,1062
15001020802,140,15,001,25900,999,,,Census Tract 208.02,6196,2353,5745,2104,6196,5745,1330,1163,17,11,14,19,2354,2346,608,531,34,59,1839,1616
15001020900,140,15,001,25900,999,,,Census Tract 209,4729,1730,4203,1494,4729,4203,793,626,11,12,8,7,1799,1829,359,383,23,40,1736,1306
15001021003,140,15,001,25900,999,,,Census Tract 210.03,6391,2508,4045,1514,6391,4045,1859,1245,48,20,32,23,1152,947,948,425,84,39,2268,1342
15001021005,140,15,001,25900,999,,,Census Tract 210.05,11012,4414,6970,2666,11012,6970,3909,2146,88,35,69,40,1991,1633,1289,733,119,68,3547,2313
15001021010,140,15,001,25900,999,,,Census Tract 210.10,7884,3975,5518,2688,7884,5518,3541,1958,64,35,60,37,612,1172,813,546,74,72,2720,1694
15001021011,140,15,001,25900,999,,,Census Tract 210.11,4009,1892,2806,1279,4009,2806,1258,996,14,18,23,18,603,596,391,278,60,36,1660,861
