GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
16001000100,140,16,001,14260,999,,,Census Tract 1,3897,2708,3093,2091,3897,3093,3408,2811,67,50,54,42,100,48,4,7,52,45,212,90
16001000201,140,16,001,14260,999,,,Census Tract 2.01,3196,1447,3021,1261,3196,3021,3043,2887,18,10,16,8,43,39,2,3,18,28,56,43
16001000202,140,16,001,14260,999,,,Census Tract 2.02,5435,2359,5138,2057,5435,5138,5191,4910,25,18,8,14,102,66,2,6,27,48,80,73
16001000500,140,16,001,14260,999,,,Census Tract 5,5957,2846,6080,2766,5957,6080,5501,5740,83,41,41,52,91,47,9,6,53,44,179,150
16001000600,140,16,001,14260,999,,,Census Tract 6,5446,2969,5575,2966,5446,5575,5158,5314,19,19,24,32,69,36,4,15,49,74,123,85
16001000701,140,16,001,14260,999,,,Census Tract 7.01,4686,2570,4446,2391,4686,4446,4333,4192,44,28,31,19,111,71,6,4,53,49,108,80
16001000702,140,16,001,14260,999,,,Census Tract 7.02,3144,1151,2982,1070,3144,2982,2931,2812,26,18,12,13,81,47,1,3,23,33,70,53
16001000802,140,16,001,14260,999,,,Census Tract 8.02,5397,2643,5761,2519,5397,5761,4960,5363,39,49,23,21,146,116,27,14,57,66,145,132
16005981800,140,16,005,38540,999,,,Census Tract 9818,278,123,564,123,278,564,256,525,0,5,4,27,0,1,0,0,4,6,14,0
16001000803,140,16,001,14260,999,,,Census Tract 8.03,4354,1907,4885,1853,4354,4885,4037,4556,48,57,22,20,100,89,26,11,44,39,77,113
16001000804,140,16,001,14260,999,,,Census Tract 8.04,5604,3616,5417,3028,5604,5417,4807,4969,62,55,39,28,335,166,30,8,130,73,201,116
16001000900,140,16,001,14260,999,,,Census Tract 9,5760,2405,5572,2285,5760,5572,4911,4873,122,82,58,85,167,153,15,10,272,217,215,152
16001001000,140,16,001,14260,999,,,Census Tract 10,5997,3295,6608,3073,5997,6608,5280,5939,270,59,50,86,80,122,15,7,112,143,190,252
16001001201,140,16,001,14260,999,,,Census Tract 12.01,3484,1493,3643,1420,3484,3643,3253,3494,40,9,33,18,34,32,9,1,47,27,68,62
16001001202,140,16,001,14260,999,,,Census Tract 12.02,6391,3463,6076,3004,6391,6076,5365,5464,200,44,56,40,237,203,7,8,272,165,254,152
16001001400,140,16,001,14260,999,,,Census Tract 14,5382,2840,5645,2698,5382,5645,4649,5119,147,52,48,41,158,103,8,10,186,197,186,123
16001001500,140,16,001,14260,999,,,Census Tract 15,3494,1732,3733,1648,3494,3733,3218,3498,37,39,27,26,44,49,15,3,61,56,92,62
16001001700,140,16,001,14260,999,,,Census Tract 17,5715,2686,5453,2378,5715,5453,4808,4759,190,72,53,77,106,70,37,24,307,236,214,215
16001001800,140,16,001,14260,999,,,Census Tract 18,4485,2034,4728,1934,4485,4728,4006,4326,47,48,27,20,93,99,11,12,146,83,155,140
16001001900,140,16,001,14260,999,,,Census Tract 19,5070,2194,5413,2139,5070,5413,4430,5029,53,28,61,36,102,106,27,3,235,79,162,132
16001002100,140,16,001,14260,999,,,Census Tract 21,1807,793,2249,883,1807,2249,1678,2136,8,4,17,25,27,27,2,2,35,24,40,31
16001002221,140,16,001,14260,999,,,Census Tract 22.21,8585,3116,6769,2283,8585,6769,7934,6393,45,20,65,45,209,110,32,9,87,77,213,115
16001002222,140,16,001,14260,999,,,Census Tract 22.22,5144,1928,1373,470,5144,1373,4576,1327,41,4,33,6,139,13,63,4,131,4,161,15
16001002224,140,16,001,14260,999,,,Census Tract 22.24,5637,2136,4643,1627,5637,4643,5042,4300,30,22,45,22,257,140,8,12,119,54,136,89
16001002302,140,16,001,14260,999,,,Census Tract 23.02,7852,3536,7273,3132,7852,7273,6500,6614,94,44,61,56,331,161,20,11,598,173,248,214
16001002310,140,16,001,14260,999,,,Census Tract 23.10,9313,3891,8064,3143,9313,8064,8144,7289,127,73,52,54,329,268,14,11,334,144,313,225
16001002312,140,16,001,14260,999,,,Census Tract 23.12,5278,2318,4827,1885,5278,4827,4631,4406,70,29,43,36,116,187,10,2,229,77,179,87
16001010100,140,16,001,14260,999,,,Census Tract 101,5850,2116,2077,874,5850,2077,5484,1999,18,16,16,11,154,13,3,0,62,18,113,20
16001010201,140,16,001,14260,999,,,Census Tract 102.01,9390,3420,4808,1732,9390,4808,8913,4609,46,9,54,29,44,13,4,2,142,39,187,107
16001010221,140,16,001,14260,999,,,Census Tract 102.21,6169,2289,3367,1198,6169,3367,5865,3272,19,3,34,12,103,21,6,5,34,12,108,42
16001010224,140,16,001,14260,999,,,Census Tract 102.24,4381,1451,3075,961,4381,3075,4192,2940,15,13,11,16,61,22,3,4,19,19,80,58
16001010225,140,16,001,14260,999,,,Census Tract 102.25,8112,3394,5694,2248,8112,5694,7575,5444,20,24,53,30,114,42,11,8,147,35,192,108
16001010313,140,16,001,14260,999,,,Census Tract 103.13,19204,6655,8799,3018,19204,8799,17899,8313,117,34,100,56,391,149,11,2,250,74,436,171
16001010321,140,16,001,14260,999,,,Census Tract 103.21,7127,2828,4987,1883,7127,4987,6345,4629,78,26,51,34,129,92,4,2,256,88,264,116
16001010322,140,16,001,14260,999,,,Census Tract 103.22,6910,2802,6009,2174,6910,6009,6122,5631,86,39,58,39,83,60,25,8,249,108,287,124
16001010331,140,16,001,14260,999,,,Census Tract 103.31,19450,6499,8779,3100,19450,8779,17498,8231,207,37,65,28,876,248,21,6,244,61,539,168
16001010332,140,16,001,14260,999,,,Census Tract 103.32,11559,3994,4136,1528,11559,4136,10502,3925,95,18,73,21,221,42,14,4,279,43,375,83
16001010333,140,16,001,14260,999,,,Census Tract 103.33,10737,4056,8307,2865,10737,8307,9907,7803,69,47,35,46,218,117,22,11,176,92,310,191
16001010334,140,16,001,14260,999,,,Census Tract 103.34,6143,2090,2970,996,6143,2970,5714,2823,36,12,41,11,56,27,12,4,123,35,161,55
16001010335,140,16,001,14260,999,,,Census Tract 103.35,20107,6875,9724,3280,20107,9724,18894,9243,116,42,67,36,258,89,33,14,255,117,484,180
16001010401,140,16,001,14260,999,,,Census Tract 104.01,18941,6427,8759,2967,18941,8759,17394,8320,102,18,149,56,137,43,30,3,611,157,518,162
16001010402,140,16,001,14260,999,,,Census Tract 104.02,10729,3700,4603,1517,10729,4603,9507,4210,137,17,65,42,271,69,111,23,241,97,397,145
16001010501,140,16,001,14260,999,,,Census Tract 105.01,7467,830,4611,718,7467,4611,6547,4299,184,47,144,107,26,18,10,0,383,91,173,49
16001010503,140,16,001,14260,999,,,Census Tract 105.03,3913,1593,3303,1291,3913,3303,3221,3002,31,42,27,16,392,108,16,3,90,60,136,70
16001010504,140,16,001,14260,999,,,Census Tract 105.04,6424,2472,5424,2004,6424,5424,5732,4929,72,68,22,27,356,178,10,6,90,98,142,114
16003950100,140,16,003,99999,999,,,Census Tract 9501,1749,1227,1298,776,1749,1298,1671,1245,3,2,19,17,5,0,0,0,21,18,30,16
16005000200,140,16,005,38540,999,,,Census Tract 2,3664,1357,3267,1135,3664,3267,3514,3151,9,13,33,23,17,8,5,5,23,29,63,38
16005000300,140,16,005,38540,999,,,Census Tract 3,9052,3437,6173,2350,9052,6173,8093,5663,51,28,253,147,96,47,13,2,258,175,288,111
16005000600,140,16,005,38540,999,,,Census Tract 6,3628,1365,3264,1118,3628,3264,3216,2953,39,31,99,75,44,39,6,8,123,75,101,83
16005000800,140,16,005,38540,999,,,Census Tract 8,2916,1326,2414,1166,2916,2414,2472,2116,88,49,53,41,125,64,5,12,90,75,83,57
16005000900,140,16,005,38540,999,,,Census Tract 9,2297,1182,3452,1187,2297,3452,2049,3042,63,105,52,33,25,77,5,12,45,90,58,93
16005001101,140,16,005,38540,999,,,Census Tract 11.01,7440,2541,6119,2060,7440,6119,6833,5747,49,20,65,40,185,123,26,7,126,68,156,114
16005001102,140,16,005,38540,999,,,Census Tract 11.02,3608,1421,3237,1179,3608,3237,3223,3036,33,14,64,39,72,28,12,10,88,61,116,49
16005001200,140,16,005,38540,999,,,Census Tract 12,3062,1157,2846,1086,3062,2846,2801,2663,13,5,66,57,48,21,5,3,48,44,81,53
16005001300,140,16,005,38540,999,,,Census Tract 13,2647,1134,2640,1099,2647,2640,2374,2450,22,16,32,29,23,23,4,1,101,76,91,45
16005001400,140,16,005,38540,999,,,Census Tract 14,4412,1928,4753,2056,4412,4753,3978,4294,27,15,89,90,35,43,5,9,125,168,153,134
16005001500,140,16,005,38540,999,,,Census Tract 15,5181,2105,5323,2033,5181,5323,4795,4935,14,9,97,92,17,28,9,7,136,157,113,95
16005001603,140,16,005,38540,999,,,Census Tract 16.03,2617,1204,2122,1074,2617,2122,2372,1965,15,18,57,30,21,13,2,5,74,52,76,39
16005001700,140,16,005,38540,999,,,Census Tract 17,3429,1322,3185,1110,3429,3185,3272,3067,11,8,20,11,44,28,4,2,19,31,59,38
16005940000,140,16,005,38540,999,,,Census Tract 9400,2117,732,2004,667,2117,2004,786,759,2,1,1209,1160,10,10,1,1,19,39,90,34
16009940000,140,16,009,99999,999,,,Census Tract 9400,4536,2266,4464,2117,4536,4464,3464,3606,16,8,761,752,5,2,4,4,33,15,253,71
16009950100,140,16,009,99999,999,,,Census Tract 9501,4749,2363,4706,2120,4749,4706,4575,4524,12,2,48,67,22,11,2,0,11,7,79,95
16011940000,140,16,011,13940,292,,,Census Tract 9400,2830,982,2866,1006,2830,2866,394,432,2,0,2226,2291,2,0,0,0,91,90,115,53
16011950100,140,16,011,13940,292,,,Census Tract 9501,8203,2769,7051,2275,8203,7051,7453,6515,22,8,75,34,54,24,9,6,430,350,160,114
16011950300,140,16,011,13940,292,,,Census Tract 9503,5914,2065,5862,1987,5914,5862,4402,4666,8,6,67,55,11,23,2,1,1320,992,104,119
16011950500,140,16,011,13940,292,,,Census Tract 9505,7811,2978,6922,2565,7811,6922,6326,5937,15,9,313,184,76,65,17,2,851,527,213,198
16011950600,140,16,011,13940,292,,,Census Tract 9506,5311,1807,4682,1551,5311,4682,4475,4011,6,8,50,58,39,34,3,0,665,482,73,89
16011950700,140,16,011,13940,292,,,Census Tract 9507,4823,1573,4515,1400,4823,4515,4125,3925,19,15,47,36,29,20,1,2,529,457,73,60
16013960100,140,16,013,99999,999,,,Census Tract 9601,4878,2472,4177,1968,4878,4177,4293,3747,10,9,16,16,32,21,2,3,468,313,57,68
16013960200,140,16,013,99999,999,,,Census Tract 9602,9878,4473,7596,3168,9878,7596,8028,6871,17,9,63,26,78,73,10,4,1503,513,179,100
16013960300,140,16,013,99999,999,,,Census Tract 9603,3676,4545,4050,3824,3676,4050,3272,3800,2,0,12,12,48,23,2,5,302,138,38,72
16013960500,140,16,013,99999,999,,,Census Tract 9605,2944,3560,3168,3226,2944,3168,2564,2813,10,7,34,8,25,22,2,1,257,258,52,59
16015950200,140,16,015,14260,999,,,Census Tract 9502,7028,5292,6670,4349,7028,6670,6703,6352,15,8,55,62,29,20,5,7,58,87,163,134
16017950100,140,16,017,99999,999,,,Census Tract 9501,2398,1931,2195,1431,2398,2195,2298,2118,2,9,23,19,8,7,20,0,5,11,42,31
16017950200,140,16,017,99999,999,,,Census Tract 9502,8477,4166,7066,3088,8477,7066,8141,6831,16,13,53,59,45,21,4,2,36,39,182,101
16017950400,140,16,017,99999,999,,,Census Tract 9504,6857,4156,5933,3162,6857,5933,6650,5754,7,4,48,39,33,19,0,1,26,23,93,93
16017950600,140,16,017,99999,999,,,Census Tract 9506,1940,2978,2035,2464,1940,2035,1863,1982,3,2,20,18,7,1,2,0,5,2,40,30
16017950700,140,16,017,99999,999,,,Census Tract 9507,4444,2463,3992,1893,4444,3992,4238,3832,8,3,55,53,8,4,1,1,20,13,114,86
16017950900,140,16,017,99999,999,,,Census Tract 9509,4278,2599,3553,1978,4278,3553,4147,3447,6,2,25,20,16,12,2,10,15,9,67,53
16019970100,140,16,019,26820,292,,,Census Tract 9701,5125,2241,3661,1500,5125,3661,4958,3562,8,3,12,21,39,15,3,3,57,28,48,29
16019970401,140,16,019,26820,292,,,Census Tract 9704.01,2271,883,1780,645,2271,1780,2147,1696,10,1,10,8,16,15,0,0,65,38,23,22
16019970403,140,16,019,26820,292,,,Census Tract 9704.03,10426,3268,5438,1685,10426,5438,8914,4739,49,24,79,54,54,18,5,6,1077,471,248,126
16019970501,140,16,019,26820,292,,,Census Tract 9705.01,7582,2679,2475,766,7582,2475,7119,2381,31,10,44,8,69,11,6,1,155,30,158,34
16019970502,140,16,019,26820,292,,,Census Tract 9705.02,5114,1805,3906,1220,5114,3906,4761,3725,36,11,23,12,46,29,1,1,157,85,90,43
16019970503,140,16,019,26820,292,,,Census Tract 9705.03,4484,1689,2015,665,4484,2015,4296,1936,15,2,17,5,27,9,2,6,69,33,58,24
16019970601,140,16,019,26820,292,,,Census Tract 9706.01,2800,1018,2827,1003,2800,2827,2565,2661,17,14,34,12,15,23,1,0,113,85,55,32
16019970602,140,16,019,26820,292,,,Census Tract 9706.02,5556,2375,5021,2059,5556,5021,4867,4690,37,27,41,26,87,63,12,2,317,132,195,81
16019970603,140,16,019,26820,292,,,Census Tract 9706.03,2060,883,1979,707,2060,1979,1933,1866,7,8,10,8,42,56,2,4,39,13,27,24
16019970700,140,16,019,26820,292,,,Census Tract 9707,5366,2210,5473,2136,5366,5473,4640,4819,53,49,92,61,23,49,7,6,431,368,120,121
16019970800,140,16,019,26820,292,,,Census Tract 9708,3747,1608,3627,1565,3747,3627,3430,3381,13,29,18,28,22,8,4,2,187,93,73,86
16019970900,140,16,019,26820,292,,,Census Tract 9709,4692,1817,4946,1761,4692,4946,4361,4714,34,36,25,17,63,70,4,0,139,72,66,37
16019971000,140,16,019,26820,292,,,Census Tract 9710,4831,2077,5074,2092,4831,5074,4383,4753,30,18,57,59,19,36,3,3,222,119,117,86
16019971100,140,16,019,26820,292,,,Census Tract 9711,3751,1801,3824,1818,3751,3824,3269,3494,31,24,64,33,15,32,6,5,211,159,155,77
16019971200,140,16,019,26820,292,,,Census Tract 9712,4664,2081,4473,1954,4664,4473,3775,3678,46,28,96,84,43,23,4,4,570,561,130,95
16019971301,140,16,019,26820,292,,,Census Tract 9713.01,6443,2422,5770,2202,6443,5770,5589,5381,46,38,58,23,55,63,11,7,513,194,171,64
16019971302,140,16,019,26820,292,,,Census Tract 9713.02,5446,2076,4861,1636,5446,4861,4916,4515,26,29,36,30,54,65,1,1,295,147,118,74
16019971400,140,16,019,26820,292,,,Census Tract 9714,8508,2860,5957,1994,8508,5957,7831,5680,54,19,42,11,138,63,4,0,300,113,139,71
16019971500,140,16,019,26820,292,,,Census Tract 9715,1738,676,1777,630,1738,1777,1467,1533,15,8,12,11,8,18,3,1,223,185,10,21
16021970100,140,16,021,99999,999,,,Census Tract 9701,5647,2624,4980,2021,5647,4980,5336,4747,16,7,115,133,27,29,0,1,34,20,119,43
16021970200,140,16,021,99999,999,,,Census Tract 9702,5325,2551,4891,2074,5325,4891,5062,4654,13,9,74,66,35,28,6,6,24,65,111,63
16025970100,140,16,025,99999,999,,,Census Tract 9701,1117,831,991,601,1117,991,1051,943,3,12,6,3,1,2,0,0,20,9,36,22
16027020100,140,16,027,14260,999,,,Census Tract 201,1105,600,1252,620,1105,1252,944,1005,4,2,20,29,6,20,3,0,94,165,34,31
16027020200,140,16,027,14260,999,,,Census Tract 202,4009,1524,4154,1496,4009,4154,2652,2631,18,21,96,71,11,13,12,8,1046,1284,174,126
16027020401,140,16,027,14260,999,,,Census Tract 204.01,8612,3273,6289,2321,8612,6289,6872,5321,65,17,118,82,65,50,28,14,1157,640,307,163
16027020503,140,16,027,14260,999,,,Census Tract 205.03,3075,1165,2654,936,3075,2654,2579,2309,16,11,24,12,44,21,8,7,326,221,78,69
16027020504,140,16,027,14260,999,,,Census Tract 205.04,5647,2252,4873,1811,5647,4873,4435,4239,50,21,71,23,54,39,30,14,802,407,205,128
16027020601,140,16,027,14260,999,,,Census Tract 206.01,4920,1586,3675,1191,4920,3675,3996,3138,28,12,50,29,58,45,13,4,630,341,145,103
16027020602,140,16,027,14260,999,,,Census Tract 206.02,6938,2768,5182,2079,6938,5182,5905,4426,46,18,77,41,46,64,4,5,636,480,224,145
16027020700,140,16,027,14260,999,,,Census Tract 207,3565,1267,2604,898,3565,2604,3184,2203,10,7,39,33,27,21,12,5,210,264,83,67
16027020901,140,16,027,14260,999,,,Census Tract 209.01,12861,4448,5869,1981,12861,5869,11401,5329,77,13,101,50,103,43,39,11,820,282,320,138
