GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
17001000100,140,17,001,39500,999,,,Census Tract 1,4627,2222,4326,2042,4627,4326,4412,4177,62,77,7,6,45,26,1,0,24,9,76,31
17001000400,140,17,001,39500,999,,,Census Tract 4,4322,1793,4465,1701,4322,4465,3527,3914,582,409,9,6,13,3,0,0,15,11,176,122
17001000600,140,17,001,39500,999,,,Census Tract 6,3718,1789,4026,1822,3718,4026,3456,3846,128,89,5,3,46,34,1,1,12,26,70,27
17001000700,140,17,001,39500,999,,,Census Tract 7,1481,1017,1525,1086,1481,1525,1278,1335,153,144,5,20,9,9,0,0,7,3,29,14
17001000800,140,17,001,39500,999,,,Census Tract 8,2711,1218,2747,1278,2711,2747,2317,2445,184,206,18,13,11,1,1,0,24,10,156,72
17001000900,140,17,001,39500,999,,,Census Tract 9,2573,1298,2745,1323,2573,2745,2381,2645,102,55,5,3,14,12,0,0,13,6,58,24
17001001001,140,17,001,39500,999,,,Census Tract 10.01,3391,1515,3537,1516,3391,3537,3241,3480,58,31,3,3,20,4,3,0,11,1,55,18
17001001002,140,17,001,39500,999,,,Census Tract 10.02,3223,1400,3443,1395,3223,3443,3107,3370,61,32,1,2,11,6,0,1,8,5,35,27
17001010100,140,17,001,39500,999,,,Census Tract 101,4451,1929,4641,1987,4451,4641,4404,4612,11,2,2,7,4,3,1,0,5,3,24,14
17001010300,140,17,001,39500,999,,,Census Tract 103,5890,2481,5799,2350,5890,5799,5821,5734,10,1,9,10,3,2,1,0,20,1,26,45
17003957600,140,17,003,16020,164,,,Census Tract 9576,2928,1152,3223,1283,2928,3223,2296,2559,473,586,15,11,3,7,3,0,94,37,44,23
17003957700,140,17,003,16020,164,,,Census Tract 9577,2172,1075,2334,1191,2172,2334,1787,1959,330,341,4,12,1,1,0,1,15,2,35,18
17005951200,140,17,005,41180,476,,,Census Tract 9512,3216,1466,2987,1288,3216,2987,3037,2746,139,197,8,8,4,3,1,2,5,10,22,21
17005951300,140,17,005,41180,476,,,Census Tract 9513,6958,2298,7093,2207,6958,7093,5653,5864,910,1078,61,43,49,33,2,0,41,27,242,48
17005951400,140,17,005,41180,476,,,Census Tract 9514,3146,1410,3177,1378,3146,3177,3087,3128,6,4,9,8,5,1,0,6,6,5,33,25
17005951500,140,17,005,41180,476,,,Census Tract 9515,4448,1915,4376,1816,4448,4376,4366,4262,25,27,14,22,10,9,0,0,6,23,27,33
17007010100,140,17,007,40420,466,,,Census Tract 101,8562,3228,7725,2924,8562,7725,6557,6144,262,133,67,18,57,33,1,1,1321,1224,297,172
17007010200,140,17,007,40420,466,,,Census Tract 102,6105,2293,6039,2292,6105,6039,4661,5141,78,30,32,35,34,39,0,3,1140,684,160,107
17007010300,140,17,007,40420,466,,,Census Tract 103,6631,2564,5721,2168,6631,5721,5289,5001,167,65,31,25,45,18,0,0,828,500,271,112
17031381700,140,17,031,16980,176,,,Census Tract 3817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17007010601,140,17,007,40420,466,,,Census Tract 106.01,3859,1498,2615,1014,3859,2615,3455,2480,25,22,19,7,9,9,0,0,289,56,62,40
17007010602,140,17,007,40420,466,,,Census Tract 106.02,11982,4141,8120,2806,11982,8120,10599,7701,270,68,18,22,230,27,7,0,561,173,297,125
17009970500,140,17,009,99999,999,,,Census Tract 9705,4331,1083,4214,1128,4331,4214,2703,2881,1276,1263,11,3,13,7,1,3,300,43,27,14
17011964700,140,17,011,36860,999,,,Census Tract 9647,3072,1357,3245,1346,3072,3245,3002,3193,9,7,1,2,3,0,0,2,14,20,43,21
17011964800,140,17,011,36860,999,,,Census Tract 9648,3496,1538,3694,1527,3496,3694,3433,3636,6,17,3,6,12,9,0,0,3,5,39,21
17011964900,140,17,011,36860,999,,,Census Tract 9649,2815,1289,2930,1266,2815,2930,2715,2874,16,7,6,13,24,9,2,0,33,10,19,17
17011965000,140,17,011,36860,999,,,Census Tract 9650,4078,1685,4168,1702,4078,4168,3352,3740,32,4,25,21,37,48,0,2,559,268,73,85
17011965100,140,17,011,36860,999,,,Census Tract 9651,4152,1818,4169,1733,4152,4169,3831,4019,42,22,22,7,22,16,0,0,180,62,55,43
17011965200,140,17,011,36860,999,,,Census Tract 9652,3600,1626,3495,1592,3600,3495,3274,3370,48,22,5,2,25,13,0,0,179,56,69,32
17011965300,140,17,011,36860,999,,,Census Tract 9653,3429,1582,3341,1508,3429,3341,3316,3264,14,9,13,1,31,23,0,0,18,19,37,25
17011965400,140,17,011,36860,999,,,Census Tract 9654,3549,1776,3476,1676,3549,3476,3407,3407,20,17,5,2,45,27,4,0,22,6,46,17
17011965600,140,17,011,36860,999,,,Census Tract 9656,3028,1401,3212,1418,3028,3212,2939,3160,15,7,5,0,9,11,0,5,20,9,40,20
17013951200,140,17,013,41180,476,,,Census Tract 9512,2681,1553,2787,1504,2681,2787,2640,2749,7,0,7,7,11,7,0,0,5,7,11,13
17015960100,140,17,015,99999,999,,,Census Tract 9601,3578,2424,3704,1966,3578,3704,3523,3618,7,5,15,7,12,31,0,0,1,2,20,41
17015960200,140,17,015,99999,999,,,Census Tract 9602,2165,1199,2290,1075,2165,2290,2099,2236,21,15,5,6,4,4,1,3,9,7,26,19
17015960300,140,17,015,99999,999,,,Census Tract 9603,3176,1729,3659,1842,3176,3659,2985,3441,59,54,14,12,3,10,2,1,59,95,54,46
17015960400,140,17,015,99999,999,,,Census Tract 9604,2234,1081,2505,1112,2234,2505,2193,2458,5,4,1,5,16,6,0,0,2,8,17,24
17015960500,140,17,015,99999,999,,,Census Tract 9605,2636,1224,2813,1200,2636,2813,2578,2756,5,2,4,5,15,8,0,0,7,20,27,22
17017960100,140,17,017,99999,999,,,Census Tract 9601,2403,1126,2657,1154,2403,2657,2363,2609,12,4,5,5,4,7,0,0,8,8,11,24
17017960200,140,17,017,99999,999,,,Census Tract 9602,2655,1230,2806,1260,2655,2806,2595,2772,9,4,6,3,6,5,0,0,13,2,26,20
17017960300,140,17,017,99999,999,,,Census Tract 9603,3294,1372,3281,1304,3294,3281,2892,3121,64,13,1,4,15,5,0,1,284,109,38,28
