GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
18001030100,140,18,001,19540,258,,,Census Tract 301,4737,1921,4819,1775,4737,4819,4586,4730,4,3,13,3,10,4,2,2,81,51,41,26
18001030200,140,18,001,19540,258,,,Census Tract 302,4971,2398,4950,2228,4971,4950,4706,4683,23,14,18,7,18,29,3,4,148,182,55,31
18001030300,140,18,001,19540,258,,,Census Tract 303,5506,2425,6012,2498,5506,6012,5259,5742,33,10,21,28,10,6,1,1,95,157,87,68
18001030400,140,18,001,19540,258,,,Census Tract 304,3400,1163,3166,1114,3400,3166,3358,3126,0,4,0,5,5,1,0,1,19,17,18,12
18001030500,140,18,001,19540,258,,,Census Tract 305,6070,1534,5183,1368,6070,5183,6009,5134,9,0,3,5,7,2,1,0,25,16,16,26
18001030600,140,18,001,19540,258,,,Census Tract 306,3412,1523,3744,1533,3412,3744,3267,3644,25,8,4,3,20,5,0,2,53,47,43,35
18003000100,140,18,003,23060,258,,,Census Tract 1,2358,1122,2545,1183,2358,2545,2129,2402,81,23,10,26,22,25,0,0,28,31,88,33
18003000300,140,18,003,23060,258,,,Census Tract 3,3298,1460,3401,1474,3298,3401,2970,3207,119,68,11,20,35,20,5,0,53,47,105,39
18003000400,140,18,003,23060,258,,,Census Tract 4,2569,1448,2681,1474,2569,2681,2225,2396,196,113,11,13,16,13,2,3,28,68,91,75
18003000600,140,18,003,23060,258,,,Census Tract 6,1975,906,2121,941,1975,2121,1660,1928,89,46,22,22,11,9,1,0,87,43,105,73
18003000704,140,18,003,23060,258,,,Census Tract 7.04,2419,1335,2454,1312,2419,2454,1837,2107,247,128,12,7,132,101,1,0,77,58,113,50
18003000800,140,18,003,23060,258,,,Census Tract 8,4113,1997,4062,1995,4113,4062,3643,3882,134,29,21,16,33,21,6,3,113,31,163,80
18003000900,140,18,003,23060,258,,,Census Tract 9,3166,1366,3365,1403,3166,3365,2736,3137,144,69,20,8,32,36,2,2,99,64,133,49
18003001000,140,18,003,23060,258,,,Census Tract 10,1247,624,1367,682,1247,1367,1094,1266,69,32,13,20,1,1,0,0,32,29,38,19
18003001100,140,18,003,23060,258,,,Census Tract 11,1559,1127,1781,1183,1559,1781,1315,1544,141,124,6,11,15,30,0,1,25,25,57,46
18003001200,140,18,003,23060,258,,,Census Tract 12,1079,683,1261,841,1079,1261,804,956,185,188,4,20,8,27,0,0,40,34,38,36
18003001300,140,18,003,23060,258,,,Census Tract 13,2277,689,1767,758,2277,1767,1250,817,815,861,22,2,46,17,0,1,77,43,67,26
18003001700,140,18,003,23060,258,,,Census Tract 17,2177,948,2008,1033,2177,2008,371,221,1423,1632,12,20,17,10,7,3,223,97,124,25
18003002100,140,18,003,23060,258,,,Census Tract 21,2344,1130,2595,1251,2344,2595,1676,2075,285,166,27,36,29,35,0,2,216,184,111,97
18003002200,140,18,003,23060,258,,,Census Tract 22,4221,1982,4359,2034,4221,4359,3098,3491,579,471,17,26,30,36,0,0,293,229,204,106
18003002300,140,18,003,23060,258,,,Census Tract 23,5180,2227,5491,2257,5180,5491,1218,1805,2597,3029,42,36,450,40,2,1,615,368,256,212
18003002500,140,18,003,23060,258,,,Census Tract 25,3152,1426,3716,1480,3152,3716,2489,3217,332,246,7,17,20,16,1,2,141,123,162,95
18003002800,140,18,003,23060,258,,,Census Tract 28,2065,945,2554,1018,2065,2554,334,379,1343,1998,5,6,19,12,1,0,236,93,127,66
18003003100,140,18,003,23060,258,,,Census Tract 31,2645,1206,3036,1215,2645,3036,1186,1600,956,1078,16,20,19,9,0,1,294,239,174,89
