GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
19001960100,140,19,001,99999,999,,,Census Tract 9601,2791,1318,2932,1320,2791,2932,2748,2883,5,4,2,4,6,7,0,0,14,14,16,20
19001960200,140,19,001,99999,999,,,Census Tract 9602,1844,885,2092,892,1844,2092,1814,2073,3,1,1,2,3,4,1,0,4,1,18,11
19001960300,140,19,001,99999,999,,,Census Tract 9603,3047,1495,3219,1478,3047,3219,2996,3197,3,1,1,0,13,8,0,0,16,4,18,9
19003950100,140,19,003,99999,999,,,Census Tract 9501,1742,855,1937,892,1742,1937,1718,1912,5,0,8,18,3,2,0,0,2,0,6,5
19003950200,140,19,003,99999,999,,,Census Tract 9502,2287,1155,2545,1217,2287,2545,2235,2521,3,3,11,2,21,6,0,0,1,2,16,11
19005960100,140,19,005,99999,999,,,Census Tract 9601,2130,1336,2256,1268,2130,2256,2108,2239,3,3,3,0,4,5,0,0,6,6,6,3
19005960200,140,19,005,99999,999,,,Census Tract 9602,2591,1169,2500,1085,2591,2500,2566,2459,3,0,9,11,3,2,0,0,1,9,9,19
19005960300,140,19,005,99999,999,,,Census Tract 9603,4088,2017,4374,1976,4088,4374,4024,4321,17,0,2,4,2,9,1,1,13,7,29,32
19005960400,140,19,005,99999,999,,,Census Tract 9604,2343,1790,2214,1567,2343,2214,2303,2185,16,10,8,6,0,1,1,0,5,6,10,6
19005960500,140,19,005,99999,999,,,Census Tract 9605,3178,1305,3331,1246,3178,3331,2749,2866,74,8,14,5,25,22,15,1,267,386,34,43
19007950100,140,19,007,99999,999,,,Census Tract 9501,2587,1321,2753,1306,2587,2753,2558,2717,2,2,3,10,2,3,0,0,5,8,17,13
19007950200,140,19,007,99999,999,,,Census Tract 9502,1868,1121,2077,1130,1868,2077,1842,2057,10,5,0,2,4,2,0,0,6,0,6,11
19007950300,140,19,007,99999,999,,,Census Tract 9503,3055,1653,3207,1676,3055,3207,2948,3121,28,19,7,5,20,24,1,0,11,4,40,34
19007950400,140,19,007,99999,999,,,Census Tract 9504,3025,1464,3290,1498,3025,3290,2932,3209,23,30,15,3,5,4,0,0,5,22,45,22
19007950500,140,19,007,99999,999,,,Census Tract 9505,2352,1074,2394,1087,2352,2394,2306,2365,0,2,7,3,5,3,0,1,7,3,27,17
19009070100,140,19,009,99999,999,,,Census Tract 701,2056,940,2447,993,2056,2447,2029,2428,2,2,1,3,15,5,0,0,1,2,8,7
19009070200,140,19,009,99999,999,,,Census Tract 702,2332,1176,2546,1172,2332,2546,2307,2530,5,6,6,0,5,0,1,0,1,0,7,10
19009070300,140,19,009,99999,999,,,Census Tract 703,1731,856,1837,830,1731,1837,1696,1815,3,2,1,3,5,8,0,0,4,0,22,9
19011960100,140,19,011,16300,999,,,Census Tract 9601,3012,1166,2477,939,3012,2477,2950,2453,6,6,2,2,7,4,0,0,5,0,42,12
19011960200,140,19,011,16300,999,,,Census Tract 9602,3251,1407,3419,1385,3251,3419,3181,3360,9,7,6,18,9,11,0,0,3,2,43,21
19011960300,140,19,011,16300,999,,,Census Tract 9603,5410,2346,5264,2284,5410,5264,5291,5175,18,13,10,9,18,14,0,1,9,11,64,41
19011960400,140,19,011,16300,999,,,Census Tract 9604,3270,1451,3115,1354,3270,3115,3214,3091,17,6,11,4,4,3,1,0,0,2,23,9
19011960500,140,19,011,16300,999,,,Census Tract 9605,5760,2219,5228,1899,5760,5228,5658,5179,31,15,11,3,16,5,0,0,6,6,38,20
19011960600,140,19,011,16300,999,,,Census Tract 9606,2643,1166,2747,1129,2643,2747,2603,2731,13,2,4,0,2,0,0,0,13,4,8,10
19011960700,140,19,011,16300,999,,,Census Tract 9607,2730,1340,3058,1387,2730,3058,2672,3026,8,2,1,1,10,6,1,3,17,2,21,18
19013000100,140,19,013,47940,999,,,Census Tract 1,2011,1090,2128,1057,2011,2128,1016,1070,853,899,6,8,5,9,6,0,68,97,57,45
19013000200,140,19,013,47940,999,,,Census Tract 2,3057,1288,3247,1324,3057,3247,2105,2644,570,380,15,5,12,27,25,1,184,58,146,132
19013000300,140,19,013,47940,999,,,Census Tract 3,3104,1555,3255,1440,3104,3255,1955,2479,693,502,15,7,38,37,44,2,171,118,188,110
19013000400,140,19,013,47940,999,,,Census Tract 4,1566,761,1521,715,1566,1521,1393,1427,88,52,11,0,14,6,1,0,10,14,49,22
19013000500,140,19,013,47940,999,,,Census Tract 5,1717,678,1684,695,1717,1684,1017,1126,481,448,2,2,9,2,6,0,100,69,102,37
19013000700,140,19,013,47940,999,,,Census Tract 7,1518,604,1750,650,1518,1750,634,712,642,794,19,12,9,5,5,0,129,145,80,82
19013000800,140,19,013,47940,999,,,Census Tract 8,4028,1660,4154,1709,4028,4154,3087,3489,404,373,32,22,31,55,16,4,264,106,194,105
19013000900,140,19,013,47940,999,,,Census Tract 9,1764,911,1665,859,1764,1665,1332,1385,239,158,5,3,25,23,25,7,67,25,71,64
19013001000,140,19,013,47940,999,,,Census Tract 10,3626,1580,3492,1576,3626,3492,3320,3354,100,46,10,4,40,36,2,0,86,7,68,45
19013001100,140,19,013,47940,999,,,Census Tract 11,2847,1212,2733,1215,2847,2733,2413,2571,206,46,4,0,14,13,3,0,127,26,80,77
19013001200,140,19,013,47940,999,,,Census Tract 12,2321,1098,2301,1090,2321,2301,2166,2220,60,30,0,5,36,15,7,0,8,7,44,24
19013001301,140,19,013,47940,999,,,Census Tract 13.01,4142,1946,4603,1818,4142,4603,3481,4192,394,210,6,10,96,69,34,1,50,23,81,98
19013001302,140,19,013,47940,999,,,Census Tract 13.02,3632,1709,3363,1581,3632,3363,3214,3141,215,97,2,0,129,76,2,0,11,24,59,25
19013001400,140,19,013,47940,999,,,Census Tract 14,4557,1986,4820,1961,4557,4820,4223,4620,184,72,7,8,27,24,1,2,35,44,80,50
19013001501,140,19,013,47940,999,,,Census Tract 15.01,3120,1515,3040,1390,3120,3040,2753,2778,215,136,6,4,40,48,0,1,27,22,79,51
19013001502,140,19,013,47940,999,,,Census Tract 15.02,4165,1787,4056,1664,4165,4056,3751,3791,170,156,10,9,24,32,0,0,74,21,136,47
19013001503,140,19,013,47940,999,,,Census Tract 15.03,3845,1690,3801,1639,3845,3801,3576,3646,133,90,5,2,47,22,7,0,24,7,53,34
19013001600,140,19,013,47940,999,,,Census Tract 16,2761,1219,3048,1271,2761,3048,2130,2489,431,406,4,8,19,14,0,5,92,26,85,95
19013001701,140,19,013,47940,999,,,Census Tract 17.01,2147,935,2306,929,2147,2306,702,846,1290,1337,1,3,7,13,7,5,52,50,88,52
19013001702,140,19,013,47940,999,,,Census Tract 17.02,2467,1126,2539,1128,2467,2539,1252,1347,1075,1105,5,5,20,5,0,4,46,21,69,52
19013001800,140,19,013,47940,999,,,Census Tract 18,1506,634,1542,622,1506,1542,183,115,1241,1367,2,6,2,3,2,0,11,20,65,31
19013001900,140,19,013,47940,999,,,Census Tract 19,2181,948,2203,885,2181,2203,1222,1361,763,755,21,12,3,5,4,1,104,33,64,36
19013002000,140,19,013,47940,999,,,Census Tract 20,5395,2331,5174,2137,5395,5174,5128,4998,89,37,11,9,25,25,2,3,17,18,123,84
19013002200,140,19,013,47940,999,,,Census Tract 22,4202,1958,4597,1876,4202,4597,3996,4425,60,54,9,9,36,45,0,2,17,10,84,52
19013002301,140,19,013,47940,999,,,Census Tract 23.01,2248,946,2250,956,2248,2250,2100,2137,67,38,5,5,22,32,0,0,16,4,38,34
19013002303,140,19,013,47940,999,,,Census Tract 23.03,5142,524,5323,526,5142,5323,4782,5077,132,85,5,4,112,89,1,1,31,16,79,47
19013002304,140,19,013,47940,999,,,Census Tract 23.04,2749,1098,2846,1103,2749,2846,2618,2715,50,45,5,2,36,48,0,1,15,8,25,25
19013002400,140,19,013,47940,999,,,Census Tract 24,4078,1912,4104,1825,4078,4104,3879,3961,64,34,4,7,53,45,0,2,16,15,62,39
19013002500,140,19,013,47940,999,,,Census Tract 25,5719,2584,5198,2220,5719,5198,5265,4894,153,106,10,8,164,115,0,1,28,23,99,51
19013002601,140,19,013,47940,999,,,Census Tract 26.01,4311,1988,2933,1172,4311,2933,3913,2628,93,95,7,8,151,105,0,0,34,23,113,69
19013002603,140,19,013,47940,999,,,Census Tract 26.03,10029,3965,7570,2941,10029,7570,9332,7286,185,87,13,3,317,109,0,0,35,32,147,53
19013002604,140,19,013,47940,999,,,Census Tract 26.04,4154,1812,4642,1884,4154,4642,3977,4511,96,50,8,11,11,6,0,0,10,24,52,35
