GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
21001970100,140,21,001,99999,999,,,Census Tract 9701,1727,780,1611,702,1727,1611,1683,1579,14,12,1,2,0,1,1,0,20,9,8,8
21001970200,140,21,001,99999,999,,,Census Tract 9702,1722,930,1497,693,1722,1497,1635,1462,41,32,5,0,0,0,0,1,31,0,10,2
21001970300,140,21,001,99999,999,,,Census Tract 9703,3016,1448,2892,1289,3016,2892,2944,2847,6,6,11,8,8,0,0,0,19,10,28,21
21001970401,140,21,001,99999,999,,,Census Tract 9704.01,4070,1973,3683,1876,4070,3683,3716,3443,237,172,1,6,16,20,1,0,39,5,60,34
21003920100,140,21,003,99999,999,,,Census Tract 9201,3185,1778,2915,1526,3185,2915,3114,2875,16,10,8,2,4,0,0,0,9,5,34,17
21003920500,140,21,003,99999,999,,,Census Tract 9205,1600,749,1364,632,1600,1364,1543,1331,11,5,2,2,3,4,0,0,24,3,17,19
21005950100,140,21,005,23180,336,,,Census Tract 9501,8164,3415,6704,2658,8164,6704,7647,6236,292,351,5,13,38,9,3,1,75,17,104,77
21005950201,140,21,005,23180,336,,,Census Tract 9502.01,5372,2369,4692,1996,5372,4692,5120,4596,81,52,12,3,50,6,2,0,25,8,82,25
21005950300,140,21,005,23180,336,,,Census Tract 9503,1969,839,1972,791,1969,1972,1934,1952,10,6,1,2,2,3,0,0,7,0,15,9
21005950400,140,21,005,23180,336,,,Census Tract 9504,2265,1011,2553,1048,2265,2553,2221,2540,8,4,6,2,3,0,0,0,3,2,24,5
21007950200,140,21,007,37140,424,,,Census Tract 9502,1494,715,1522,730,1494,1522,1416,1439,35,54,2,1,2,0,0,0,3,0,36,28
21007950300,140,21,007,37140,424,,,Census Tract 9503,2496,1181,2555,1197,2496,2555,2368,2461,58,31,4,3,2,9,1,2,12,1,51,48
21009950300,140,21,009,23980,999,,,Census Tract 9503,3065,1335,2287,1028,3065,2287,2855,2168,119,91,8,6,15,5,0,0,36,5,32,12
