GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
22001960100,140,22,001,18940,318,,,Census Tract 9601,6213,2574,6188,2410,6213,6188,4102,4455,1937,1675,16,12,5,7,1,0,60,25,92,14
22001960200,140,22,001,18940,318,,,Census Tract 9602,5988,2362,5056,1909,5988,5056,5535,4799,293,216,11,6,14,1,0,0,58,13,77,21
22001960300,140,22,001,18940,318,,,Census Tract 9603,3582,1427,3149,1246,3582,3149,3419,3058,75,67,16,8,11,2,2,1,24,4,35,9
22001960400,140,22,001,18940,318,,,Census Tract 9604,6584,2604,5617,2176,6584,5617,6253,5347,209,207,18,18,12,6,0,0,19,5,73,34
22001960500,140,22,001,18940,318,,,Census Tract 9605,6093,2349,4927,1796,6093,4927,5574,4498,401,378,16,15,8,4,2,1,21,5,71,26
22001960600,140,22,001,18940,318,,,Census Tract 9606,5972,2504,5654,2292,5972,5654,4770,4809,1067,782,10,7,7,12,0,0,27,10,91,34
22001960700,140,22,001,18940,318,,,Census Tract 9607,4310,1922,4614,1894,4310,4614,2115,2258,2063,2320,23,4,11,6,1,0,15,6,82,20
22001960800,140,22,001,18940,318,,,Census Tract 9608,5389,2241,5633,2253,5389,5633,4614,4987,629,568,20,15,35,29,0,0,29,3,62,27
22001960900,140,22,001,18940,318,,,Census Tract 9609,5072,2077,5059,1978,5072,5059,1850,2097,3109,2905,9,6,14,8,0,1,22,15,68,27
22001961000,140,22,001,18940,318,,,Census Tract 9610,5324,2429,5971,2526,5324,5971,3981,4495,1181,1408,14,12,15,9,0,0,43,16,90,30
22001961100,140,22,001,18940,318,,,Census Tract 9611,3780,1559,3497,1456,3780,3497,3587,3302,130,155,5,10,2,1,0,0,13,8,43,21
22001961200,140,22,001,18940,318,,,Census Tract 9612,3466,1339,3495,1272,3466,3495,3327,3415,81,58,5,2,3,3,0,1,18,6,32,10
22003950100,140,22,003,99999,999,,,Census Tract 9501,5115,2144,4591,1912,5115,4591,4878,4411,108,85,63,30,3,4,3,0,17,11,43,50
22003950200,140,22,003,99999,999,,,Census Tract 9502,5326,1297,5528,1299,5326,5528,3800,3805,1352,1538,65,33,40,90,0,0,22,26,47,35
22003950300,140,22,003,99999,999,,,Census Tract 9503,3146,1456,3464,1545,3146,3464,1703,2060,1300,1326,53,25,20,9,2,0,9,1,59,38
22003950400,140,22,003,99999,999,,,Census Tract 9504,4368,1933,4601,1925,4368,4601,3227,3458,951,1070,36,39,32,7,0,0,26,4,96,23
22003950500,140,22,003,99999,999,,,Census Tract 9505,7809,2903,7255,2475,7809,7255,4827,4556,2274,2239,405,310,81,33,1,2,52,19,169,96
22005030101,140,22,005,12940,132,,,Census Tract 301.01,6541,2468,4824,1857,6541,4824,5919,4505,402,243,14,18,31,8,1,2,115,19,59,29
22005030102,140,22,005,12940,132,,,Census Tract 301.02,5073,1965,4377,1625,5073,4377,4711,4178,178,70,9,25,10,4,2,0,95,68,68,32
22005030103,140,22,005,12940,132,,,Census Tract 301.03,5644,2186,4813,1827,5644,4813,5489,4710,41,20,20,13,8,22,3,0,25,4,58,44
22005030203,140,22,005,12940,132,,,Census Tract 302.03,10551,3722,6296,2397,10551,6296,9015,6006,1011,177,37,11,261,36,2,2,94,29,131,35
22005030204,140,22,005,12940,132,,,Census Tract 302.04,10530,3889,6845,2555,10530,6845,8688,6024,1365,682,28,28,139,17,9,9,183,41,118,44
22005030205,140,22,005,12940,132,,,Census Tract 302.05,9734,3585,5593,2054,9734,5593,7607,4891,1508,523,34,19,142,40,45,2,229,54,169,64
22005030206,140,22,005,12940,132,,,Census Tract 302.06,9290,3596,6592,2389,9290,6592,7310,5583,1368,743,38,18,79,26,0,0,368,172,127,44
22005030300,140,22,005,12940,132,,,Census Tract 303,13728,4939,5506,2050,13728,5506,8926,3293,4284,2121,42,12,161,12,5,0,147,29,163,39
22005030401,140,22,005,12940,132,,,Census Tract 304.01,4421,1928,4369,1840,4421,4369,3080,3337,1055,831,14,11,9,17,1,1,180,121,82,51
22005030402,140,22,005,12940,132,,,Census Tract 304.02,6812,2759,5621,2080,6812,5621,2849,3191,3445,2224,14,15,80,28,7,1,306,112,111,50
22005030500,140,22,005,12940,132,,,Census Tract 305,8843,3542,7008,2712,8843,7008,8181,6783,384,154,41,7,42,21,3,0,90,20,102,23
22005030600,140,22,005,12940,132,,,Census Tract 306,5123,1948,3973,1647,5123,3973,3491,3030,1383,859,24,15,40,11,3,0,115,34,67,24
22005030900,140,22,005,12940,132,,,Census Tract 309,4165,1689,4119,1637,4165,4119,1230,1439,2808,2604,13,7,6,10,0,1,92,38,16,20
22005031000,140,22,005,12940,132,,,Census Tract 310,6760,2568,6690,2501,6760,6690,2076,2333,4614,4287,11,9,10,5,0,0,10,17,39,39
22007050100,140,22,007,38200,132,,,Census Tract 501,3788,1614,3794,1537,3788,3794,1796,1814,1914,1954,10,9,6,0,2,1,45,0,15,11
