GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
23001010200,140,23,001,30340,438,,,Census Tract 102,4603,2246,4701,2236,4603,4701,4157,4584,272,23,15,3,53,35,7,0,12,3,87,53
23001010300,140,23,001,30340,438,,,Census Tract 103,2468,1237,2561,1243,2468,2561,2280,2423,49,31,22,9,30,23,0,3,13,6,74,66
23001010500,140,23,001,30340,438,,,Census Tract 105,2030,1024,2047,1014,2030,2047,1914,1981,27,13,18,15,8,3,0,0,6,3,57,32
23001010600,140,23,001,30340,438,,,Census Tract 106,3047,1294,2972,1167,3047,2972,2888,2916,63,9,9,4,27,5,3,5,7,4,50,29
23001010700,140,23,001,30340,438,,,Census Tract 107,3088,1387,3022,1254,3088,3022,2983,2957,26,12,4,7,33,24,0,1,2,1,40,20
23001010800,140,23,001,30340,438,,,Census Tract 108,3986,1909,3946,1777,3986,3946,3793,3854,53,21,19,12,31,30,0,2,20,2,70,25
23001020100,140,23,001,30340,438,,,Census Tract 201,1577,867,1321,936,1577,1321,1018,1229,462,32,8,8,24,2,3,1,16,12,46,37
23001020300,140,23,001,30340,438,,,Census Tract 203,6683,3178,6955,3232,6683,6955,5786,6553,428,114,54,26,76,84,2,2,68,15,269,161
23001020400,140,23,001,30340,438,,,Census Tract 204,3770,1606,3273,1736,3770,3273,2446,3006,1109,87,5,23,13,16,4,0,31,52,162,89
23001020500,140,23,001,30340,438,,,Census Tract 205,3713,1821,3863,1855,3713,3863,3401,3723,131,31,9,15,39,12,0,0,18,3,115,79
23001020600,140,23,001,30340,438,,,Census Tract 206,2708,1230,2729,1189,2708,2729,2651,2663,8,10,4,7,13,14,0,4,8,3,24,28
23001020700,140,23,001,30340,438,,,Census Tract 207,4891,2325,4924,2230,4891,4924,4694,4792,47,31,14,8,49,37,1,0,11,13,75,43
23001020800,140,23,001,30340,438,,,Census Tract 208,7556,3270,7196,2952,7556,7196,6852,7001,468,44,25,4,63,43,2,3,24,13,122,88
23001020900,140,23,001,30340,438,,,Census Tract 209,4411,1741,4117,1643,4411,4117,3712,3949,454,24,21,5,103,85,2,1,24,12,95,41
23001030100,140,23,001,30340,438,,,Census Tract 301,4624,2006,4392,1886,4624,4392,4454,4294,27,27,18,10,21,17,1,6,9,8,94,30
23001030200,140,23,001,30340,438,,,Census Tract 302,4385,1942,4685,1903,4385,4685,4209,4548,29,32,23,10,26,18,1,3,17,20,80,54
23001041000,140,23,001,30340,438,,,Census Tract 410,5376,2679,4866,2316,5376,4866,5236,4795,20,16,16,6,24,7,0,4,10,1,70,37
23001044000,140,23,001,30340,438,,,Census Tract 440,3187,1534,3227,1502,3187,3227,3064,3139,11,16,8,20,9,7,0,0,29,1,66,44
23001045000,140,23,001,30340,438,,,Census Tract 450,2326,1018,2001,856,2326,2001,2269,1983,7,4,12,6,4,2,0,0,6,2,28,4
23001046000,140,23,001,30340,438,,,Census Tract 460,4350,1880,4076,1680,4350,4076,4245,4014,17,19,8,4,9,12,0,0,8,3,63,24
23001046500,140,23,001,30340,438,,,Census Tract 465,6492,2773,5808,2373,6492,5808,6307,5692,18,14,20,19,27,22,0,0,4,6,116,55
23003950200,140,23,003,99999,999,,,Census Tract 9502,2638,1446,3149,1500,2638,3149,2563,3106,8,3,10,10,2,5,0,0,6,1,49,24
23003950600,140,23,003,99999,999,,,Census Tract 9506,4097,1922,4233,1824,4097,4233,3888,4104,32,16,33,32,30,37,0,0,5,12,109,32
23003951000,140,23,003,99999,999,,,Census Tract 9510,3569,1673,3714,1638,3569,3714,3468,3618,4,16,32,29,12,16,0,0,13,0,40,35
23003951400,140,23,003,99999,999,,,Census Tract 9514,2254,1056,2170,1010,2254,2170,2144,2099,8,2,51,22,17,31,1,0,3,2,30,14
23003951600,140,23,003,99999,999,,,Census Tract 9516,2314,1011,2361,1169,2314,2361,2063,2126,162,120,29,17,17,33,1,1,9,25,33,39
23003951800,140,23,003,99999,999,,,Census Tract 9518,3693,1819,3738,1730,3693,3738,3516,3574,15,11,54,55,50,48,1,2,14,7,43,41
23003951900,140,23,003,99999,999,,,Census Tract 9519,2937,1488,2827,1379,2937,2827,2853,2756,14,8,16,20,24,16,3,0,2,4,25,23
23003952100,140,23,003,99999,999,,,Census Tract 9521,2768,1287,2845,1285,2768,2845,2698,2773,5,7,26,31,9,3,0,0,3,4,27,27
23003952300,140,23,003,99999,999,,,Census Tract 9523,2652,1612,2505,1611,2652,2505,2485,2416,5,0,113,51,3,6,0,0,7,10,39,17
23003952500,140,23,003,99999,999,,,Census Tract 9525,2298,1068,2528,1156,2298,2528,2132,2426,27,10,67,63,13,13,0,0,19,3,40,9
23003952700,140,23,003,99999,999,,,Census Tract 9527,2561,1656,2589,1612,2561,2589,2496,2547,8,3,33,19,1,2,0,0,2,2,21,16
23005000100,140,23,005,38860,438,,,Census Tract 1,2346,1353,2297,1247,2346,2297,2025,2087,164,83,11,11,49,46,0,0,10,14,87,56
23005000300,140,23,005,38860,438,,,Census Tract 3,2625,1996,3125,1895,2625,3125,2276,2825,165,122,32,31,50,46,1,2,14,36,87,63
23005000600,140,23,005,38860,438,,,Census Tract 6,3389,1618,2849,1476,3389,2849,2659,2419,403,155,40,29,77,97,5,1,70,56,135,92
23005001100,140,23,005,38860,438,,,Census Tract 11,2372,1625,2603,1580,2372,2603,2139,2444,96,42,13,14,41,18,1,1,24,27,58,57
23005001200,140,23,005,38860,438,,,Census Tract 12,1381,725,1458,727,1381,1458,1114,1314,182,61,5,4,21,36,0,1,24,5,35,37
23005001300,140,23,005,38860,438,,,Census Tract 13,3321,1969,3408,2021,3321,3408,2802,3097,202,84,17,11,71,105,0,2,131,28,98,81
23005001500,140,23,005,38860,438,,,Census Tract 15,3415,1826,3257,1690,3415,3257,3082,3087,126,38,11,12,96,75,0,1,38,10,62,34
23005001800,140,23,005,38860,438,,,Census Tract 18,3709,1981,3782,1885,3709,3782,3442,3622,76,31,12,14,77,47,1,0,22,14,79,54
23005002001,140,23,005,38860,438,,,Census Tract 20.01,3632,1440,3520,1412,3632,3520,2988,3150,198,68,6,11,311,208,1,0,32,20,96,63
23005002101,140,23,005,38860,438,,,Census Tract 21.01,5917,2514,5720,2231,5917,5720,5336,5467,265,76,10,11,175,85,1,5,27,12,103,64
23005002102,140,23,005,38860,438,,,Census Tract 21.02,5578,2258,4951,1989,5578,4951,4198,4277,716,191,13,29,347,301,0,6,81,31,223,116
23005002200,140,23,005,38860,438,,,Census Tract 22,4916,2360,4409,2098,4916,4409,4360,4213,247,68,24,12,153,50,9,3,34,5,89,57
23005002400,140,23,005,38860,438,,,Census Tract 24,1256,1827,1214,1572,1256,1214,1213,1185,8,0,5,3,13,12,0,0,1,0,16,14
23005002501,140,23,005,38860,438,,,Census Tract 25.01,3366,1637,3467,1578,3366,3467,3217,3376,16,6,11,4,78,52,0,0,17,6,27,23
23005002502,140,23,005,38860,438,,,Census Tract 25.02,7819,3114,6839,2595,7819,6839,7459,6698,39,18,16,8,174,66,0,0,25,11,106,35
23005002600,140,23,005,38860,438,,,Census Tract 26,3976,1696,3592,1433,3976,3592,3763,3523,63,14,4,2,55,21,0,0,18,7,73,25
23005002700,140,23,005,38860,438,,,Census Tract 27,4536,2047,4022,1802,4536,4022,4117,3875,150,44,11,22,90,24,2,0,34,8,132,49
23005002800,140,23,005,38860,438,,,Census Tract 28,2907,1460,2977,1448,2907,2977,2652,2846,76,36,8,7,60,36,10,4,19,13,82,35
23005003000,140,23,005,38860,438,,,Census Tract 30,6499,2889,5888,2582,6499,5888,5422,5510,311,57,19,18,456,178,1,0,112,21,178,104
23005003100,140,23,005,38860,438,,,Census Tract 31,3722,1740,3748,1674,3722,3748,3426,3590,59,30,12,7,110,52,0,0,23,18,92,51
23005003200,140,23,005,38860,438,,,Census Tract 32,3117,1748,2999,1527,3117,2999,2977,2907,33,13,6,9,59,26,1,4,5,5,36,35
23005003300,140,23,005,38860,438,,,Census Tract 33,3102,1258,2678,1098,3102,2678,2798,2567,54,16,21,15,149,53,0,0,28,7,52,20
23005003500,140,23,005,38860,438,,,Census Tract 35,3860,1915,3672,1748,3860,3672,3706,3527,29,16,8,24,41,32,1,2,13,16,62,55
23005004100,140,23,005,38860,438,,,Census Tract 41,5938,2255,5096,1868,5938,5096,5762,5011,35,8,24,12,38,14,0,0,8,6,71,45
23005004200,140,23,005,38860,438,,,Census Tract 42,7552,3427,7156,2944,7552,7156,7348,7067,35,9,16,6,56,29,3,0,24,8,70,31
23005004401,140,23,005,38860,438,,,Census Tract 44.01,5071,2180,4974,2102,5071,4974,4922,4893,29,18,13,2,51,20,0,0,9,13,47,28
23005004402,140,23,005,38860,438,,,Census Tract 44.02,3278,1639,3388,1602,3278,3388,3171,3343,15,13,1,1,48,10,3,2,6,5,34,14
23005004501,140,23,005,38860,438,,,Census Tract 45.01,3145,1233,3113,1094,3145,3113,3032,3027,14,13,8,9,53,32,1,1,4,10,33,19
23005004701,140,23,005,38860,438,,,Census Tract 47.01,1964,1338,1714,1109,1964,1714,1911,1678,4,7,7,2,11,6,1,1,3,3,27,14
23005004801,140,23,005,38860,438,,,Census Tract 48.01,6583,3154,6196,2778,6583,6196,6306,6041,72,34,25,26,44,23,2,1,19,7,115,64
23005004802,140,23,005,38860,438,,,Census Tract 48.02,4673,1959,3784,1670,4673,3784,4526,3704,28,2,10,13,24,11,2,0,12,7,71,43
23005004803,140,23,005,38860,438,,,Census Tract 48.03,5745,2023,4908,1628,5745,4908,5550,4780,62,36,18,22,41,21,2,1,4,3,68,45
23005011201,140,23,005,38860,438,,,Census Tract 112.01,6661,3414,7102,3024,6661,7102,6375,6802,63,74,9,16,96,100,0,2,23,23,95,85
23005011202,140,23,005,38860,438,,,Census Tract 112.02,6879,3094,7004,3011,6879,7004,6165,6602,145,74,23,9,267,176,4,4,52,43,223,94
23005011300,140,23,005,38860,438,,,Census Tract 113,2489,964,1883,677,2489,1883,2378,1824,30,11,6,1,23,19,0,4,9,7,43,17
