GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
24001000100,140,24,001,19060,999,,,Census Tract 1,3718,2005,3741,1852,3718,3741,3628,3619,35,93,11,8,5,2,0,1,3,3,36,15
24001000200,140,24,001,19060,999,,,Census Tract 2,4564,1468,4622,1363,4564,4622,3635,3657,856,922,2,2,20,11,1,0,21,0,29,25
24001000300,140,24,001,19060,999,,,Census Tract 3,2780,1255,2696,1247,2780,2696,2644,2618,79,65,3,2,2,0,1,0,4,1,47,10
24001000400,140,24,001,19060,999,,,Census Tract 4,3022,1592,3250,1634,3022,3250,2777,3061,149,134,7,6,16,5,4,0,1,11,68,33
24001000500,140,24,001,19060,999,,,Census Tract 5,2734,1311,2583,1318,2734,2583,2287,2346,334,179,6,9,27,5,1,0,3,14,76,30
24001000600,140,24,001,19060,999,,,Census Tract 6,2965,1502,3285,1550,2965,3285,2666,3104,181,130,12,4,18,0,2,0,7,7,79,39
24001000700,140,24,001,19060,999,,,Census Tract 7,3387,1761,3470,1778,3387,3470,3103,3292,163,108,6,12,14,3,0,0,14,6,87,49
24001000800,140,24,001,19060,999,,,Census Tract 8,2213,1066,2347,1112,2213,2347,2029,2162,105,132,5,5,7,9,0,0,5,3,62,36
24001001000,140,24,001,19060,999,,,Census Tract 10,2547,1500,2810,1617,2547,2810,2254,2605,162,159,7,13,10,7,6,0,11,3,97,23
24001001100,140,24,001,19060,999,,,Census Tract 11,1493,977,1609,952,1493,1609,1378,1448,70,116,0,3,11,12,0,4,3,6,31,20
24001001200,140,24,001,19060,999,,,Census Tract 12,3164,1482,3240,1502,3164,3240,2833,2980,136,100,2,7,99,103,3,0,13,8,78,42
24001001300,140,24,001,19060,999,,,Census Tract 13,5268,984,3678,971,5268,3678,2756,2441,2448,1219,3,0,8,5,2,0,14,3,37,10
24001001401,140,24,001,19060,999,,,Census Tract 14.01,4110,1874,4102,1806,4110,4102,3948,3982,34,35,4,1,70,53,0,0,5,5,49,25
24001001402,140,24,001,19060,999,,,Census Tract 14.02,1589,736,1622,718,1589,1622,1520,1594,28,7,2,1,16,12,0,1,2,1,21,6
24001001502,140,24,001,19060,999,,,Census Tract 15.02,2055,893,2145,820,2055,2145,2008,2121,13,7,4,1,5,8,0,0,1,0,24,3
24001001503,140,24,001,19060,999,,,Census Tract 15.03,1968,878,2105,894,1968,2105,1922,2086,10,7,2,0,1,2,0,0,11,7,22,3
24001001600,140,24,001,19060,999,,,Census Tract 16,1766,800,1716,751,1766,1716,1697,1678,23,15,3,1,20,8,0,0,5,4,18,5
24001001700,140,24,001,19060,999,,,Census Tract 17,4818,2290,5069,2272,4818,5069,4556,4890,133,89,2,2,58,33,4,4,17,15,48,31
24001001800,140,24,001,19060,999,,,Census Tract 18,5411,1839,4869,1750,5411,4869,4159,4270,993,419,13,17,96,51,5,4,24,25,121,83
24001001900,140,24,001,19060,999,,,Census Tract 19,2623,1130,2548,1058,2623,2548,2590,2520,1,3,0,1,9,7,0,0,5,3,18,14
24001002000,140,24,001,19060,999,,,Census Tract 20,5552,2483,5561,2416,5552,5561,5370,5442,40,36,12,4,43,41,0,0,13,9,74,29
24001002100,140,24,001,19060,999,,,Census Tract 21,3466,1567,3631,1676,3466,3631,3409,3592,16,12,1,7,6,2,1,0,0,0,33,12
24001002200,140,24,001,19060,999,,,Census Tract 22,3874,1918,4226,1922,3874,4226,3812,4189,19,14,0,3,7,6,1,1,4,2,31,11
24003701101,140,24,003,12580,548,,,Census Tract 7011.01,4151,1633,3725,1399,4151,3725,3864,3514,95,110,16,15,95,42,1,1,17,5,63,38
24003701102,140,24,003,12580,548,,,Census Tract 7011.02,7508,3201,6332,2573,7508,6332,6602,6052,185,146,27,9,132,34,1,0,357,12,204,79
24003701200,140,24,003,12580,548,,,Census Tract 7012,8298,3393,6827,2783,8298,6827,7790,6574,144,85,34,22,83,37,1,1,80,16,166,92
24003701300,140,24,003,12580,548,,,Census Tract 7013,7906,2842,6995,2431,7906,6995,6952,6322,633,497,24,29,86,48,8,5,43,20,160,74
24003701400,140,24,003,12580,548,,,Census Tract 7014,3575,1332,2690,995,3575,2690,2947,2174,487,469,8,1,35,17,0,0,34,8,64,21
24003702100,140,24,003,12580,548,,,Census Tract 7021,6722,2791,6122,2504,6722,6122,6191,5717,251,229,15,30,63,54,9,2,52,20,141,70
24003702204,140,24,003,12580,548,,,Census Tract 7022.04,4169,1560,4021,1499,4169,4021,3721,3721,163,138,9,9,147,82,1,2,14,19,114,47
24003702205,140,24,003,12580,548,,,Census Tract 7022.05,5322,2366,5132,2273,5322,5132,4449,4749,503,176,7,12,199,105,1,3,38,24,125,60
24003702206,140,24,003,12580,548,,,Census Tract 7022.06,6372,2401,5515,2042,6372,5515,5059,4805,785,424,12,14,228,148,7,1,62,37,219,84
24003702208,140,24,003,12580,548,,,Census Tract 7022.08,6962,2630,6027,2236,6962,6027,4774,5250,1055,463,8,15,564,162,15,1,251,40,295,92
24003702209,140,24,003,12580,548,,,Census Tract 7022.09,4523,1568,3915,1333,4523,3915,3828,3411,303,301,9,10,206,105,6,1,30,26,141,60
24003702300,140,24,003,12580,548,,,Census Tract 7023,5423,2016,5265,1865,5423,5265,5042,5033,146,113,17,9,106,67,1,2,7,7,104,34
24003702402,140,24,003,12580,548,,,Census Tract 7024.02,6049,3441,4790,2335,6049,4790,5363,4493,312,142,17,10,185,100,3,3,56,10,113,32
24003702500,140,24,003,12580,548,,,Census Tract 7025,6669,2293,5251,1814,6669,5251,2437,1724,2974,3120,14,7,146,64,2,0,904,215,192,121
24003702601,140,24,003,12580,548,,,Census Tract 7026.01,5629,2287,5709,2206,5629,5709,4611,4771,675,735,20,4,105,97,2,1,94,32,122,69
24003702602,140,24,003,12580,548,,,Census Tract 7026.02,6021,2607,5754,2411,6021,5754,5002,4856,685,720,18,5,111,71,3,7,54,16,148,79
24003702701,140,24,003,12580,548,,,Census Tract 7027.01,4815,2357,4423,2052,4815,4423,3864,3846,638,404,12,11,149,71,0,4,69,23,83,61
24003702702,140,24,003,12580,548,,,Census Tract 7027.02,3857,1748,3544,1521,3857,3544,3618,3081,61,324,5,8,106,57,0,3,20,19,47,49
24003706101,140,24,003,12580,548,,,Census Tract 7061.01,3686,2023,3805,1972,3686,3805,2747,2755,768,956,1,4,37,36,1,2,74,8,58,42
24003706301,140,24,003,12580,548,,,Census Tract 7063.01,4663,2742,4627,2567,4663,4627,3189,3677,1136,763,6,7,70,82,0,1,167,46,95,49
24003706302,140,24,003,12580,548,,,Census Tract 7063.02,3224,2084,3200,1951,3224,3200,2871,2542,167,527,9,5,66,57,1,0,53,31,57,34
24003706401,140,24,003,12580,548,,,Census Tract 7064.01,6442,2407,5736,2278,6442,5736,3476,3696,1244,1379,25,12,183,146,3,4,1282,330,229,169
24003706402,140,24,003,12580,548,,,Census Tract 7064.02,3210,1653,3250,1585,3210,3250,1736,1783,1105,1290,14,10,60,68,0,1,207,26,88,72
24003706500,140,24,003,12580,548,,,Census Tract 7065,5222,2530,4337,1947,5222,4337,3128,2694,1281,1392,17,11,126,75,2,0,543,109,125,56
24003706600,140,24,003,12580,548,,,Census Tract 7066,4591,2093,4970,2070,4591,4970,3383,3406,803,1376,1,0,76,80,2,0,213,42,113,62
24003706700,140,24,003,12580,548,,,Census Tract 7067,4890,195,4264,263,4890,4264,4013,3714,265,234,25,14,190,126,13,5,63,78,321,93
24003707001,140,24,003,12580,548,,,Census Tract 7070.01,6082,2715,5702,2364,6082,5702,5226,4913,633,643,20,26,51,26,0,0,39,22,113,72
24003707002,140,24,003,12580,548,,,Census Tract 7070.02,4696,2077,4762,1928,4696,4762,4248,4373,288,288,19,5,34,21,4,3,29,7,74,65
24003708001,140,24,003,12580,548,,,Census Tract 7080.01,3873,1703,6443,2509,3873,6443,3526,5710,212,556,16,20,33,50,0,2,28,17,58,86
24003708004,140,24,003,12580,548,,,Census Tract 7080.04,5485,2304,5187,2086,5485,5187,4354,4461,827,581,37,19,34,28,1,2,60,17,172,75
24003730100,140,24,003,12580,548,,,Census Tract 7301,7451,3031,6118,2426,7451,6118,6440,5719,529,217,27,27,181,62,17,10,92,31,165,52
24003730203,140,24,003,12580,548,,,Census Tract 7302.03,5303,2613,4889,2516,5303,4889,3105,3518,1245,963,20,33,268,150,7,4,464,74,194,144
24003730204,140,24,003,12580,548,,,Census Tract 7302.04,5723,2001,5486,1801,5723,5486,3193,3415,1926,1811,13,20,248,121,12,3,135,30,196,86
24003730300,140,24,003,12580,548,,,Census Tract 7303,3113,1209,3121,1175,3113,3121,2575,2837,270,120,13,11,73,60,2,2,105,28,75,60
24003730401,140,24,003,12580,548,,,Census Tract 7304.01,4745,1822,4144,1620,4745,4144,3484,3671,679,248,12,19,238,123,8,4,148,25,176,53
24003730402,140,24,003,12580,548,,,Census Tract 7304.02,6136,2604,5843,2479,6136,5843,4319,4865,1052,614,30,5,197,180,7,3,280,64,251,112
24003730502,140,24,003,12580,548,,,Census Tract 7305.02,6327,2493,5609,2097,6327,5609,4011,4200,1529,890,26,20,415,328,3,1,115,46,228,124
24003730504,140,24,003,12580,548,,,Census Tract 7305.04,7630,2929,7691,2893,7630,7691,4966,5857,1896,1247,21,29,293,325,8,5,151,92,295,136
24003730505,140,24,003,12580,548,,,Census Tract 7305.05,4599,2137,4304,2019,4599,4304,2187,2757,1590,1063,19,12,317,268,9,8,234,72,243,121
24003730506,140,24,003,12580,548,,,Census Tract 7305.06,3888,1961,3638,1853,3888,3638,1669,2331,1695,898,12,10,156,226,8,6,177,61,171,103
24003730601,140,24,003,12580,548,,,Census Tract 7306.01,6846,2344,6546,2077,6846,6546,6347,6155,101,60,13,7,263,251,6,5,17,24,99,44
24003730603,140,24,003,12580,548,,,Census Tract 7306.03,3107,1086,2903,965,3107,2903,2670,2610,192,164,14,12,109,76,1,1,41,4,80,36
24003730604,140,24,003,12580,548,,,Census Tract 7306.04,6748,2236,6212,2054,6748,6212,5909,5567,398,337,12,15,255,213,5,1,47,23,122,56
24003730700,140,24,003,12580,548,,,Census Tract 7307,6978,2706,6650,2607,6978,6650,6447,6121,243,261,9,7,139,141,1,2,36,34,103,84
24003730800,140,24,003,12580,548,,,Census Tract 7308,2456,966,2324,920,2456,2324,2337,2230,44,33,2,4,34,28,1,1,10,11,28,17
24003730901,140,24,003,12580,548,,,Census Tract 7309.01,2608,1020,3039,1033,2608,3039,2055,2318,397,564,11,3,54,51,2,1,35,35,54,67
24003730902,140,24,003,12580,548,,,Census Tract 7309.02,4075,1576,3282,1239,4075,3282,3656,2968,186,202,1,7,91,47,0,3,54,4,87,51
24003731002,140,24,003,12580,548,,,Census Tract 7310.02,3234,1350,2560,984,3234,2560,2757,2121,332,335,5,4,46,37,6,1,31,12,57,50
24003731003,140,24,003,12580,548,,,Census Tract 7310.03,4387,1624,4084,1475,4387,4084,4010,3798,150,156,12,4,73,46,0,3,31,26,111,49
24003731004,140,24,003,12580,548,,,Census Tract 7310.04,4258,1642,3971,1498,4258,3971,3831,3695,226,149,12,4,63,45,3,2,23,25,100,48
24003731102,140,24,003,12580,548,,,Census Tract 7311.02,7750,3168,7622,3095,7750,7622,7114,7216,243,143,16,12,161,100,1,1,51,38,164,109
24003731103,140,24,003,12580,548,,,Census Tract 7311.03,5422,1923,5456,1823,5422,5456,4555,4786,493,452,14,15,138,90,1,3,111,28,110,82
24003731104,140,24,003,12580,548,,,Census Tract 7311.04,4097,1438,4347,1437,4097,4347,3510,3902,253,269,12,5,139,73,1,0,60,32,122,63
24003731105,140,24,003,12580,548,,,Census Tract 7311.05,3572,1353,3791,1352,3572,3791,3152,3403,179,235,10,5,89,63,2,0,37,27,103,55
24003731201,140,24,003,12580,548,,,Census Tract 7312.01,6354,2437,6158,2230,6354,6158,5879,5899,153,82,5,9,174,109,2,3,22,7,119,49
24003731202,140,24,003,12580,548,,,Census Tract 7312.02,7686,2946,7511,2779,7686,7511,7219,7149,208,195,20,20,76,58,2,4,38,16,123,69
24003731203,140,24,003,12580,548,,,Census Tract 7312.03,7295,2624,6898,2388,7295,6898,6455,6195,553,525,14,10,123,75,2,4,35,21,113,68
24003731204,140,24,003,12580,548,,,Census Tract 7312.04,6115,2404,5233,2158,6115,5233,5364,4698,411,333,16,24,143,103,1,1,78,14,102,60
24003731303,140,24,003,12580,548,,,Census Tract 7313.03,6827,2795,6722,2593,6827,6722,6579,6556,70,29,16,27,57,47,12,2,17,9,76,52
24003731306,140,24,003,12580,548,,,Census Tract 7313.06,6293,2460,5835,2201,6293,5835,5998,5647,97,62,33,17,49,24,1,6,31,15,84,64
24003731307,140,24,003,12580,548,,,Census Tract 7313.07,6586,2480,6005,2214,6586,6005,5703,5448,471,307,21,41,141,85,9,3,72,23,169,98
24003731308,140,24,003,12580,548,,,Census Tract 7313.08,3688,1486,3520,1394,3688,3520,3539,3443,48,10,8,7,25,19,0,5,9,9,59,27
24003731309,140,24,003,12580,548,,,Census Tract 7313.09,5524,2134,5534,2081,5524,5534,4961,5209,287,171,8,11,71,68,2,0,38,17,157,58
24003731310,140,24,003,12580,548,,,Census Tract 7313.10,5247,1861,5377,1806,5247,5377,4682,5007,281,204,18,7,78,55,0,0,54,24,134,77
24003731311,140,24,003,12580,548,,,Census Tract 7313.11,8070,2797,7456,2557,8070,7456,6798,6859,570,328,35,38,248,100,2,1,194,39,223,89
24003740102,140,24,003,12580,548,,,Census Tract 7401.02,6497,2772,5395,1326,6497,5395,3904,3135,1269,2061,26,14,958,72,8,2,102,28,230,79
24003740103,140,24,003,12580,548,,,Census Tract 7401.03,8479,3006,7540,2623,8479,7540,4556,4743,2479,2032,25,25,800,382,12,1,168,90,439,267
24003740104,140,24,003,12580,548,,,Census Tract 7401.04,7984,2910,7106,2485,7984,7106,2879,3308,3917,3098,25,23,557,278,3,12,173,131,430,256
