GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
25001010100,140,25,001,12700,999,,,Census Tract 101,2942,4494,3431,3890,2942,3431,2691,3004,118,258,18,11,18,17,1,0,46,37,50,104
25001010206,140,25,001,12700,999,,,Census Tract 102.06,2750,4305,2798,3819,2750,2798,2666,2684,22,37,7,9,13,10,0,1,15,18,27,35
25001010208,140,25,001,12700,999,,,Census Tract 102.08,2003,3077,2037,2729,2003,2037,1911,1955,39,27,4,7,10,7,0,1,9,13,30,25
25001010304,140,25,001,12700,999,,,Census Tract 103.04,2421,2706,2663,2512,2421,2663,2351,2565,17,39,6,3,17,8,0,0,6,7,24,37
25001010306,140,25,001,12700,999,,,Census Tract 103.06,2535,3254,2789,3022,2535,2789,2459,2686,17,41,6,4,12,8,3,1,6,8,32,39
25001010400,140,25,001,12700,999,,,Census Tract 104,2999,2359,3189,2189,2999,3189,2862,3093,39,24,5,3,27,14,0,0,22,7,44,45
25001010500,140,25,001,12700,999,,,Census Tract 105,2891,2985,3150,2885,2891,3150,2826,3092,14,12,2,7,18,20,1,0,8,2,22,17
25001010600,140,25,001,12700,999,,,Census Tract 106,2973,2998,3336,2714,2973,3336,2841,3171,54,94,8,7,15,13,0,1,20,37,35,13
25001010700,140,25,001,12700,999,,,Census Tract 107,3152,4345,3289,4029,3152,3289,3044,3191,32,23,8,5,21,5,0,0,18,24,29,41
25001010800,140,25,001,12700,999,,,Census Tract 108,4878,3788,5050,3563,4878,5050,4726,4951,23,32,9,13,46,24,0,0,20,7,54,20
25001010900,140,25,001,12700,999,,,Census Tract 109,4942,4160,5039,3768,4942,5039,4770,4858,48,44,6,8,42,51,2,2,30,27,44,43
25001011002,140,25,001,12700,999,,,Census Tract 110.02,4157,3512,4257,3205,4157,4257,3809,3988,88,47,25,9,17,3,2,3,137,121,79,80
25001011100,140,25,001,12700,999,,,Census Tract 111,4694,3084,4507,2777,4694,4507,4411,4302,63,27,16,5,45,12,0,2,49,86,110,72
25001011200,140,25,001,12700,999,,,Census Tract 112,3392,3688,3619,3468,3392,3619,3224,3523,42,13,11,8,21,11,0,0,51,44,43,20
25001011300,140,25,001,12700,999,,,Census Tract 113,2600,2690,2988,2457,2600,2988,2518,2918,19,8,8,3,8,22,8,0,16,9,23,28
25001011400,140,25,001,12700,999,,,Census Tract 114,2991,2660,3602,2411,2991,3602,2867,3507,38,29,7,7,9,3,1,0,21,26,48,29
25001011500,140,25,001,12700,999,,,Census Tract 115,4029,2715,3976,2626,4029,3976,3744,3775,98,60,22,25,29,14,2,0,55,33,79,69
25001011600,140,25,001,12700,999,,,Census Tract 116,2710,4812,3199,4102,2710,3199,2391,2869,126,155,20,10,11,13,0,0,68,62,94,88
25001011700,140,25,001,12700,999,,,Census Tract 117,1877,2709,2216,2512,1877,2216,1769,2111,21,55,12,14,24,6,1,0,24,10,26,20
25001011801,140,25,001,12700,999,,,Census Tract 118.01,2403,1713,2420,1590,2403,2420,2358,2375,8,9,7,3,17,9,1,0,2,6,10,16
25001011802,140,25,001,12700,999,,,Census Tract 118.02,4255,2360,4286,2191,4255,4286,4066,4205,38,15,9,5,39,15,0,1,41,11,62,30
25001012001,140,25,001,12700,999,,,Census Tract 120.01,5732,3553,5987,3436,5732,5987,5371,5699,131,80,10,16,54,45,0,4,83,52,83,89
25001012002,140,25,001,12700,999,,,Census Tract 120.02,3007,3171,3141,3066,3007,3141,2676,2989,85,42,14,8,75,23,0,2,65,27,92,46
25001012101,140,25,001,12700,999,,,Census Tract 121.01,5339,3164,5701,3000,5339,5701,4790,5308,144,117,25,29,43,24,1,0,171,85,165,134
25001012102,140,25,001,12700,999,,,Census Tract 121.02,3057,3503,3265,3321,3057,3265,2770,3040,80,67,7,17,34,13,1,0,76,49,89,77
25001012200,140,25,001,12700,999,,,Census Tract 122,5046,2726,5046,2409,5046,5046,4852,4958,38,26,10,3,54,18,3,3,20,4,69,34
25001012502,140,25,001,12700,999,,,Census Tract 125.02,3080,2691,3726,2615,3080,3726,2629,3202,127,163,24,18,49,50,1,1,152,102,98,190
25001012601,140,25,001,12700,999,,,Census Tract 126.01,2877,1305,2859,1295,2877,2859,2444,2362,124,187,20,36,79,41,8,0,94,103,108,127
25001012602,140,25,001,12700,999,,,Census Tract 126.02,4915,2276,4886,2259,4915,4886,3645,4037,421,321,82,62,76,71,1,1,334,175,356,216
