GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
26017990000,140,26,017,13020,474,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26151990000,140,26,151,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26011990100,140,26,011,99999,999,,,Census Tract 9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26061990000,140,26,061,26340,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26061990100,140,26,061,26340,999,,,Census Tract 9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26075005800,140,26,075,27100,999,,,Census Tract 58,6776,0,3009,0,6776,3009,3640,1483,3053,1444,66,13,8,3,0,0,0,62,9,4
26101990000,140,26,101,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26161421900,140,26,161,11460,220,,,Census Tract 4219,1491,5,1568,12,1491,1568,591,674,696,803,34,6,22,15,3,0,74,36,71,34
26031990000,140,26,031,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26153990000,140,26,153,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26163990200,140,26,163,19820,220,,,Census Tract 9902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26011990000,140,26,011,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26019990000,140,26,019,45900,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26029990000,140,26,029,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26033980100,140,26,033,42300,999,,,Census Tract 9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26041990000,140,26,041,21540,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26041990100,140,26,041,21540,999,,,Census Tract 9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26065004492,140,26,065,29620,330,,,Census Tract 44.92,3616,0,4072,0,3616,4072,2970,3245,253,462,6,14,280,230,1,0,21,41,85,77
26065004493,140,26,065,29620,330,,,Census Tract 44.93,1564,1,1017,5,1564,1017,854,790,124,89,6,2,497,112,0,0,14,6,69,15
26065004494,140,26,065,29620,330,,,Census Tract 44.94,3085,2,2007,11,3085,2007,2199,1559,417,176,7,5,365,222,3,0,17,12,77,31
26087339000,140,26,087,19820,220,,,Census Tract 3390,3128,1165,2711,919,3128,2711,2951,2602,8,4,13,5,15,12,0,0,89,66,52,17
26099982000,140,26,099,19820,220,,,Census Tract 9820,13,10,12,11,13,12,11,12,0,0,0,0,2,0,0,0,0,0,0,0
26125154000,140,26,125,19820,220,,,Census Tract 1540,1717,862,1727,847,1717,1727,1625,1647,36,20,6,7,12,13,0,0,9,0,29,36
26163564300,140,26,163,19820,220,,,Census Tract 5643,2644,1145,2547,942,2644,2547,2028,2178,208,116,6,11,321,194,0,0,18,15,63,33
26163590600,140,26,163,19820,220,,,Census Tract 5906,2450,988,1682,585,2450,1682,2236,1628,92,7,18,10,36,10,0,0,13,6,55,21
26005031100,140,26,005,10880,266,,,Census Tract 311,6409,2965,6094,2672,6409,6094,6174,5900,57,48,30,15,27,19,0,0,35,43,86,66
26015011400,140,26,015,24340,266,,,Census Tract 114,6408,2740,6094,2501,6408,6094,6232,5939,16,11,23,35,14,17,0,0,41,34,82,58
26021002200,140,26,021,35660,999,,,Census Tract 22,2682,1159,2724,1218,2682,2724,280,277,2265,2364,9,7,1,4,0,0,70,12,57,60
26023951500,140,26,023,17740,999,,,Census Tract 9515,3044,1298,3120,1307,3044,3120,2908,3004,13,4,10,16,18,33,0,2,34,17,61,44
26025003700,140,26,025,12980,999,,,Census Tract 37,4834,2225,4955,2109,4834,4955,4696,4814,12,14,16,25,4,6,0,0,29,39,77,57
26025003800,140,26,025,12980,999,,,Census Tract 38,4128,1663,3893,1489,4128,3893,4011,3786,9,13,19,18,13,16,0,3,28,9,48,48
26029000900,140,26,029,99999,999,,,Census Tract 9,1813,1775,1812,1598,1813,1812,1716,1723,7,4,39,41,4,10,0,3,24,2,23,29
26033970300,140,26,033,42300,999,,,Census Tract 9703,3998,1829,3744,1423,3998,3744,3217,3227,44,17,461,321,67,31,6,1,15,6,188,141
26041970300,140,26,041,21540,999,,,Census Tract 9703,2510,1759,2561,1575,2510,2561,2400,2462,2,1,60,46,4,8,0,0,6,5,38,39
26041970400,140,26,041,21540,999,,,Census Tract 9704,5528,2456,5269,2079,5528,5269,5277,5052,9,2,121,98,27,22,2,7,5,8,87,80
26045020304,140,26,045,29620,330,,,Census Tract 203.04,4821,2595,4518,2214,4821,4518,3751,3970,593,281,22,22,231,100,0,1,98,60,126,81
26049010115,140,26,049,22420,220,,,Census Tract 101.15,909,410,1437,610,909,1437,851,1348,14,20,4,15,3,4,0,0,7,20,30,30
26049012503,140,26,049,22420,220,,,Census Tract 125.03,2933,1402,4084,1582,2933,4084,2748,3763,80,181,17,37,16,13,0,0,16,37,56,53
26049013112,140,26,049,22420,220,,,Census Tract 131.12,4461,1667,3347,1241,4461,3347,4281,3236,18,11,20,6,56,44,1,0,22,7,63,39
26063950700,140,26,063,99999,999,,,Census Tract 9507,3459,1999,3806,1885,3459,3806,3406,3711,9,11,11,13,6,13,0,0,10,26,17,32
26065004100,140,26,065,29620,330,,,Census Tract 41,4781,1479,4614,1419,4781,4614,4430,4309,52,73,10,13,163,123,2,5,32,33,92,58
26077000201,140,26,077,28020,999,,,Census Tract 2.01,2213,1138,2030,920,2213,2030,1547,1511,506,364,18,23,27,21,1,1,17,20,97,90
26081011702,140,26,081,24340,266,,,Census Tract 117.02,4149,1897,3902,1725,4149,3902,3858,3671,89,86,17,11,47,37,2,3,58,41,78,53
26083000100,140,26,083,26340,999,,,Census Tract 1,2156,2342,2301,2240,2156,2301,2123,2185,3,81,3,3,1,3,0,0,1,4,25,25
26087338500,140,26,087,19820,220,,,Census Tract 3385,4755,2001,4678,1789,4755,4678,4592,4531,11,6,15,27,7,20,0,1,70,55,60,38
26091060401,140,26,091,10300,999,,,Census Tract 604.01,3551,2094,3480,1838,3551,3480,3435,3416,17,5,11,6,7,9,0,0,13,9,68,33
26093724003,140,26,093,19820,220,,,Census Tract 7240.03,2129,860,1801,630,2129,1801,2076,1761,3,3,14,5,12,4,1,0,1,5,22,21
26093725000,140,26,093,19820,220,,,Census Tract 7250,5104,2687,4394,2140,5104,4394,4885,4249,13,6,26,22,65,68,22,2,24,18,69,29
26099222800,140,26,099,19820,220,,,Census Tract 2228,3214,1289,2808,1067,3214,2808,2982,2704,109,30,25,12,40,16,0,0,6,4,52,42
26099240700,140,26,099,19820,220,,,Census Tract 2407,4173,1670,4403,1683,4173,4403,3945,4280,102,30,7,6,55,40,0,0,5,7,59,40
26099255300,140,26,099,19820,220,,,Census Tract 2553,3883,1811,3757,1715,3883,3757,3022,3553,669,35,23,23,49,45,0,6,17,24,103,71
26099263800,140,26,099,19820,220,,,Census Tract 2638,3106,1259,3382,1293,3106,3382,1880,3062,855,67,16,26,142,89,0,0,27,21,186,117
26125128400,140,26,125,19820,220,,,Census Tract 1284,3485,1459,3170,1304,3485,3170,2911,2904,262,79,12,17,72,30,0,2,130,66,98,72
26125140301,140,26,125,19820,220,,,Census Tract 1403.01,3826,2130,3492,1867,3826,3492,2192,2697,902,431,15,8,362,209,0,0,203,55,152,89
26125153300,140,26,125,19820,220,,,Census Tract 1533,3504,1588,3065,1546,3504,3065,3228,2960,110,20,2,4,92,37,0,2,7,7,65,35
26125166700,140,26,125,19820,220,,,Census Tract 1667,2394,863,2240,769,2394,2240,1335,1611,708,453,1,0,264,118,0,0,12,3,74,55
26125183800,140,26,125,19820,220,,,Census Tract 1838,4491,2266,4780,2254,4491,4780,4184,4602,119,51,16,14,74,44,8,0,19,32,71,37
26125197702,140,26,125,19820,220,,,Census Tract 1977.02,1743,1149,1537,980,1743,1537,833,1158,111,46,10,2,732,303,0,0,17,5,40,21
26139022103,140,26,139,26100,266,,,Census Tract 221.03,1492,777,1367,675,1492,1367,1435,1254,5,6,3,1,9,37,2,0,7,42,31,24
26145001900,140,26,145,40980,474,,,Census Tract 19,1956,880,2206,929,1956,2206,1202,1617,536,318,6,7,6,12,0,0,96,159,110,93
26147658100,140,26,147,19820,220,,,Census Tract 6581,2648,977,2477,857,2648,2477,2565,2433,11,6,6,3,12,7,2,2,17,16,35,10
26161413000,140,26,161,11460,220,,,Census Tract 4130,3876,1776,4254,1702,3876,4254,1855,2399,1760,1606,23,9,40,32,0,0,23,64,175,144
26163504700,140,26,163,19820,220,,,Census Tract 5047,2097,978,3432,1376,2097,3432,28,52,2037,3329,3,3,2,1,0,1,1,9,26,37
26163516300,140,26,163,19820,220,,,Census Tract 5163,890,425,1455,502,890,1455,51,103,822,1333,1,2,2,0,0,0,4,7,10,10
26163527200,140,26,163,19820,220,,,Census Tract 5272,1190,685,2228,965,1190,2228,21,19,1124,2163,1,5,0,4,0,0,22,7,22,28
26163537500,140,26,163,19820,220,,,Census Tract 5375,2966,1283,3866,1335,2966,3866,25,46,2889,3765,13,11,1,2,0,0,1,2,37,40
26163537600,140,26,163,19820,220,,,Census Tract 5376,3243,1423,3900,1425,3243,3900,52,48,3138,3767,3,8,4,5,0,1,5,13,41,58
26163545100,140,26,163,19820,220,,,Census Tract 5451,1544,802,2828,971,1544,2828,57,115,1456,2644,3,11,0,2,0,0,2,7,26,49
26163545200,140,26,163,19820,220,,,Census Tract 5452,3280,1589,4866,1694,3280,4866,71,103,3131,4700,8,15,11,0,2,1,1,5,56,42
26163555400,140,26,163,19820,220,,,Census Tract 5554,2861,1127,3040,1130,2861,3040,595,1373,2093,1531,8,8,34,30,0,2,41,28,90,68
26163564200,140,26,163,19820,220,,,Census Tract 5642,3817,1562,4033,1591,3817,4033,3003,3559,290,120,7,9,364,241,0,2,28,15,125,87
26163571600,140,26,163,19820,220,,,Census Tract 5716,1672,776,1624,766,1672,1624,1454,1500,116,28,7,5,37,21,0,0,11,11,47,59
26163579200,140,26,163,19820,220,,,Census Tract 5792,3295,1558,4059,1711,3295,4059,2013,3122,879,649,20,37,3,11,1,3,194,84,185,153
26163590500,140,26,163,19820,220,,,Census Tract 5905,6278,2582,5963,2218,6278,5963,5875,5693,111,59,44,48,39,23,0,0,42,34,167,101
26165380300,140,26,165,15620,999,,,Census Tract 3803,2813,2108,2851,1941,2813,2851,2727,2792,8,3,30,20,4,0,5,0,4,5,35,31
26005030902,140,26,005,10880,266,,,Census Tract 309.02,2519,1625,2610,1458,2519,2610,2254,2363,4,54,5,18,10,7,6,0,183,126,57,39
26005031000,140,26,005,10880,266,,,Census Tract 310,6214,3105,6449,2944,6214,6449,4959,5220,252,397,71,53,14,15,2,6,686,552,230,206
26005031300,140,26,005,10880,266,,,Census Tract 313,4692,1848,4600,1683,4692,4600,4492,4479,26,6,23,22,16,19,0,0,54,39,81,35
26005031800,140,26,005,10880,266,,,Census Tract 318,4486,1913,4489,1778,4486,4489,4329,4374,18,14,11,11,19,19,0,1,41,12,68,58
26005031900,140,26,005,10880,266,,,Census Tract 319,5007,2087,4246,1692,5007,4246,4710,4113,45,15,21,26,39,22,0,1,43,15,149,54
26005032000,140,26,005,10880,266,,,Census Tract 320,5260,2143,5000,1938,5260,5000,5045,4828,50,28,34,22,19,17,2,0,30,21,80,84
26005032100,140,26,005,10880,266,,,Census Tract 321,4496,1846,4622,1788,4496,4622,4340,4510,41,10,19,16,18,17,1,3,28,27,49,39
26009990000,140,26,009,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26015010800,140,26,015,24340,266,,,Census Tract 108,3378,1398,3181,1214,3378,3181,3290,3110,8,21,15,13,8,10,0,0,10,7,47,20
