GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
27001770200,140,27,001,99999,999,,,Census Tract 7702,2336,2111,2195,1776,2336,2195,2231,2144,18,7,37,22,2,0,0,0,6,0,42,22
27001770400,140,27,001,99999,999,,,Census Tract 7704,3052,3450,2882,3155,3052,2882,2758,2635,3,7,233,207,5,6,0,0,6,3,47,24
27001790501,140,27,001,99999,999,,,Census Tract 7905.01,1957,2305,1807,2012,1957,1807,1913,1763,4,3,19,21,1,3,1,0,1,3,18,10
27003050108,140,27,003,33460,378,,,Census Tract 501.08,4750,1776,3082,1077,4750,3082,4528,2941,40,4,17,17,43,58,4,1,17,4,101,53
27003050110,140,27,003,33460,378,,,Census Tract 501.10,2715,990,2709,911,2715,2709,2592,2645,9,1,11,6,56,9,1,0,6,7,40,41
27003050114,140,27,003,33460,378,,,Census Tract 501.14,2803,1007,2619,824,2803,2619,2720,2535,13,23,8,25,24,14,0,0,3,3,35,17
27003050115,140,27,003,33460,378,,,Census Tract 501.15,5228,1875,4286,1410,5228,4286,4970,4177,27,11,13,21,126,19,0,0,22,12,70,46
27003050116,140,27,003,33460,378,,,Census Tract 501.16,4443,1494,3558,1136,4443,3558,4276,3505,39,7,24,10,56,6,0,0,6,5,42,24
27003050210,140,27,003,33460,378,,,Census Tract 502.10,3914,1464,3957,1358,3914,3957,3665,3862,26,7,25,22,139,22,3,0,8,3,48,41
27003050215,140,27,003,33460,378,,,Census Tract 502.15,4192,1471,3526,1178,4192,3526,3916,3414,15,17,14,6,146,32,0,5,38,15,63,37
27003050216,140,27,003,33460,378,,,Census Tract 502.16,5474,1801,3729,1197,5474,3729,5172,3594,45,23,8,16,138,31,2,0,43,15,66,50
27003050217,140,27,003,33460,378,,,Census Tract 502.17,2724,914,2570,794,2724,2570,2556,2497,36,4,9,11,78,21,0,0,9,7,36,25
27003050218,140,27,003,33460,378,,,Census Tract 502.18,3220,1090,3165,1006,3220,3165,3053,3076,24,21,8,7,61,15,0,0,21,8,53,38
27003050219,140,27,003,33460,378,,,Census Tract 502.19,3061,1037,3298,994,3061,3298,2814,3179,38,22,21,15,99,38,0,0,22,12,67,32
27003050220,140,27,003,33460,378,,,Census Tract 502.20,6534,2222,5676,1819,6534,5676,6123,5471,124,33,26,27,88,49,0,3,51,15,122,78
27003050221,140,27,003,33460,378,,,Census Tract 502.21,6365,2029,3549,1072,6365,3549,5938,3442,138,11,25,14,136,24,1,0,27,15,100,43
27003050223,140,27,003,33460,378,,,Census Tract 502.23,2673,906,2505,784,2673,2505,2588,2440,14,6,10,16,39,13,0,0,4,3,18,27
27003050224,140,27,003,33460,378,,,Census Tract 502.24,2788,978,2716,859,2788,2716,2667,2645,10,6,16,17,38,10,1,0,9,9,47,29
27003050225,140,27,003,33460,378,,,Census Tract 502.25,6091,2078,3812,1211,6091,3812,5591,3720,111,9,21,5,205,38,0,0,43,10,120,30
27003050226,140,27,003,33460,378,,,Census Tract 502.26,2919,1017,2521,759,2919,2521,2701,2437,69,9,15,9,70,29,0,0,12,9,52,28
27003050228,140,27,003,33460,378,,,Census Tract 502.28,4893,1837,3459,1165,4893,3459,4227,3323,362,20,15,16,97,27,1,1,105,13,86,59
27003050229,140,27,003,33460,378,,,Census Tract 502.29,5425,1444,5022,1253,5425,5022,4670,4322,463,375,95,92,119,62,4,0,14,79,60,92
27003050230,140,27,003,33460,378,,,Census Tract 502.30,2398,721,1529,475,2398,1529,2113,1444,4,9,14,8,199,36,1,0,8,7,59,25
27003050233,140,27,003,33460,378,,,Census Tract 502.33,3053,1067,2281,731,3053,2281,2822,2220,26,8,12,9,124,10,0,0,16,11,53,23
27003050234,140,27,003,33460,378,,,Census Tract 502.34,2861,1037,2698,871,2861,2698,2713,2602,15,14,15,20,53,19,2,0,19,8,44,35
27003050237,140,27,003,33460,378,,,Census Tract 502.37,5044,1776,4298,1415,5044,4298,4764,4180,53,13,12,7,115,45,0,0,15,9,85,41
