GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
28143980000,140,28,143,32820,999,,,Census Tract 9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28059990000,140,28,059,37700,274,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28075980000,140,28,075,32940,999,,,Census Tract 9800,63,28,58,27,63,58,49,18,5,38,0,0,0,0,0,0,9,0,0,0
28031950100,140,28,031,99999,999,,,Census Tract 9501,5087,2154,5199,2086,5087,5199,2279,2417,2706,2745,5,4,6,6,0,0,56,1,35,26
28031950200,140,28,031,99999,999,,,Census Tract 9502,2221,923,2452,958,2221,2452,830,1016,1293,1408,3,2,6,2,0,0,71,17,18,6
28031950300,140,28,031,99999,999,,,Census Tract 9503,4701,2143,4776,2085,4701,4776,2399,2519,2227,2188,8,1,18,10,2,0,18,3,29,50
28035010200,140,28,035,25620,999,,,Census Tract 102,6179,2659,6207,2519,6179,6207,3613,4120,2403,1981,9,6,15,14,13,1,50,16,76,69
28035010300,140,28,035,25620,999,,,Census Tract 103,3510,1478,3600,1458,3510,3600,2949,3245,434,287,2,13,6,5,0,0,54,19,65,31
28049000400,140,28,049,27140,298,,,Census Tract 4,3373,1424,3297,1423,3373,3297,1173,1622,2144,1565,1,5,14,57,1,0,18,9,22,39
28049000500,140,28,049,27140,298,,,Census Tract 5,6041,2490,6657,2517,6041,6657,86,158,5899,6434,4,3,1,15,0,1,11,10,40,36
28059041500,140,28,059,37700,274,,,Census Tract 415,1318,663,1496,670,1318,1496,252,425,1035,1055,0,1,14,0,0,3,6,1,11,11
28059041600,140,28,059,37700,274,,,Census Tract 416,2557,1128,3094,1163,2557,3094,294,536,2178,2513,3,1,3,9,0,1,44,5,35,29
28059041700,140,28,059,37700,274,,,Census Tract 417,2319,935,2636,931,2319,2636,84,119,2173,2461,10,4,7,5,0,0,18,33,27,14
28067980000,140,28,067,29860,999,,,Census Tract 9800,4,2,3,1,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
28075010600,140,28,075,32940,999,,,Census Tract 106,7630,3403,7389,3088,7630,7389,5560,5371,1945,1920,7,6,43,38,0,0,26,11,49,43
28075010700,140,28,075,32940,999,,,Census Tract 107,1464,715,1462,659,1464,1462,581,656,856,782,4,2,5,0,0,0,7,6,11,16
28083950800,140,28,083,24900,999,,,Census Tract 9508,4425,1879,5112,2082,4425,5112,112,224,4257,4813,5,4,13,33,0,1,2,3,36,30
28089031000,140,28,089,27140,298,,,Census Tract 310,1975,810,2041,726,1975,2041,324,333,1642,1684,2,2,0,12,0,1,0,0,7,9
28099010700,140,28,099,99999,999,,,Census Tract 107,4932,2174,4580,2057,4932,4580,3744,3743,914,701,177,95,8,2,1,0,18,10,70,29
28099940100,140,28,099,99999,999,,,Census Tract 9401,3885,1099,3455,964,3885,3455,638,719,111,65,3034,2596,1,2,2,0,4,14,95,59
28109950502,140,28,109,38100,999,,,Census Tract 9505.02,7562,3271,5987,2549,7562,5987,6952,5689,367,154,34,33,25,13,4,2,55,24,125,69
28127950400,140,28,127,27140,298,,,Census Tract 9504,7759,3428,7962,3145,7759,7962,4789,4812,2869,3105,4,6,6,7,0,1,30,8,61,23
28139950100,140,28,139,99999,999,,,Census Tract 9501,5052,2247,4587,2084,5052,4587,4369,4049,527,496,26,9,9,2,0,0,68,7,53,24
28139950200,140,28,139,99999,999,,,Census Tract 9502,6614,2874,6282,2606,6614,6282,5310,5196,1026,975,8,17,10,5,2,1,167,46,91,37
28149951101,140,28,149,46980,999,,,Census Tract 9511.01,5272,2200,5357,1990,5272,5357,3283,3614,1868,1642,20,11,29,42,0,0,9,11,63,37
28149951102,140,28,149,46980,999,,,Census Tract 9511.02,4747,1922,4981,1945,4747,4981,2715,3636,1761,1159,22,20,46,59,0,1,153,68,50,38
28159950100,140,28,159,99999,999,,,Census Tract 9501,3341,1512,3619,1465,3341,3619,2199,2289,1105,1291,17,15,3,3,1,0,2,2,14,19
28159950200,140,28,159,99999,999,,,Census Tract 9502,3870,1928,4222,1863,3870,4222,1883,2110,1938,2076,7,16,1,1,2,0,7,8,32,11
28007060500,140,28,007,99999,999,,,Census Tract 605,3855,1744,3870,1787,3855,3870,1790,2120,1955,1691,23,8,20,11,0,0,35,18,32,18
28007060600,140,28,007,99999,999,,,Census Tract 606,3686,1499,3554,1428,3686,3554,1608,1831,1993,1645,4,2,21,21,3,0,33,30,24,20
28019950200,140,28,019,99999,999,,,Census Tract 9502,4201,1992,4874,2015,4201,4874,2570,2921,1571,1901,8,15,1,1,0,1,9,13,42,22
28019950300,140,28,019,99999,999,,,Census Tract 9503,1585,756,1775,817,1585,1775,867,1056,699,682,2,4,2,10,1,0,1,16,13,7
28035010101,140,28,035,25620,999,,,Census Tract 101.01,5622,2144,4462,1612,5622,4462,4834,4071,649,331,5,9,41,13,3,0,28,11,62,22
28035010102,140,28,035,25620,999,,,Census Tract 101.02,6153,2308,4882,1736,6153,4882,5610,4455,366,363,22,10,17,14,1,1,69,13,68,25
28045990000,140,28,045,25060,274,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28049000302,140,28,049,27140,298,,,Census Tract 3.02,4050,2161,4551,2298,4050,4551,256,662,3643,3762,2,4,27,58,0,0,82,27,40,36
28049011500,140,28,049,27140,298,,,Census Tract 115,3581,877,3781,1291,3581,3781,42,21,3467,3715,2,10,10,5,0,0,7,2,53,28
28059041400,140,28,059,37700,274,,,Census Tract 414,2997,1399,3223,1366,2997,3223,1362,1638,1559,1526,9,12,16,12,1,0,17,18,33,17
