GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
29001950100,140,29,001,28860,999,,,Census Tract 9501,3802,1679,3520,1486,3802,3520,3720,3481,7,2,17,7,21,7,0,2,4,1,33,20
29001950200,140,29,001,28860,999,,,Census Tract 9502,3019,1613,2973,1437,3019,2973,2964,2946,5,0,12,12,8,7,0,0,10,1,20,7
29001950300,140,29,001,28860,999,,,Census Tract 9503,2951,1615,3209,1715,2951,3209,2721,3048,49,55,10,7,73,48,3,0,22,21,73,30
29001950400,140,29,001,28860,999,,,Census Tract 9504,3892,1855,3905,1804,3892,3905,3703,3731,36,46,13,11,60,66,4,1,26,14,50,36
29001950900,140,29,001,28860,999,,,Census Tract 9509,2277,1116,2206,1180,2277,2206,2086,2089,41,34,4,5,81,42,1,1,12,10,52,25
29001951000,140,29,001,28860,999,,,Census Tract 9510,2587,75,2588,156,2587,2588,2291,2367,121,94,3,5,76,64,3,0,18,16,75,42
29003010100,140,29,003,41140,999,,,Census Tract 101,5439,2197,5354,2072,5439,5354,5255,5238,44,38,19,25,19,18,1,0,28,13,73,22
29003010200,140,29,003,41140,999,,,Census Tract 102,6738,2827,6048,2508,6738,6048,6588,5963,23,15,16,18,30,11,1,1,16,15,64,25
29003010300,140,29,003,41140,999,,,Census Tract 103,2063,940,1955,855,2063,1955,2017,1926,3,4,10,5,2,3,0,0,5,0,26,17
29003010400,140,29,003,41140,999,,,Census Tract 104,3051,1342,3135,1227,3051,3135,2983,3098,2,12,6,8,24,5,0,0,5,1,31,11
29005950100,140,29,005,99999,999,,,Census Tract 9501,3215,1715,3801,1786,3215,3801,3159,3634,17,128,6,7,9,5,3,0,3,12,18,15
29005950200,140,29,005,99999,999,,,Census Tract 9502,2470,1270,2629,1317,2470,2629,2441,2603,0,4,4,5,0,4,0,0,2,8,23,5
29007950100,140,29,007,33020,999,,,Census Tract 9501,4180,1391,4136,1428,4180,4136,3435,3257,621,765,17,17,14,15,1,1,12,7,80,74
29007950200,140,29,007,33020,999,,,Census Tract 9502,4917,2318,5510,2318,4917,5510,4835,5431,23,22,6,10,7,6,1,4,3,9,42,28
29007950300,140,29,007,33020,999,,,Census Tract 9503,3609,1256,3426,1224,3609,3426,3527,3383,31,15,19,7,3,2,0,1,8,5,21,13
29007950400,140,29,007,33020,999,,,Census Tract 9504,2942,1229,2716,1300,2942,2716,2441,2391,248,275,18,6,49,10,0,2,109,8,77,24
29007950500,140,29,007,33020,999,,,Census Tract 9505,3582,1602,3676,1620,3582,3676,3264,3479,131,132,16,13,12,20,2,0,81,9,76,23
29007950600,140,29,007,33020,999,,,Census Tract 9506,2899,1356,2859,1284,2899,2859,2570,2631,226,173,5,8,14,19,0,0,12,4,72,24
29009960100,140,29,009,99999,999,,,Census Tract 9601,6127,3551,5979,3155,6127,5979,5895,5820,6,2,59,36,20,2,0,2,47,29,100,88
29009960200,140,29,009,99999,999,,,Census Tract 9602,6418,2752,6391,2600,6418,6391,5713,5893,4,10,52,48,186,9,0,0,338,322,125,109
29009960300,140,29,009,99999,999,,,Census Tract 9603,6400,2778,5840,2471,6400,5840,5472,5131,49,8,51,53,79,40,2,4,623,552,124,52
29009960401,140,29,009,99999,999,,,Census Tract 9604.01,4190,1924,4016,1817,4190,4016,4008,3815,5,5,36,48,26,4,1,2,13,70,101,70
29009960402,140,29,009,99999,999,,,Census Tract 9604.02,3641,1540,3491,1454,3641,3491,3243,3315,25,4,25,42,130,3,2,2,123,61,93,60
29009960500,140,29,009,99999,999,,,Census Tract 9605,6054,2626,5562,2444,6054,5562,5762,5345,16,9,72,45,21,30,2,0,83,62,98,70
29009960600,140,29,009,99999,999,,,Census Tract 9606,2767,2352,2730,2021,2767,2730,2699,2678,2,0,22,19,5,2,1,0,6,10,32,21
29011960100,140,29,011,99999,999,,,Census Tract 9601,2986,1391,3233,1365,2986,3233,2869,3131,9,21,41,34,6,7,3,2,15,2,43,36
29011960200,140,29,011,99999,999,,,Census Tract 9602,4104,1766,4012,1697,4104,4012,3901,3905,5,6,70,40,3,11,0,0,19,0,106,50
29011960300,140,29,011,99999,999,,,Census Tract 9603,5312,2443,5296,2347,5312,5296,5018,5120,33,9,31,30,20,17,1,10,52,15,157,95
29013070100,140,29,013,28140,312,,,Census Tract 701,5248,2286,4822,1974,5248,4822,5154,4757,14,5,23,19,9,3,1,1,12,3,35,34
29013070300,140,29,013,28140,312,,,Census Tract 703,4520,2182,4562,2072,4520,4562,4284,4373,112,86,23,18,10,16,1,1,20,23,70,45
29013070400,140,29,013,28140,312,,,Census Tract 704,2870,1403,2976,1409,2870,2976,2769,2912,10,7,20,24,2,2,0,0,9,3,60,28
29015460200,140,29,015,99999,999,,,Census Tract 4602,2466,1128,2243,1043,2466,2243,2400,2207,5,2,13,6,6,1,1,0,11,3,30,24
29015460300,140,29,015,99999,999,,,Census Tract 4603,4378,2581,3986,2290,4378,3986,4230,3922,26,3,34,17,9,4,2,1,22,7,55,32
29015460400,140,29,015,99999,999,,,Census Tract 4604,2269,2373,2002,2144,2269,2002,2202,1944,9,6,16,12,8,6,1,0,4,4,29,30
29015460700,140,29,015,99999,999,,,Census Tract 4607,2821,3272,2321,2966,2821,2321,2751,2249,9,10,14,22,2,1,1,0,4,0,40,39
29015460800,140,29,015,99999,999,,,Census Tract 4608,3911,3284,3539,2890,3911,3539,3781,3461,9,2,21,23,23,3,0,0,9,3,68,42
29017950100,140,29,017,16020,164,,,Census Tract 9501,4691,2163,4323,1966,4691,4323,4582,4246,28,10,34,28,7,4,0,0,3,3,37,32
29017950200,140,29,017,16020,164,,,Census Tract 9502,4609,2086,4638,2001,4609,4638,4500,4505,3,5,27,40,16,20,0,0,12,11,51,57
29017950300,140,29,017,16020,164,,,Census Tract 9503,3063,1629,3068,1555,3063,3068,3024,3012,1,10,16,19,3,2,0,0,3,2,16,23
29019000200,140,29,019,17860,999,,,Census Tract 2,1730,858,1682,884,1730,1682,1462,1450,122,139,10,11,51,40,3,1,24,9,58,32
29019000300,140,29,019,17860,999,,,Census Tract 3,3010,1184,2980,1250,3010,2980,2683,2660,51,90,2,13,181,154,0,0,10,11,83,52
29019000500,140,29,019,17860,999,,,Census Tract 5,2794,1167,2446,1256,2794,2446,2061,1765,134,144,1,12,509,424,0,1,14,26,75,74
29019000600,140,29,019,17860,999,,,Census Tract 6,4602,2130,4852,2137,4602,4852,4245,4598,126,96,5,12,91,64,0,0,26,14,109,68
29019000700,140,29,019,17860,999,,,Census Tract 7,3542,1898,3706,1860,3542,3706,2631,2654,606,798,11,15,58,54,2,1,65,68,169,116
29019000900,140,29,019,17860,999,,,Census Tract 9,1511,847,1802,991,1511,1802,895,1010,477,665,11,28,17,23,0,0,36,14,75,62
29019001002,140,29,019,17860,999,,,Census Tract 10.02,5950,2851,4966,2146,5950,4966,4999,4400,550,371,16,8,121,74,1,0,66,30,197,83
29019001101,140,29,019,17860,999,,,Census Tract 11.01,8628,3807,6651,2555,8628,6651,7144,5807,701,457,24,24,456,193,6,2,75,67,222,101
29019001103,140,29,019,17860,999,,,Census Tract 11.03,6714,3331,6523,2920,6714,6523,5798,5704,360,303,17,16,363,355,9,1,41,37,126,107
