GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
31001965400,140,31,001,25580,999,,,Census Tract 9654,4169,1621,3549,1390,4169,3549,4078,3507,7,8,12,5,13,1,0,1,35,16,24,11
31001965500,140,31,001,25580,999,,,Census Tract 9655,4129,1714,3959,1646,4129,3959,3856,3791,11,11,28,9,88,72,4,0,96,59,46,17
31001965600,140,31,001,25580,999,,,Census Tract 9656,5536,2199,5432,2119,5536,5432,5160,5209,52,38,8,20,64,56,3,4,147,52,102,53
31001965800,140,31,001,25580,999,,,Census Tract 9658,2421,1057,2395,1066,2421,2395,2094,2175,30,7,12,6,63,84,2,1,169,88,51,34
31001965900,140,31,001,25580,999,,,Census Tract 9659,4359,1904,4728,1897,4359,4728,4168,4501,18,56,13,24,79,74,2,1,44,47,35,25
31001966000,140,31,001,25580,999,,,Census Tract 9660,4776,2042,4556,1959,4776,4556,4035,4119,87,52,35,26,96,151,3,3,432,149,88,56
31001966100,140,31,001,25580,999,,,Census Tract 9661,2346,1147,2355,1195,2346,2355,1999,2180,19,13,15,6,14,16,1,0,258,109,40,31
31003979600,140,31,003,99999,999,,,Census Tract 9796,2146,1057,2467,1084,2146,2467,2108,2441,9,1,2,8,11,2,0,0,9,9,7,6
31003979700,140,31,003,99999,999,,,Census Tract 9797,1758,855,1812,842,1758,1812,1711,1790,4,0,4,0,6,0,0,0,19,9,14,13
31003979800,140,31,003,99999,999,,,Census Tract 9798,2781,1372,3173,1420,2781,3173,2698,3133,6,3,5,15,3,2,0,0,49,3,20,17
31005958300,140,31,005,99999,999,,,Census Tract 9583,460,254,444,273,460,444,439,428,0,0,2,1,1,3,0,1,14,4,4,7
