GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
32001950301,140,32,001,21980,999,,,Census Tract 9503.01,3884,1883,3671,1718,3884,3671,2942,2972,88,65,219,175,137,156,5,11,239,127,254,162
32001950302,140,32,001,21980,999,,,Census Tract 9503.02,5268,2360,4955,2150,5268,4955,4155,4061,125,91,161,168,254,219,12,16,283,176,278,221
32001950400,140,32,001,21980,999,,,Census Tract 9504,711,231,1505,361,711,1505,488,1042,56,154,6,27,69,119,3,12,12,82,77,69
32001950500,140,32,001,21980,999,,,Census Tract 9505,1391,631,1497,610,1391,1497,812,834,3,2,462,595,9,1,1,1,44,12,60,48
32001950600,140,32,001,21980,999,,,Census Tract 9506,5359,2194,4589,1738,5359,4589,4700,4159,24,21,109,67,90,66,7,3,294,157,135,116
32001950700,140,32,001,21980,999,,,Census Tract 9507,5701,2456,5382,2141,5701,5382,5095,4945,36,31,115,70,66,58,18,6,197,155,174,117
32003000101,140,32,003,29820,332,,,Census Tract 1.01,6851,2013,6401,1994,6851,6401,3068,4289,722,870,35,28,230,183,38,27,2440,749,318,255
32003000105,140,32,003,29820,332,,,Census Tract 1.05,3998,1310,3458,1203,3998,3458,2393,2552,170,121,56,42,193,149,15,24,977,408,194,162
32003000106,140,32,003,29820,332,,,Census Tract 1.06,4263,2105,4106,2045,4263,4106,2613,3042,423,278,48,28,181,210,26,18,721,377,251,150
32003003619,140,32,003,29820,332,,,Census Tract 36.19,3006,1087,9,3,3006,9,1719,7,482,0,4,0,465,0,25,0,132,0,179,0
32003000107,140,32,003,29820,332,,,Census Tract 1.07,3856,1579,3714,1534,3856,3714,2197,2752,307,252,35,25,265,190,36,17,852,340,164,135
32003000108,140,32,003,29820,332,,,Census Tract 1.08,3681,1156,3639,1179,3681,3639,1955,2475,128,241,41,24,63,129,9,20,1311,591,174,157
32003000109,140,32,003,29820,332,,,Census Tract 1.09,3567,1389,3526,1416,3567,3526,2043,2398,324,233,28,23,146,124,23,20,840,572,163,152
32003000201,140,32,003,29820,332,,,Census Tract 2.01,4533,1777,3844,1450,4533,3844,1398,1551,1505,1650,21,41,215,49,35,12,1178,441,181,100
32003000203,140,32,003,29820,332,,,Census Tract 2.03,3582,1932,4419,2042,3582,4419,1747,2634,728,848,14,40,279,274,43,18,583,448,188,157
32003000204,140,32,003,29820,332,,,Census Tract 2.04,1157,412,1345,526,1157,1345,863,1186,88,55,14,9,87,57,1,2,79,16,25,20
32003000301,140,32,003,29820,332,,,Census Tract 3.01,3103,1207,3501,1341,3103,3501,676,785,1587,2321,16,23,58,36,7,4,674,254,85,78
32003000302,140,32,003,29820,332,,,Census Tract 3.02,4673,1694,5348,1953,4673,5348,596,771,3087,3838,9,32,112,105,17,40,661,395,191,167
32003000402,140,32,003,29820,332,,,Census Tract 4.02,3491,1389,3464,1299,3491,3464,1434,1901,608,393,77,77,133,121,29,13,1064,774,146,182
32003000510,140,32,003,29820,332,,,Census Tract 5.10,5503,1379,5581,1367,5503,5581,2230,2945,315,320,47,75,107,145,5,27,2569,1865,230,204
32003000513,140,32,003,29820,332,,,Census Tract 5.13,3874,1290,3387,1187,3874,3387,1939,2331,276,323,34,21,64,121,19,8,1400,424,142,159
32003000514,140,32,003,29820,332,,,Census Tract 5.14,6235,2091,6146,2006,6235,6146,2946,3089,700,1344,25,25,210,311,35,49,2057,1100,262,228
32003000515,140,32,003,29820,332,,,Census Tract 5.15,5104,1486,4329,1466,5104,4329,2367,2696,349,513,57,35,318,324,40,25,1734,519,239,217
32003000516,140,32,003,29820,332,,,Census Tract 5.16,5326,1356,4504,1499,5326,4504,2620,2719,777,457,83,50,193,270,32,14,1342,728,279,266
32003000517,140,32,003,29820,332,,,Census Tract 5.17,5103,1649,5091,1740,5103,5091,2446,2753,457,625,43,28,227,388,9,18,1699,1018,222,261
32003000518,140,32,003,29820,332,,,Census Tract 5.18,5297,1876,6567,1888,5297,6567,2502,3752,482,907,43,82,184,346,5,33,1795,996,286,451
32003000519,140,32,003,29820,332,,,Census Tract 5.19,4649,1409,5433,1525,4649,5433,2066,2555,309,377,31,78,189,221,9,19,1805,1930,240,253
32003000520,140,32,003,29820,332,,,Census Tract 5.20,1995,572,2288,557,1995,2288,878,1217,47,131,14,26,85,97,6,5,916,705,49,105
32003000522,140,32,003,29820,332,,,Census Tract 5.22,3438,1249,3932,1210,3438,3932,1137,1859,314,412,37,39,34,78,10,6,1754,1383,152,153
32003000523,140,32,003,29820,332,,,Census Tract 5.23,2194,1172,2509,1136,2194,2509,850,1186,360,262,17,25,26,49,11,4,843,882,87,97
