GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
33001965300,140,33,001,29060,148,,,Census Tract 9653,3321,2075,3062,1720,3321,3062,3248,3010,9,3,10,6,25,18,0,0,11,8,18,17
33001965400,140,33,001,29060,148,,,Census Tract 9654,2966,1612,2577,1356,2966,2577,2886,2529,8,3,11,3,16,12,0,0,6,2,39,23
33001965598,140,33,001,29060,148,,,Census Tract 9655.98,3567,1845,3480,1633,3567,3480,3433,3364,13,2,7,22,49,21,0,3,6,6,59,62
33001965600,140,33,001,29060,148,,,Census Tract 9656,3777,2118,3058,1847,3777,3058,3687,3015,3,3,3,5,28,4,0,0,8,0,48,29
33001965800,140,33,001,29060,148,,,Census Tract 9658,7356,3615,6719,3113,7356,6719,7138,6553,31,10,11,22,49,35,3,0,24,11,100,88
33001965900,140,33,001,29060,148,,,Census Tract 9659,3855,1847,4102,1817,3855,4102,3631,4002,40,13,14,20,111,22,0,0,12,2,47,43
33001966000,140,33,001,29060,148,,,Census Tract 9660,5076,2333,5331,2150,5076,5331,4755,5053,58,57,15,34,132,58,1,3,12,25,103,101
33001966100,140,33,001,29060,148,,,Census Tract 9661,4115,2658,3893,2181,4115,3893,3946,3820,31,10,17,9,57,16,0,0,13,6,51,32
33001966200,140,33,001,29060,148,,,Census Tract 9662,2905,3041,3085,2406,2905,3085,2741,3010,21,10,8,5,91,24,0,1,5,11,39,24
33001966401,140,33,001,29060,148,,,Census Tract 9664.01,1108,2164,1057,1825,1108,1057,1085,1040,2,2,0,1,4,5,0,0,1,0,16,7
33001966402,140,33,001,29060,148,,,Census Tract 9664.02,6018,2947,5745,2486,6018,5745,5884,5648,19,10,5,8,45,29,3,0,13,4,49,43
33003955400,140,33,003,99999,999,,,Census Tract 9554,4420,2609,3571,2199,4420,3571,4304,3519,11,1,17,10,39,10,0,0,5,0,44,26
33003955500,140,33,003,99999,999,,,Census Tract 9555,2895,2168,2369,1834,2895,2369,2826,2320,25,2,10,13,4,5,0,0,4,7,26,21
33003955600,140,33,003,99999,999,,,Census Tract 9556,4917,3586,4442,3127,4917,4442,4797,4356,12,12,18,11,21,9,1,1,2,8,66,40
33003955800,140,33,003,99999,999,,,Census Tract 9558,2954,2543,2573,2196,2954,2573,2900,2541,5,6,4,3,8,3,0,0,4,0,33,15
33003955900,140,33,003,99999,999,,,Census Tract 9559,4345,3057,4218,2745,4345,4218,4218,4132,17,6,15,16,25,9,0,0,6,3,64,52
33003956100,140,33,003,99999,999,,,Census Tract 9561,6269,4443,6081,3901,6269,6081,6119,6028,11,9,11,3,50,21,1,0,13,2,64,13
33003956300,140,33,003,99999,999,,,Census Tract 9563,4044,4940,4481,4522,4044,4481,3961,4413,13,5,9,9,27,24,0,0,12,0,22,25
33005970200,140,33,005,28300,999,,,Census Tract 9702,3734,1715,3594,1592,3734,3594,3632,3533,10,5,7,9,19,6,0,0,9,3,57,38
33005970400,140,33,005,28300,999,,,Census Tract 9704,5425,3394,5093,3111,5425,5093,5272,4970,19,13,19,34,32,23,1,0,11,8,71,40
33005970500,140,33,005,28300,999,,,Census Tract 9705,5457,2547,5476,2352,5457,5476,5248,5329,20,23,9,19,65,38,2,0,18,2,95,65
33005970600,140,33,005,28300,999,,,Census Tract 9706,6014,2224,5451,1863,6014,5451,5747,5299,80,63,9,8,54,18,0,1,27,22,97,40
33005970700,140,33,005,28300,999,,,Census Tract 9707,3551,1749,3222,1507,3551,3222,3439,3144,6,12,18,12,18,6,1,4,4,3,65,41
33005970900,140,33,005,28300,999,,,Census Tract 9709,7230,3205,6795,2816,7230,6795,6939,6681,23,11,12,15,125,35,2,0,29,8,100,39
33005971000,140,33,005,28300,999,,,Census Tract 9710,5602,2482,5408,2343,5602,5408,5298,5313,41,14,8,7,178,34,0,2,15,7,62,31
33005971100,140,33,005,28300,999,,,Census Tract 9711,5161,2523,4914,2243,5161,4914,4929,4817,37,14,15,16,73,26,0,0,18,11,89,30
33005971300,140,33,005,28300,999,,,Census Tract 9713,3321,1702,3648,1743,3321,3648,3135,3499,21,33,4,8,78,50,0,1,28,11,55,46
33005971401,140,33,005,28300,999,,,Census Tract 9714.01,5364,1229,4532,1248,5364,4532,5164,4419,37,22,8,8,54,21,1,3,28,18,72,41
33005971402,140,33,005,28300,999,,,Census Tract 9714.02,3961,1783,4061,1718,3961,4061,3788,3986,8,6,7,6,91,22,0,1,20,3,47,37
33005971500,140,33,005,28300,999,,,Census Tract 9715,5478,2482,5289,2250,5478,5289,5361,5173,15,14,11,25,29,20,0,0,21,9,41,48
33005971600,140,33,005,28300,999,,,Census Tract 9716,4046,1827,4082,1714,4046,4082,3903,3980,22,17,10,8,22,13,11,12,14,9,64,43
33005971700,140,33,005,28300,999,,,Census Tract 9717,4341,1932,4144,1741,4341,4144,4173,4035,21,13,23,23,24,13,0,0,21,9,79,51
33007950200,140,33,007,13620,999,,,Census Tract 9502,3058,1947,3071,1761,3058,3071,2983,3018,5,1,8,8,18,9,0,0,5,4,39,31
33007950400,140,33,007,13620,999,,,Census Tract 9504,3594,2213,3901,2109,3594,3901,3507,3810,11,0,12,18,12,15,0,0,7,2,45,56
33007950500,140,33,007,13620,999,,,Census Tract 9505,3507,1689,3276,1499,3507,3276,3395,3213,11,1,24,8,21,6,1,0,15,7,40,36
33007950600,140,33,007,13620,999,,,Census Tract 9506,4328,1918,3939,2000,4328,3939,4117,3858,62,8,20,8,14,12,0,0,12,9,103,44
33007950700,140,33,007,13620,999,,,Census Tract 9507,3206,1580,3571,1599,3206,3571,3139,3522,9,4,12,5,8,16,0,0,6,2,32,22
33007950800,140,33,007,13620,999,,,Census Tract 9508,2517,1412,2821,1512,2517,2821,2447,2770,10,7,7,11,6,10,0,1,4,5,43,17
33007950900,140,33,007,13620,999,,,Census Tract 9509,3230,1710,3278,1683,3230,3278,3138,3191,3,2,8,7,35,36,0,1,1,5,45,36
33007951000,140,33,007,13620,999,,,Census Tract 9510,2183,1887,2006,1618,2183,2006,2099,1969,16,2,10,1,22,6,0,0,10,1,26,21
33009960100,140,33,009,30100,180,,,Census Tract 9601,5928,3065,5845,2746,5928,5845,5701,5643,26,22,17,33,57,49,0,3,31,35,96,60
33009960200,140,33,009,30100,180,,,Census Tract 9602,4193,2805,3686,2394,4193,3686,4071,3587,3,4,15,18,37,21,1,0,10,4,56,52
33009960400,140,33,009,30100,180,,,Census Tract 9604,4399,6039,3374,4923,4399,3374,4286,3290,8,5,5,7,41,21,0,1,14,10,45,40
33009960600,140,33,009,30100,180,,,Census Tract 9606,4697,2379,4416,2148,4697,4416,4544,4338,20,20,17,11,42,16,3,1,16,9,55,21
33009960700,140,33,009,30100,180,,,Census Tract 9607,2938,1663,2598,1392,2938,2598,2864,2535,8,5,5,3,17,11,0,0,2,14,42,30
33009960800,140,33,009,30100,180,,,Census Tract 9608,4896,3237,4289,2712,4896,4289,4751,4203,13,7,18,12,28,25,0,5,13,3,73,34
