GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
35001000107,140,35,001,10740,999,,,Census Tract 1.07,2715,1310,2771,1264,2715,2771,2386,2496,60,35,71,22,52,65,3,0,57,85,86,68
35001000108,140,35,001,10740,999,,,Census Tract 1.08,2683,1282,2669,1210,2683,2669,2200,2130,79,60,110,85,94,82,0,9,91,193,109,110
35001000109,140,35,001,10740,999,,,Census Tract 1.09,2577,1061,2597,1024,2577,2597,2114,2234,48,67,89,46,78,62,1,1,137,113,110,74
35001000110,140,35,001,10740,999,,,Census Tract 1.10,3561,1828,3504,1798,3561,3504,2730,2917,142,85,131,77,61,67,5,4,284,210,208,144
35001000111,140,35,001,10740,999,,,Census Tract 1.11,2807,1180,2381,919,2807,2381,2361,2053,81,49,31,32,120,85,0,3,88,74,126,85
35001000112,140,35,001,10740,999,,,Census Tract 1.12,2080,1019,2145,991,2080,2145,1848,1918,35,33,41,22,55,48,1,7,40,51,60,66
35001000113,140,35,001,10740,999,,,Census Tract 1.13,3157,1432,3150,1390,3157,3150,2525,2465,135,107,119,74,64,50,3,1,177,277,134,176
35001000114,140,35,001,10740,999,,,Census Tract 1.14,3197,1387,3322,1334,3197,3322,2470,2667,83,67,146,102,48,44,4,2,302,278,144,162
35001000115,140,35,001,10740,999,,,Census Tract 1.15,3269,1577,3057,1576,3269,3057,2318,2400,163,109,212,123,40,43,4,4,309,284,223,94
35001000116,140,35,001,10740,999,,,Census Tract 1.16,2908,1291,3122,1282,2908,3122,2363,2550,83,85,52,71,73,67,2,1,209,258,126,90
35001000117,140,35,001,10740,999,,,Census Tract 1.17,2326,1014,2263,980,2326,2263,1939,1926,46,24,62,53,92,73,7,2,110,98,70,87
35001000118,140,35,001,10740,999,,,Census Tract 1.18,2828,1260,2625,1243,2828,2625,2083,2115,111,84,236,99,45,55,2,0,211,213,140,59
35001000119,140,35,001,10740,999,,,Census Tract 1.19,1836,797,1819,798,1836,1819,1557,1602,54,38,49,16,39,39,2,0,90,75,45,49
35001000120,140,35,001,10740,999,,,Census Tract 1.20,2666,1225,2766,1215,2666,2766,2155,2138,71,46,111,99,51,58,3,1,141,273,134,151
35001000121,140,35,001,10740,999,,,Census Tract 1.21,5770,2924,5774,2899,5770,5774,4636,4621,211,158,170,118,215,206,4,4,305,495,229,172
35001000122,140,35,001,10740,999,,,Census Tract 1.22,4088,2061,4053,1825,4088,4053,3206,3324,76,99,104,77,248,205,3,1,278,216,173,131
35001000123,140,35,001,10740,999,,,Census Tract 1.23,5064,2162,5035,2114,5064,5035,3934,4039,151,131,178,101,132,92,3,2,338,443,328,227
35001000124,140,35,001,10740,999,,,Census Tract 1.24,3642,2243,3483,2240,3642,3483,2533,2598,182,141,227,200,76,46,1,2,449,307,174,189
35001000125,140,35,001,10740,999,,,Census Tract 1.25,4204,1835,4494,1763,4204,4494,3514,3733,88,83,66,49,264,269,2,1,141,194,129,165
35001000126,140,35,001,10740,999,,,Census Tract 1.26,2866,1421,2923,1351,2866,2923,2310,2369,102,84,74,82,96,72,4,0,186,213,94,103
35001000127,140,35,001,10740,999,,,Census Tract 1.27,2801,1189,2907,1186,2801,2907,2143,2330,77,80,113,51,73,87,1,1,253,251,141,107
35001000128,140,35,001,10740,999,,,Census Tract 1.28,3228,1323,3302,1320,3228,3302,2278,2441,148,122,158,97,63,65,1,1,413,421,167,155
35001000129,140,35,001,10740,999,,,Census Tract 1.29,4692,2429,4502,2419,4692,4502,3327,3224,184,145,367,254,160,122,3,20,423,459,228,278
35001000203,140,35,001,10740,999,,,Census Tract 2.03,1953,1068,1972,1058,1953,1972,1428,1563,70,67,159,65,23,24,2,1,193,196,78,56
35001000204,140,35,001,10740,999,,,Census Tract 2.04,3285,1476,3298,1390,3285,3298,2027,2263,92,79,325,209,52,67,4,0,603,493,182,187
35001000205,140,35,001,10740,999,,,Census Tract 2.05,3229,1630,3304,1631,3229,3304,2071,2316,112,92,221,201,53,54,4,6,564,497,204,138
35001000206,140,35,001,10740,999,,,Census Tract 2.06,2991,1310,3212,1308,2991,3212,2358,2645,67,61,114,81,61,31,2,4,254,277,135,113
