GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
37001020100,140,37,001,15500,268,,,Census Tract 201,3908,2033,4077,2011,3908,4077,2645,3029,883,731,15,11,29,26,6,0,230,217,100,61
37001020200,140,37,001,15500,268,,,Census Tract 202,4152,1867,4334,1874,4152,4334,1924,2658,1239,1006,57,32,61,79,0,0,728,465,143,93
37001020300,140,37,001,15500,268,,,Census Tract 203,8063,3074,7740,2939,8063,7740,3454,4452,2569,2296,74,48,121,131,2,5,1627,652,216,154
37019020307,140,37,019,48900,999,,,Census Tract 203.07,158,1111,85,573,158,85,148,71,0,11,2,0,4,0,0,0,2,0,2,0
37001020501,140,37,001,15500,268,,,Census Tract 205.01,3575,1605,3120,1335,3575,3120,2756,2074,518,857,20,16,20,17,1,0,212,104,48,50
37001020502,140,37,001,15500,268,,,Census Tract 205.02,3782,1502,3276,1242,3782,3276,1632,2119,1560,951,30,18,47,17,0,0,379,114,134,54
37001020601,140,37,001,15500,268,,,Census Tract 206.01,3234,1428,3225,1318,3234,3225,3022,3082,92,74,3,0,46,26,1,0,44,17,26,24
37001020602,140,37,001,15500,268,,,Census Tract 206.02,2414,1285,2411,1191,2414,2411,2133,2275,147,76,7,0,17,19,1,0,56,19,53,19
37001020701,140,37,001,15500,268,,,Census Tract 207.01,4519,2536,3948,2004,4519,3948,3442,3297,600,357,24,8,228,130,3,3,126,108,96,41
37001020802,140,37,001,15500,268,,,Census Tract 208.02,5857,2696,5781,2565,5857,5781,2696,3752,1826,1461,79,19,114,126,2,1,967,319,173,101
37001020901,140,37,001,15500,268,,,Census Tract 209.01,3583,1571,2862,1233,3583,2862,2397,2334,494,296,108,9,76,24,0,0,437,171,71,25
37001020902,140,37,001,15500,268,,,Census Tract 209.02,3380,1407,2699,1105,3380,2699,2643,2201,324,280,51,8,48,23,0,0,266,161,48,24
37001021000,140,37,001,15500,268,,,Census Tract 210,3720,1792,3838,1731,3720,3838,1811,2416,1316,1119,38,21,27,25,1,0,438,198,89,59
37001021101,140,37,001,15500,268,,,Census Tract 211.01,2668,1281,2662,1175,2668,2662,1653,2067,751,493,27,11,26,20,0,0,143,41,68,28
37001021102,140,37,001,15500,268,,,Census Tract 211.02,3318,1538,3311,1410,3318,3311,2526,2571,531,613,29,14,68,25,0,0,88,51,76,34
37001021201,140,37,001,15500,268,,,Census Tract 212.01,5252,2382,5102,2232,5252,5102,2976,2894,1455,1759,55,25,7,20,0,0,668,351,91,53
37001021204,140,37,001,15500,268,,,Census Tract 212.04,4280,1764,3686,1431,4280,3686,3270,2952,637,635,10,10,29,13,0,0,243,42,91,34
37001021205,140,37,001,15500,268,,,Census Tract 212.05,4636,2067,3652,1630,4636,3652,3391,2880,983,625,13,7,59,18,6,2,65,66,119,51
37001021206,140,37,001,15500,268,,,Census Tract 212.06,4320,1821,3402,1436,4320,3402,3013,2683,909,582,27,6,43,17,3,2,208,62,117,47
37001021207,140,37,001,15500,268,,,Census Tract 212.07,3086,1450,2431,1143,3086,2431,2485,1917,409,416,25,4,11,12,2,1,63,44,91,34
37001021300,140,37,001,15500,268,,,Census Tract 213,6057,2502,5103,2059,6057,5103,3743,2925,1925,2017,65,37,15,1,0,1,188,79,121,43
37001021400,140,37,001,15500,268,,,Census Tract 214,2650,1205,7249,3145,2650,7249,2420,5419,159,1687,9,20,10,7,0,0,27,60,25,56
37001021600,140,37,001,15500,268,,,Census Tract 216,6934,2381,5312,1879,6934,5312,5910,4468,702,713,27,8,77,39,1,0,99,29,118,50
37001021701,140,37,001,15500,268,,,Census Tract 217.01,3237,1428,2272,901,3237,2272,3025,2076,120,146,4,2,23,27,1,0,38,5,26,12
37001021702,140,37,001,15500,268,,,Census Tract 217.02,5282,1879,3708,1186,5282,3708,4484,3388,488,238,3,4,170,45,3,0,49,9,85,20
37001021802,140,37,001,15500,268,,,Census Tract 218.02,3553,1535,2831,1203,3553,2831,3362,2635,114,149,9,6,11,6,2,0,17,14,38,19
37001021803,140,37,001,15500,268,,,Census Tract 218.03,2879,1250,2294,980,2879,2294,2658,2135,115,120,5,5,2,5,0,0,46,11,53,15
37001021901,140,37,001,15500,268,,,Census Tract 219.01,4535,1984,3615,1582,4535,3615,4091,3236,261,261,30,15,15,5,0,0,72,63,66,32
37001021902,140,37,001,15500,268,,,Census Tract 219.02,4423,1840,3526,1468,4423,3526,3709,3156,351,254,29,15,14,5,0,0,239,62,81,31
37001022002,140,37,001,15500,268,,,Census Tract 220.02,4276,1799,3515,1399,4276,3515,3382,2955,520,400,39,17,18,11,1,0,225,88,91,42
37003040300,140,37,003,25860,999,,,Census Tract 403,3202,1406,3128,1274,3202,3128,3020,2972,102,84,6,6,10,14,1,0,21,28,42,24
37003040400,140,37,003,25860,999,,,Census Tract 404,6552,3026,6069,2676,6552,6069,5307,4913,809,889,14,8,54,49,2,0,220,142,146,68
37003040500,140,37,003,25860,999,,,Census Tract 405,6982,2997,25309,10446,6982,25309,6087,22464,343,1754,15,72,61,272,2,4,341,514,133,229
