GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
41001950100,140,41,001,99999,999,,,Census Tract 9501,2761,1936,2928,1703,2761,2928,2624,2837,1,1,26,29,11,5,5,0,34,14,60,42
41001950300,140,41,001,99999,999,,,Census Tract 9503,2648,1353,2793,1355,2648,2793,2494,2676,8,7,36,31,9,11,1,0,18,23,82,45
41001950400,140,41,001,99999,999,,,Census Tract 9504,3026,1468,2858,1414,3026,2858,2859,2737,3,2,40,25,26,23,0,1,22,28,76,42
41001950500,140,41,001,99999,999,,,Census Tract 9505,2630,1133,2654,1121,2630,2654,2484,2523,25,19,16,16,16,13,0,0,42,34,47,49
41001950600,140,41,001,99999,999,,,Census Tract 9506,1924,1412,2217,1396,1924,2217,1847,2132,9,3,19,31,2,3,2,1,6,13,39,34
41003000100,140,41,003,18700,102,,,Census Tract 1,7059,3070,5424,2564,7059,5424,6021,4776,89,61,50,70,243,97,22,6,338,270,296,144
41003000202,140,41,003,18700,102,,,Census Tract 2.02,5234,2396,4192,1828,5234,4192,4610,3821,45,23,29,42,298,169,12,15,65,28,175,94
41003000500,140,41,003,18700,102,,,Census Tract 5,3141,1382,3135,1284,3141,3135,2915,2931,16,16,13,7,87,81,3,1,16,28,91,71
41003000600,140,41,003,18700,102,,,Census Tract 6,4845,2205,5078,2119,4845,5078,4142,4319,71,94,38,33,196,271,17,16,182,125,199,220
41003000900,140,41,003,18700,102,,,Census Tract 9,5438,2486,5597,2406,5438,5597,4725,5007,31,39,26,18,375,317,17,12,84,76,180,128
41003001001,140,41,003,18700,102,,,Census Tract 10.01,3872,1870,3970,1847,3872,3970,3005,3242,44,63,56,62,205,197,17,21,389,238,156,147
41003001002,140,41,003,18700,102,,,Census Tract 10.02,3159,1377,3172,1366,3159,3172,2698,2823,26,27,18,23,210,174,6,1,68,38,133,86
41003001101,140,41,003,18700,102,,,Census Tract 11.01,3662,1388,3298,1368,3662,3298,3042,2851,40,30,33,29,350,247,9,4,44,55,144,82
41003010100,140,41,003,18700,102,,,Census Tract 101,8519,3325,6984,2565,8519,6984,7986,6655,40,6,58,37,149,95,12,4,77,58,197,129
41003010300,140,41,003,18700,102,,,Census Tract 103,3203,1461,3310,1340,3203,3310,3016,3182,5,3,36,23,24,22,0,7,27,28,95,45
41003010400,140,41,003,18700,102,,,Census Tract 104,3808,1629,3681,1456,3808,3681,3509,3507,11,7,34,33,25,18,3,8,139,23,87,85
41003010600,140,41,003,18700,102,,,Census Tract 106,5507,2019,5023,1856,5507,5023,4386,3956,75,86,57,36,539,526,33,53,143,197,274,169
41003010702,140,41,003,18700,102,,,Census Tract 107.02,3645,984,3145,918,3645,3145,2914,2548,63,71,26,21,389,306,29,12,61,95,163,92
41003010900,140,41,003,18700,102,,,Census Tract 109,4603,1929,3137,1229,4603,3137,4087,2961,50,10,16,32,213,62,10,2,66,19,161,51
41005020200,140,41,005,38900,999,,,Census Tract 202,6193,3032,5998,2941,6193,5998,5706,5623,25,33,17,20,217,194,9,7,52,31,167,90
41005020302,140,41,005,38900,999,,,Census Tract 203.02,3591,1649,3578,1596,3591,3578,3105,3260,34,21,19,10,240,141,4,8,47,48,142,90
41005020303,140,41,005,38900,999,,,Census Tract 203.03,5275,2833,5162,2729,5275,5162,4585,4540,60,51,27,13,345,310,25,11,45,56,188,181
