GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
44003980000,140,44,003,39300,148,,,Census Tract 9800,3,1,3,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
44001030300,140,44,001,39300,148,,,Census Tract 303,4531,1738,4749,1716,4531,4749,4308,4615,19,10,1,9,138,96,0,0,12,6,53,13
44001030400,140,44,001,39300,148,,,Census Tract 304,3937,1423,3943,1430,3937,3943,3802,3839,5,7,10,0,58,49,0,0,8,12,54,36
44007001900,140,44,007,39300,148,,,Census Tract 19,5559,2393,5138,2081,5559,5138,2051,2554,826,600,179,69,207,358,15,10,1754,1206,527,341
44007012702,140,44,007,39300,148,,,Census Tract 127.02,4641,1974,4543,1868,4641,4543,4499,4473,42,8,0,11,39,25,1,2,22,2,38,22
44007012801,140,44,007,39300,148,,,Census Tract 128.01,4800,2212,3946,1565,4800,3946,4620,3892,32,21,7,4,44,12,0,0,41,2,56,15
44007013600,140,44,007,39300,148,,,Census Tract 136,2973,1236,2942,1197,2973,2942,2224,2496,238,92,9,15,214,151,0,5,151,111,137,72
44007018400,140,44,007,39300,148,,,Census Tract 184,6527,2676,6782,2696,6527,6782,5254,5748,340,208,33,27,246,132,1,1,411,472,242,194
44003020200,140,44,003,39300,148,,,Census Tract 202,4905,2404,4804,2189,4905,4804,4464,4500,87,42,15,7,108,105,1,1,79,61,151,88
44005041200,140,44,005,39300,148,,,Census Tract 412,1885,237,1470,234,1885,1470,1251,922,327,312,25,21,81,80,8,2,68,54,125,79
44007003500,140,44,007,39300,148,,,Census Tract 35,4474,2704,4567,2526,4474,4567,3740,3860,119,154,5,21,452,316,2,0,43,66,113,150
44007013800,140,44,007,39300,148,,,Census Tract 138,4768,2199,5036,2186,4768,5036,4065,4619,188,104,13,11,213,149,0,3,128,43,161,107
44009050301,140,44,009,39300,148,,,Census Tract 503.01,4684,1838,4619,1740,4684,4619,4507,4508,22,12,30,12,56,35,2,0,9,11,58,41
44003020701,140,44,003,39300,148,,,Census Tract 207.01,1920,707,1883,637,1920,1883,1862,1837,11,13,6,1,10,4,0,2,15,4,16,22
44005990000,140,44,005,39300,148,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44007014501,140,44,007,39300,148,,,Census Tract 145.01,5179,1729,4834,1536,5179,4834,4921,4693,44,22,7,0,139,82,0,0,22,6,46,31
44007014502,140,44,007,39300,148,,,Census Tract 145.02,4096,1988,4186,1947,4096,4186,3870,4072,52,26,7,6,60,32,0,4,40,21,67,25
44007014600,140,44,007,39300,148,,,Census Tract 146,6991,2497,5978,2047,6991,5978,6482,5734,78,32,0,6,261,147,0,0,63,23,107,31
44003021401,140,44,003,39300,148,,,Census Tract 214.01,3937,1586,4523,1759,3937,4523,3683,4341,61,62,3,3,77,50,0,0,43,21,70,46
44003021402,140,44,003,39300,148,,,Census Tract 214.02,3660,1566,3704,1548,3660,3704,3401,3525,76,64,8,4,55,58,1,0,43,19,76,34
44005040302,140,44,005,39300,148,,,Census Tract 403.02,2431,1251,2520,1210,2431,2520,2158,2304,122,98,6,10,64,51,2,0,29,16,50,41
44007011200,140,44,007,39300,148,,,Census Tract 112,5673,2524,5762,2490,5673,5762,4965,5456,159,55,54,6,46,32,0,0,266,131,183,82
44007011302,140,44,007,39300,148,,,Census Tract 113.02,4012,1515,4002,1450,4012,4002,3845,3884,37,21,7,5,51,24,1,0,21,28,50,40
44007011401,140,44,007,39300,148,,,Census Tract 114.01,8314,3433,7388,2909,8314,7388,7724,7222,67,25,7,6,383,63,2,5,32,24,99,43
44007015600,140,44,007,39300,148,,,Census Tract 156,2399,1086,2400,1079,2399,2400,1899,2144,155,63,10,4,27,14,4,0,201,106,103,69
44007015800,140,44,007,39300,148,,,Census Tract 158,3771,1603,3744,1597,3771,3744,3337,3517,158,45,4,4,29,12,1,0,147,79,95,87
44009051400,140,44,009,39300,148,,,Census Tract 514,5677,256,4440,235,5677,4440,4780,3742,372,175,21,60,223,220,5,13,144,128,132,102
44009051502,140,44,009,39300,148,,,Census Tract 515.02,7258,3536,7351,3356,7258,7351,6941,7054,59,61,42,53,72,51,1,0,38,12,105,120
44003020800,140,44,003,39300,148,,,Census Tract 208,6135,2370,5093,1811,6135,5093,5892,4975,50,14,16,12,81,29,0,0,33,12,63,50
44007013400,140,44,007,39300,148,,,Census Tract 134,3868,1882,4305,1927,3868,4305,3455,4002,82,120,16,10,88,31,2,2,106,59,119,81
44007013500,140,44,007,39300,148,,,Census Tract 135,4700,2067,4970,2073,4700,4970,3364,3852,460,385,30,26,296,235,1,2,353,234,196,236
44009041500,140,44,009,39300,148,,,Census Tract 415,1051,1808,1010,1606,1051,1010,1016,988,7,6,1,0,5,8,0,0,12,3,10,5
44009050102,140,44,009,39300,148,,,Census Tract 501.02,2132,992,2005,914,2132,2005,2024,1931,17,23,6,3,30,27,0,1,6,2,49,18
44003021100,140,44,003,39300,148,,,Census Tract 211,5320,2323,5388,2229,5320,5388,4753,4996,166,146,11,28,127,59,0,0,112,63,151,93
44003021300,140,44,003,39300,148,,,Census Tract 213,4772,2225,5153,2235,4772,5153,4568,5007,61,39,4,2,33,38,0,0,35,28,71,39
44003022202,140,44,003,39300,148,,,Census Tract 222.02,3583,2267,3447,2055,3583,3447,3182,3248,66,20,3,1,242,124,0,2,22,12,68,40
44003022300,140,44,003,39300,148,,,Census Tract 223,4167,2330,3999,2123,4167,3999,3739,3740,87,45,12,9,144,128,4,0,91,33,90,44
44005040500,140,44,005,39300,148,,,Census Tract 405,4260,2029,4877,2198,4260,4877,2778,3197,635,872,76,132,52,48,1,4,214,298,504,326
44005040600,140,44,005,39300,148,,,Census Tract 406,4416,2360,4559,2348,4416,4559,3498,3835,326,376,19,17,42,51,7,7,220,97,304,176
44007000800,140,44,007,39300,148,,,Census Tract 8,4569,2072,2678,1552,4569,2678,2819,1821,457,318,31,22,813,227,5,3,247,164,197,123
44007000900,140,44,007,39300,148,,,Census Tract 9,2317,1264,2663,1260,2317,2663,1437,1755,290,320,26,18,172,140,0,11,256,262,136,157
