GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
45001950100,140,45,001,99999,999,,,Census Tract 9501,3254,1476,3629,1538,3254,3629,2782,2982,406,580,13,4,4,4,0,1,12,22,37,36
45001950200,140,45,001,99999,999,,,Census Tract 9502,4195,1603,3952,1526,4195,3952,3364,3057,742,849,3,1,25,13,0,1,12,8,49,23
45001950300,140,45,001,99999,999,,,Census Tract 9503,3130,2115,3009,1853,3130,3009,2801,2635,268,331,11,7,6,3,5,0,8,16,31,17
45001950400,140,45,001,99999,999,,,Census Tract 9504,6073,2714,6064,2559,6073,6064,4203,4267,1730,1728,12,5,21,23,0,2,41,5,66,34
45001950500,140,45,001,99999,999,,,Census Tract 9505,5701,2664,6044,2629,5701,6044,2962,3128,2629,2846,11,5,17,11,0,0,22,15,60,34
45001950600,140,45,001,99999,999,,,Census Tract 9506,3064,1507,3468,1550,3064,3468,1579,1811,1412,1591,10,4,2,4,0,3,13,14,48,41
45003020100,140,45,003,12260,999,,,Census Tract 201,4830,2191,4305,1841,4830,4305,3390,2901,1197,1301,8,12,6,9,5,2,137,30,87,50
45003020200,140,45,003,12260,999,,,Census Tract 202,5817,2537,4776,1981,5817,4776,4457,3775,1067,891,39,26,25,15,3,1,125,26,101,42
45003020301,140,45,003,12260,999,,,Census Tract 203.01,2407,1097,2081,914,2407,2081,1844,1175,360,845,15,5,2,5,0,0,131,16,55,32
45003020302,140,45,003,12260,999,,,Census Tract 203.02,5480,2597,4737,2166,5480,4737,2525,2676,2705,1924,25,11,55,11,0,0,79,36,91,74
45003020400,140,45,003,12260,999,,,Census Tract 204,5647,2375,5210,2294,5647,5210,3727,3594,1371,1395,28,37,11,14,2,1,397,95,111,71
45003020500,140,45,003,12260,999,,,Census Tract 205,7150,2815,4516,1564,7150,4516,5839,3699,1059,711,8,5,100,44,1,0,63,23,80,29
45003020601,140,45,003,12260,999,,,Census Tract 206.01,3725,1388,3223,1189,3725,3223,2808,2354,791,794,21,4,26,20,0,1,22,12,57,35
45003020602,140,45,003,12260,999,,,Census Tract 206.02,6214,2680,5378,2297,6214,5378,3856,3928,1912,1326,17,7,32,34,3,2,235,20,159,58
45003020701,140,45,003,12260,999,,,Census Tract 207.01,5583,2476,5760,2376,5583,5760,4474,4734,905,866,15,8,50,60,0,0,38,37,101,52
45003020702,140,45,003,12260,999,,,Census Tract 207.02,4993,2234,4843,2218,4993,4843,2376,2773,1982,1789,19,35,37,60,2,3,444,119,133,59
45003020801,140,45,003,12260,999,,,Census Tract 208.01,3000,1272,2657,1151,3000,2657,2743,2204,165,352,7,10,21,24,4,2,9,32,51,30
45003020802,140,45,003,12260,999,,,Census Tract 208.02,5010,2589,4438,2343,5010,4438,3606,3682,1054,588,14,16,48,41,1,3,162,55,125,50
45003020901,140,45,003,12260,999,,,Census Tract 209.01,2318,1049,2201,953,2318,2201,1544,1419,655,729,11,10,7,7,0,1,67,15,34,19
45003020902,140,45,003,12260,999,,,Census Tract 209.02,5994,2521,5693,2292,5994,5693,3914,3668,1776,1884,27,26,26,18,1,2,99,39,151,51
45003021001,140,45,003,12260,999,,,Census Tract 210.01,4621,2071,4147,1886,4621,4147,3387,3266,828,797,24,19,31,20,2,0,235,13,114,32
45003021002,140,45,003,12260,999,,,Census Tract 210.02,5396,2347,5330,2381,5396,5330,3442,3786,1268,1350,29,26,12,19,2,1,541,73,102,71
45003021101,140,45,003,12260,999,,,Census Tract 211.01,3000,1430,2543,1235,3000,2543,2518,2245,329,236,20,14,7,3,1,0,56,12,69,31
45003021102,140,45,003,12260,999,,,Census Tract 211.02,3898,1866,3305,1612,3898,3305,3223,2917,410,306,22,18,15,4,0,0,101,15,127,41
45003021201,140,45,003,12260,999,,,Census Tract 212.01,5480,2416,5466,2215,5480,5466,4747,4877,503,452,18,9,82,65,1,3,66,18,63,40
45003021202,140,45,003,12260,999,,,Census Tract 212.02,3747,1817,3675,1700,3747,3675,3216,3414,367,134,13,12,82,72,0,0,18,9,51,34
45003980100,140,45,003,12260,999,,,Census Tract 9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45003021203,140,45,003,12260,999,,,Census Tract 212.03,8159,4049,5551,2451,8159,5551,6974,4795,746,548,34,13,260,115,0,0,39,22,106,58
45003021300,140,45,003,12260,999,,,Census Tract 213,4985,2182,4845,2037,4985,4845,3784,3790,1044,947,15,14,21,31,5,0,47,18,69,42
45003021400,140,45,003,12260,999,,,Census Tract 214,5913,2753,6199,2731,5913,6199,1056,1174,4660,4879,18,15,11,8,10,0,58,21,100,99
45003021500,140,45,003,12260,999,,,Census Tract 215,5284,2695,5509,2600,5284,5509,3908,4258,1118,1102,25,17,80,44,6,2,56,29,91,57
45003021601,140,45,003,12260,999,,,Census Tract 216.01,5635,2317,5244,2157,5635,5244,2982,3060,2436,2061,33,11,7,5,0,0,70,27,107,76
45003021602,140,45,003,12260,999,,,Census Tract 216.02,7408,3433,5640,2355,7408,5640,5893,4566,1075,854,32,33,197,85,3,1,65,31,143,70
45003021700,140,45,003,12260,999,,,Census Tract 217,4815,2204,4480,2053,4815,4480,3077,2861,1551,1515,26,35,7,8,4,0,46,26,104,35
45003021800,140,45,003,12260,999,,,Census Tract 218,2589,1349,2576,1162,2589,2576,1466,1466,1045,1062,11,23,4,5,0,0,9,3,54,17
45003021900,140,45,003,12260,999,,,Census Tract 219,6149,2675,5274,2141,6149,5274,4413,3924,1145,1090,51,31,11,12,1,0,357,124,171,93
45003022001,140,45,003,12260,999,,,Census Tract 220.01,4284,2023,3601,1599,4284,3601,3071,2344,825,1101,15,12,15,10,2,0,284,60,72,70
45003022002,140,45,003,12260,999,,,Census Tract 220.02,7104,3226,5972,2550,7104,5972,4705,3887,2143,1826,27,21,23,18,2,1,53,101,151,116
45003022100,140,45,003,12260,999,,,Census Tract 221,3464,1575,3360,1529,3464,3360,2492,2516,862,772,15,18,18,7,0,0,17,12,60,30
45005970200,140,45,005,99999,999,,,Census Tract 9702,5151,2500,5832,2593,5151,5832,925,1279,4038,4426,13,3,25,7,2,7,88,78,60,32
45005970300,140,45,005,99999,999,,,Census Tract 9703,1068,573,1294,627,1068,1294,558,712,486,564,2,3,2,1,0,0,6,5,14,9
45005970400,140,45,005,99999,999,,,Census Tract 9704,4200,1413,4085,1348,4200,4085,982,1077,3148,2970,5,4,14,6,0,0,40,12,11,16
45007000200,140,45,007,11340,273,,,Census Tract 2,4101,1616,3936,1635,4101,3936,3519,3537,466,323,7,8,38,24,1,0,11,13,59,31
45007000300,140,45,007,11340,273,,,Census Tract 3,4912,2400,3402,1554,4912,3402,3765,2893,897,392,11,8,73,54,0,1,67,28,99,26
45007000500,140,45,007,11340,273,,,Census Tract 5,2875,1158,2643,1118,2875,2643,831,1022,1951,1564,12,0,3,4,0,0,17,16,61,37
45007000600,140,45,007,11340,273,,,Census Tract 6,3084,1713,3870,1836,3084,3870,724,930,2249,2875,13,6,8,9,0,0,30,24,60,26
45007000700,140,45,007,11340,273,,,Census Tract 7,4495,2446,4947,2575,4495,4947,1640,2005,2568,2852,15,8,5,4,6,1,152,20,109,57
45007000800,140,45,007,11340,273,,,Census Tract 8,2381,1220,2330,1123,2381,2330,1521,1875,704,423,8,5,11,7,0,0,86,7,51,13
45007000900,140,45,007,11340,273,,,Census Tract 9,2869,1491,3052,1534,2869,3052,1822,2070,938,914,6,6,11,11,3,6,31,9,58,36
45007001000,140,45,007,11340,273,,,Census Tract 10,2914,1285,1877,846,2914,1877,2027,1538,560,261,6,5,118,41,0,0,110,10,93,22
45007001100,140,45,007,11340,273,,,Census Tract 11,5115,2509,4729,2341,5115,4729,4277,4071,581,456,21,18,67,69,0,2,89,56,80,51
45007010102,140,45,007,11340,273,,,Census Tract 101.02,6204,2589,4430,1765,6204,4430,5650,4282,287,66,13,14,107,19,0,0,76,16,71,33
45007010103,140,45,007,11340,273,,,Census Tract 101.03,7244,2750,5281,2018,7244,5281,6490,4916,443,292,19,15,74,20,5,1,114,11,99,24
45007010104,140,45,007,11340,273,,,Census Tract 101.04,7915,2990,5777,2196,7915,5777,7259,5376,481,320,22,16,42,22,2,1,43,13,66,26
45007010200,140,45,007,11340,273,,,Census Tract 102,5051,2076,4213,1782,5051,4213,4712,3973,204,162,6,9,15,13,2,1,56,5,56,50
45007010300,140,45,007,11340,273,,,Census Tract 103,3987,1800,3820,1701,3987,3820,3694,3669,128,86,26,8,7,8,0,0,67,7,65,42
45007010401,140,45,007,11340,273,,,Census Tract 104.01,5933,2698,5712,2509,5933,5712,5095,4788,625,766,14,25,8,8,0,5,119,79,72,41
45007010402,140,45,007,11340,273,,,Census Tract 104.02,6807,2705,6434,2518,6807,6434,6025,5870,359,420,21,15,6,3,1,0,312,72,83,54
45007010500,140,45,007,11340,273,,,Census Tract 105,6051,2458,4273,1769,6051,4273,5406,3904,390,320,11,8,31,5,2,1,122,11,89,24
45007010600,140,45,007,11340,273,,,Census Tract 106,7409,3345,6628,2839,7409,6628,6629,6025,565,513,29,19,42,28,1,0,52,8,91,31
45007010700,140,45,007,11340,273,,,Census Tract 107,5741,2974,5365,2639,5741,5365,4057,3516,1426,1743,11,8,59,17,6,0,53,24,129,57
45007010800,140,45,007,11340,273,,,Census Tract 108,4798,2411,3867,1864,4798,3867,4218,3419,451,399,12,9,34,7,1,1,18,4,64,28
45007010900,140,45,007,11340,273,,,Census Tract 109,4085,2991,4018,2719,4085,4018,3837,3747,151,220,8,6,14,12,0,1,13,6,62,25
45007011001,140,45,007,11340,273,,,Census Tract 110.01,4883,2452,4575,2070,4883,4575,4413,4277,304,223,13,9,42,17,1,0,43,14,67,32
45007011002,140,45,007,11340,273,,,Census Tract 110.02,4156,1880,3894,1587,4156,3894,3720,3640,365,190,4,7,17,15,6,0,10,12,34,27
45007011100,140,45,007,11340,273,,,Census Tract 111,2607,1288,2059,998,2607,2059,1971,1782,450,237,14,7,54,16,1,0,48,2,69,15
45007011201,140,45,007,11340,273,,,Census Tract 112.01,4003,1566,2736,994,4003,2736,3642,2512,184,152,6,3,104,41,0,0,23,4,44,22
45007011202,140,45,007,11340,273,,,Census Tract 112.02,7782,3129,5320,1988,7782,5320,6816,4884,604,296,12,5,198,81,0,0,69,9,83,42
45007011300,140,45,007,11340,273,,,Census Tract 113,7234,2953,6800,2672,7234,6800,5695,5297,1368,1443,10,10,14,8,0,0,60,4,87,38
45007011401,140,45,007,11340,273,,,Census Tract 114.01,3855,1931,3983,1928,3855,3983,3232,3141,546,766,4,15,8,7,0,0,13,12,52,40
45007011402,140,45,007,11340,273,,,Census Tract 114.02,3368,1528,3480,1525,3368,3480,2579,2744,693,669,8,13,7,6,0,0,12,10,69,35
45007011500,140,45,007,11340,273,,,Census Tract 115,6283,2957,6044,2775,6283,6044,5321,5178,810,793,16,11,19,11,0,2,18,15,99,34
45007011600,140,45,007,11340,273,,,Census Tract 116,2041,914,1900,810,2041,1900,1961,1846,54,43,3,0,4,0,0,1,6,0,13,10
45007011700,140,45,007,11340,273,,,Census Tract 117,6335,2915,6044,2652,6335,6044,5569,5127,622,850,25,16,16,2,0,0,21,5,82,44
