GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
47001020100,140,47,001,28940,314,,,Census Tract 201,3111,1794,2471,1606,3111,2471,1969,1433,853,831,9,8,130,91,2,0,46,48,102,60
47001020201,140,47,001,28940,314,,,Census Tract 202.01,3670,1691,3243,1400,3670,3243,3158,2898,144,153,6,6,256,107,0,0,15,21,91,55
47001020202,140,47,001,28940,314,,,Census Tract 202.02,4507,2215,3983,1835,4507,3983,3988,3559,194,189,18,8,128,132,0,0,78,25,101,68
47001020300,140,47,001,28940,314,,,Census Tract 203,3822,1869,3932,1880,3822,3932,3290,3584,278,236,18,15,20,36,3,2,85,18,128,41
47001020400,140,47,001,28940,314,,,Census Tract 204,4508,2429,4435,2453,4508,4435,3855,3973,264,271,20,19,34,27,3,0,181,56,151,88
47001020500,140,47,001,28940,314,,,Census Tract 205,3864,1833,3632,1792,3864,3632,3102,3179,372,316,26,19,18,20,0,1,143,27,203,67
47001020600,140,47,001,28940,314,,,Census Tract 206,2427,1060,2556,1067,2427,2556,2152,2306,129,131,7,4,52,63,1,2,28,2,58,48
47001020700,140,47,001,28940,314,,,Census Tract 207,1668,773,1995,834,1668,1995,1640,1974,7,1,2,3,5,3,0,0,0,10,14,4
47001020800,140,47,001,28940,314,,,Census Tract 208,4875,2184,4889,2207,4875,4889,4783,4820,10,10,11,10,8,6,0,0,19,9,44,34
47001020901,140,47,001,28940,314,,,Census Tract 209.01,5837,2610,5020,2199,5837,5020,5745,4949,14,6,14,11,11,7,2,0,6,5,45,42
47001020902,140,47,001,28940,314,,,Census Tract 209.02,5815,2526,5564,2347,5815,5564,5717,5456,13,21,16,12,19,21,0,0,13,5,37,49
47001021000,140,47,001,28940,314,,,Census Tract 210,6108,2702,6261,2642,6108,6261,5870,6047,82,109,16,22,16,7,2,1,7,1,115,70
47001021100,140,47,001,28940,314,,,Census Tract 211,3980,1830,3623,1609,3980,3623,3829,3482,63,53,6,14,28,26,0,0,6,13,48,35
47001021201,140,47,001,28940,314,,,Census Tract 212.01,4887,1999,4710,1902,4887,4710,4585,4403,188,214,17,23,21,2,0,0,12,2,64,66
47001021202,140,47,001,28940,314,,,Census Tract 212.02,5372,2712,5376,2716,5372,5376,5081,5137,99,127,22,16,23,24,4,0,25,18,118,54
47001021301,140,47,001,28940,314,,,Census Tract 213.01,3302,1449,3067,1296,3302,3067,3240,3028,10,3,6,7,12,3,0,0,3,3,31,23
47001021302,140,47,001,28940,314,,,Census Tract 213.02,7376,3041,6570,2663,7376,6570,7061,6362,127,93,25,26,22,16,1,2,32,9,108,62
47001980100,140,47,001,28940,314,,,Census Tract 9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47003950100,140,47,003,43180,999,,,Census Tract 9501,3672,1483,3045,1226,3672,3045,3395,2871,108,115,11,0,73,23,2,0,45,20,38,16
47003950200,140,47,003,43180,999,,,Census Tract 9502,6909,2708,5650,2133,6909,5650,6540,5386,152,151,18,13,32,2,0,0,87,59,80,39
47003950300,140,47,003,43180,999,,,Census Tract 9503,3532,1499,3195,1280,3532,3195,3314,3065,65,93,7,8,26,3,5,0,83,7,32,19
47003950401,140,47,003,43180,999,,,Census Tract 9504.01,5423,2093,4244,1613,5423,4244,4208,3583,441,394,13,13,22,23,12,1,592,166,135,62
47003950402,140,47,003,43180,999,,,Census Tract 9504.02,6901,2788,5402,2149,6901,5402,4945,4561,814,501,40,17,72,29,4,1,816,211,210,78
47003950500,140,47,003,43180,999,,,Census Tract 9505,5928,2422,5040,2115,5928,5040,4260,3832,816,909,7,20,54,43,17,0,624,149,150,87
