GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
49001100200,140,49,001,99999,999,,,Census Tract 1002,2811,1144,2691,1050,2811,2691,2491,2483,11,1,33,23,16,26,8,1,213,101,39,56
49003960200,140,49,003,14940,482,,,Census Tract 9602,6901,2303,6037,1910,6901,6037,6475,5665,16,1,22,13,75,108,18,1,186,166,109,83
49003960300,140,49,003,14940,482,,,Census Tract 9603,8186,2748,6223,2006,8186,6223,7407,5713,29,10,41,28,120,73,15,3,403,309,171,87
49003960400,140,49,003,14940,482,,,Census Tract 9604,4872,1632,4521,1418,4872,4521,4553,4258,22,5,22,19,55,56,2,11,146,122,72,50
49003960500,140,49,003,14940,482,,,Census Tract 9605,5023,1739,4567,1536,5023,4567,4468,4094,22,10,87,72,27,24,7,1,269,258,143,108
49003960701,140,49,003,14940,482,,,Census Tract 9607.01,4765,1661,4396,1457,4765,4396,4194,4027,19,4,86,82,41,48,6,5,246,141,173,89
49003960702,140,49,003,14940,482,,,Census Tract 9607.02,2281,861,2225,838,2281,2225,2024,1958,11,7,42,62,20,14,3,0,100,122,81,62
49003960801,140,49,003,14940,482,,,Census Tract 9608.01,4206,1447,3191,1055,4206,3191,3943,3056,15,7,25,15,43,19,8,0,77,49,95,45
49003960802,140,49,003,14940,482,,,Census Tract 9608.02,4440,1411,2330,777,4440,2330,4210,2242,3,4,30,8,30,6,11,1,77,40,79,29
49005000101,140,49,005,30860,999,,,Census Tract 1.01,4599,1493,4114,1272,4599,4114,4313,3948,23,6,36,5,9,6,3,0,145,98,70,51
49005000201,140,49,005,30860,999,,,Census Tract 2.01,3228,1070,2976,907,3228,2976,3001,2824,25,2,9,6,14,2,3,1,105,113,71,28
49005000202,140,49,005,30860,999,,,Census Tract 2.02,6953,2129,4775,1397,6953,4775,6535,4569,32,7,7,11,37,34,4,2,231,102,107,50
49005000300,140,49,005,30860,999,,,Census Tract 3,7492,2160,4319,1270,7492,4319,6435,3991,39,3,69,31,74,32,14,3,720,213,141,46
49005000401,140,49,005,30860,999,,,Census Tract 4.01,3338,1224,2404,701,3338,2404,2954,2242,12,13,25,8,80,60,21,1,164,37,82,43
49005000403,140,49,005,30860,999,,,Census Tract 4.03,5754,1621,4421,1209,5754,4421,5349,4248,14,17,15,4,129,44,38,6,137,67,72,35
49005000501,140,49,005,30860,999,,,Census Tract 5.01,5128,2028,3898,1501,5128,3898,4042,3389,55,30,66,51,92,141,18,8,747,191,108,85
49005000502,140,49,005,30860,999,,,Census Tract 5.02,5231,1933,3977,1430,5231,3977,4342,3458,86,31,92,52,146,143,61,9,352,195,152,86
49005000600,140,49,005,30860,999,,,Census Tract 6,7068,2321,7304,2373,7068,7304,6346,6753,70,37,43,33,204,276,42,27,238,85,125,93
49005000702,140,49,005,30860,999,,,Census Tract 7.02,2720,500,3931,890,2720,3931,2100,3299,65,72,21,31,320,413,9,19,121,44,84,53
49005001001,140,49,005,30860,999,,,Census Tract 10.01,3026,869,2447,681,3026,2447,2221,2039,41,9,23,34,91,75,15,7,533,226,102,53
49005001101,140,49,005,30860,999,,,Census Tract 11.01,5596,1988,4025,1322,5596,4025,5256,3830,10,3,10,7,62,31,16,5,154,125,88,24
49005001102,140,49,005,30860,999,,,Census Tract 11.02,4230,1406,4005,1206,4230,4005,3982,3857,13,6,3,5,130,81,8,1,17,34,77,21
49005001202,140,49,005,30860,999,,,Census Tract 12.02,5387,1450,2919,803,5387,2919,4930,2824,10,1,30,12,25,10,10,1,287,40,95,28
49005001300,140,49,005,30860,999,,,Census Tract 13,6117,1785,4586,1346,6117,4586,5892,4466,20,0,14,23,14,4,10,4,65,61,102,28
49005001401,140,49,005,30860,999,,,Census Tract 14.01,4096,1158,3454,933,4096,3454,3600,3065,10,6,14,24,25,8,36,6,325,282,86,60
49005001402,140,49,005,30860,999,,,Census Tract 14.02,3665,1086,3091,875,3665,3091,3079,2742,14,5,26,22,9,7,26,5,457,253,54,54
49005980100,140,49,005,30860,999,,,Census Tract 9801,105,496,19,148,105,19,105,19,0,0,0,0,0,0,0,0,0,0,0,0
49007000100,140,49,007,39220,999,,,Census Tract 1,3809,1390,3644,1306,3809,3644,3547,3424,17,7,33,28,22,12,3,2,109,88,78,82
49007000200,140,49,007,39220,999,,,Census Tract 2,4469,1911,4279,1785,4469,4279,4129,3859,11,10,55,46,18,7,5,2,166,212,85,140
49007000300,140,49,007,39220,999,,,Census Tract 3,4461,1843,4192,1725,4461,4192,3999,3723,36,19,60,73,53,31,4,2,166,224,143,120
49007000500,140,49,007,39220,999,,,Census Tract 5,4248,2392,3878,1939,4248,3878,4004,3649,12,11,49,38,10,15,9,1,73,118,91,42
49007000600,140,49,007,39220,999,,,Census Tract 6,4416,2015,4427,1984,4416,4427,4078,3944,17,7,55,29,22,5,2,0,134,327,108,112
49011125102,140,49,011,36260,482,,,Census Tract 1251.02,4143,1304,3949,1128,4143,3949,3877,3780,42,22,6,3,70,57,13,9,65,36,70,38
49011125200,140,49,011,36260,482,,,Census Tract 1252,3319,1004,4776,1160,3319,4776,2752,3718,216,408,8,48,82,152,4,19,83,211,174,216
49011125301,140,49,011,36260,482,,,Census Tract 1253.01,5108,1821,5195,1828,5108,5195,4254,4515,74,79,35,48,122,142,15,8,368,246,240,157
49011125303,140,49,011,36260,482,,,Census Tract 1253.03,10657,3037,4767,1370,10657,4767,9640,4439,144,34,44,26,197,47,33,14,300,148,299,59
49011125401,140,49,011,36260,482,,,Census Tract 1254.01,11309,3199,5610,1554,11309,5610,10511,5364,79,21,41,16,191,60,33,1,174,54,280,94
49011125403,140,49,011,36260,482,,,Census Tract 1254.03,11439,3110,4171,1168,11439,4171,10569,3966,97,11,47,10,192,56,46,8,221,52,267,68
49011125405,140,49,011,36260,482,,,Census Tract 1254.05,9412,2496,3800,1030,9412,3800,8090,3358,240,71,61,38,220,124,49,10,396,95,356,102
49011125406,140,49,011,36260,482,,,Census Tract 1254.06,7491,1947,3025,803,7491,3025,6737,2672,77,57,12,31,209,98,9,7,226,75,221,81
49011125501,140,49,011,36260,482,,,Census Tract 1255.01,5759,1768,4859,1517,5759,4859,4918,4396,68,83,44,25,156,91,48,6,346,148,179,110
49011125502,140,49,011,36260,482,,,Census Tract 1255.02,5411,1684,4851,1552,5411,4851,4387,4198,69,76,26,43,124,107,21,2,493,267,291,158
49011125600,140,49,011,36260,482,,,Census Tract 1256,1217,60,1265,63,1217,1265,543,680,243,229,50,106,48,64,67,11,263,84,3,91
49011125702,140,49,011,36260,482,,,Census Tract 1257.02,3839,1452,3767,1374,3839,3767,3338,3197,45,61,24,55,76,88,25,9,190,225,141,128
49011125801,140,49,011,36260,482,,,Census Tract 1258.01,6703,2528,6589,2399,6703,6589,5257,5450,203,195,42,53,185,185,69,40,657,453,290,213
49011125804,140,49,011,36260,482,,,Census Tract 1258.04,6377,1956,6359,1720,6377,6359,5766,5893,107,86,19,16,167,136,39,12,87,84,192,132
49011125805,140,49,011,36260,482,,,Census Tract 1258.05,6167,2165,5286,1812,6167,5286,5053,4482,187,106,30,33,223,194,48,29,386,279,240,163
49011125807,140,49,011,36260,482,,,Census Tract 1258.07,3114,1255,2853,1172,3114,2853,2511,2428,76,83,16,34,68,97,26,9,289,106,128,92
49011125808,140,49,011,36260,482,,,Census Tract 1258.08,5616,2776,5150,2593,5616,5150,4601,4383,165,151,47,61,182,176,47,18,363,192,211,166
49011125906,140,49,011,36260,482,,,Census Tract 1259.06,6987,2181,6420,1836,6987,6420,6360,6040,64,41,53,24,97,99,29,22,222,89,162,105
49011125908,140,49,011,36260,482,,,Census Tract 1259.08,4770,1538,4843,1421,4770,4843,4397,4521,64,58,16,12,64,67,15,4,92,96,122,81
49011126001,140,49,011,36260,482,,,Census Tract 1260.01,4901,1737,3926,1419,4901,3926,4005,3577,73,44,50,28,74,40,33,5,468,129,198,99
49011126002,140,49,011,36260,482,,,Census Tract 1260.02,5058,1395,4052,1139,5058,4052,4678,3691,27,46,17,29,54,42,4,6,153,134,125,102
49011126101,140,49,011,36260,482,,,Census Tract 1261.01,6367,2095,6099,1917,6367,6099,6058,5869,33,29,13,32,44,24,14,9,100,68,105,68
49011126105,140,49,011,36260,482,,,Census Tract 1261.05,6834,1771,6293,1444,6834,6293,6527,6112,21,15,28,3,77,64,16,8,58,27,107,64
49011126303,140,49,011,36260,482,,,Census Tract 1263.03,4408,1247,4074,1046,4408,4074,4220,3976,11,3,17,13,45,36,8,1,49,16,58,29
49011126304,140,49,011,36260,482,,,Census Tract 1263.04,5962,1727,5638,1470,5962,5638,5664,5497,25,14,5,1,67,30,16,16,73,33,112,47
49011126305,140,49,011,36260,482,,,Census Tract 1263.05,2153,684,2286,643,2153,2286,2071,2208,11,3,4,4,23,26,1,10,12,10,31,25
49011126306,140,49,011,36260,482,,,Census Tract 1263.06,6883,2622,5533,1957,6883,5533,6455,5337,27,15,27,13,79,42,20,23,133,39,142,64
49011126402,140,49,011,36260,482,,,Census Tract 1264.02,3381,1062,3386,945,3381,3386,3208,3268,3,3,5,4,74,71,6,1,54,8,31,31
49011126405,140,49,011,36260,482,,,Census Tract 1264.05,3992,1156,3798,1042,3992,3798,3705,3569,31,2,4,20,99,56,20,20,43,69,90,59
49011126406,140,49,011,36260,482,,,Census Tract 1264.06,4311,1476,4101,1330,4311,4101,3882,3855,24,2,26,22,76,60,71,21,117,75,115,63
49011126500,140,49,011,36260,482,,,Census Tract 1265,6128,2035,6331,1893,6128,6331,5833,6074,35,23,18,27,51,63,41,36,52,50,98,58
49011126600,140,49,011,36260,482,,,Census Tract 1266,5056,1981,5116,1876,5056,5116,4619,4857,32,17,26,20,87,54,58,19,127,79,107,70
49011126700,140,49,011,36260,482,,,Census Tract 1267,3900,1688,3816,1506,3900,3816,3497,3572,34,23,21,21,43,29,81,6,118,94,106,71
49011126801,140,49,011,36260,482,,,Census Tract 1268.01,3213,1077,3190,1035,3213,3190,3039,3070,22,14,10,1,46,42,15,6,48,16,33,41
49011126802,140,49,011,36260,482,,,Census Tract 1268.02,4892,1593,5179,1574,4892,5179,4623,4990,25,2,8,7,80,86,46,15,33,16,77,63
49011127002,140,49,011,36260,482,,,Census Tract 1270.02,6738,2402,2711,1082,6738,2711,5461,2542,59,7,58,44,161,32,169,0,582,48,248,38
49011127004,140,49,011,36260,482,,,Census Tract 1270.04,7756,2309,5099,1485,7756,5099,7142,4923,41,14,25,5,116,33,51,8,191,48,190,68
49013940300,140,49,013,99999,999,,,Census Tract 9403,3847,4101,3186,2874,3847,3186,3647,3062,10,7,25,36,11,7,5,5,85,32,64,37
49013940500,140,49,013,99999,999,,,Census Tract 9405,7632,2576,5411,1911,7632,5411,6436,4755,24,10,534,380,29,10,22,0,262,85,325,171
49013940600,140,49,013,99999,999,,,Census Tract 9406,7128,2816,5774,2203,7128,5774,6506,5139,10,4,283,353,12,13,24,3,144,111,149,151
49015976500,140,49,015,99999,999,,,Census Tract 9765,3462,1391,7485,3413,3462,7485,3106,7151,13,17,26,92,13,25,0,4,264,122,40,74
49017000400,140,49,017,99999,999,,,Census Tract 4,2795,1760,2539,1254,2795,2539,2593,2423,9,0,50,37,53,11,4,2,60,15,26,51
49019000200,140,49,019,99999,999,,,Census Tract 2,4392,2104,4355,1940,4392,4355,3776,3908,18,17,254,263,37,10,2,4,227,88,78,65
49019000300,140,49,019,99999,999,,,Census Tract 3,4833,2712,4128,2121,4833,4128,4431,3952,11,4,127,64,40,9,1,0,117,53,106,46
49021110100,140,49,021,16260,999,,,Census Tract 1101,3951,3621,3644,2819,3951,3644,3766,3514,6,3,25,19,16,5,0,5,97,61,41,37
49021110200,140,49,021,16260,999,,,Census Tract 1102,7387,2297,4931,1562,7387,4931,6819,4665,8,6,120,102,33,10,28,14,219,82,160,52
49021110300,140,49,021,16260,999,,,Census Tract 1103,3508,1518,2496,1065,3508,2496,3170,2278,9,12,57,58,13,1,11,1,175,92,73,54
49021110400,140,49,021,16260,999,,,Census Tract 1104,4657,1532,4459,1476,4657,4459,4293,4136,51,13,68,58,34,81,21,26,77,59,113,86
49021110500,140,49,021,16260,999,,,Census Tract 1105,9698,3646,6971,2363,9698,6971,8240,6198,46,30,443,341,64,44,20,21,614,170,271,167
49021110600,140,49,021,16260,999,,,Census Tract 1106,6029,2799,4721,2103,6029,4721,5413,4370,41,37,158,88,62,55,20,14,149,78,186,79
49021110701,140,49,021,16260,999,,,Census Tract 1107.01,6538,2424,3921,1270,6538,3921,6048,3740,52,10,83,42,71,32,29,6,95,34,160,53
49021110702,140,49,021,16260,999,,,Census Tract 1107.02,4395,1830,2635,959,4395,2635,4099,2514,14,7,65,28,56,22,10,4,76,23,75,35
