GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
51001090100,140,51,001,99999,999,,,Census Tract 901,2941,4517,4324,3968,2941,4324,2804,4191,23,41,8,12,17,12,0,0,7,16,82,52
51001090400,140,51,001,99999,999,,,Census Tract 904,6234,2687,6136,2470,6234,6136,3115,2535,2313,2866,24,13,30,21,10,17,669,617,73,65
51001090500,140,51,001,99999,999,,,Census Tract 905,2849,1361,2882,1363,2849,2882,1769,1789,745,899,25,9,27,7,7,0,213,148,63,28
51001090600,140,51,001,99999,999,,,Census Tract 906,4401,2558,4754,2410,4401,4754,3467,3720,789,948,10,9,25,10,4,1,50,33,56,31
51001090700,140,51,001,99999,999,,,Census Tract 907,4907,2571,5054,2392,4907,5054,3008,2955,1704,1980,28,5,27,11,4,0,78,68,58,32
51001090800,140,51,001,99999,999,,,Census Tract 908,3336,1825,3641,1798,3336,3641,1774,1851,1384,1580,12,13,9,2,0,0,125,165,32,28
51001980100,140,51,001,99999,999,,,Census Tract 9801,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51001980200,140,51,001,99999,999,,,Census Tract 9802,5,1,7,0,5,7,5,4,0,2,0,0,0,0,0,0,0,0,0,0
51001990100,140,51,001,99999,999,,,Census Tract 9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51001990200,140,51,001,99999,999,,,Census Tract 9902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51003010100,140,51,003,16820,999,,,Census Tract 101,5190,2273,4587,1826,5190,4587,4898,4419,116,91,8,7,52,23,1,0,30,8,85,39
51003010201,140,51,003,16820,999,,,Census Tract 102.01,4664,1821,4353,1606,4664,4353,3937,3991,415,260,17,6,94,45,0,0,59,14,142,35
51003010202,140,51,003,16820,999,,,Census Tract 102.02,3077,1348,2872,1189,3077,2872,2898,2633,62,171,5,3,41,29,0,0,33,9,38,23
51003010300,140,51,003,16820,999,,,Census Tract 103,8098,3204,6589,2480,8098,6589,6722,5930,434,270,14,9,626,258,2,0,94,49,206,73
51003010401,140,51,003,16820,999,,,Census Tract 104.01,4331,2062,3623,1622,4331,3623,3718,3155,452,405,8,1,39,21,2,0,27,19,85,19
51003010500,140,51,003,16820,999,,,Census Tract 105,4543,2497,2622,950,4543,2622,3740,2162,477,378,9,2,170,24,5,1,66,8,76,46
51003010601,140,51,003,16820,999,,,Census Tract 106.01,5817,2665,5109,2276,5817,5109,4229,4167,793,565,29,16,289,231,10,1,258,47,209,79
51003010602,140,51,003,16820,999,,,Census Tract 106.02,2697,1298,2369,1108,2697,2369,2277,1932,234,262,5,7,121,107,0,0,6,22,54,36
51003010700,140,51,003,16820,999,,,Census Tract 107,6145,2814,5735,2755,6145,5735,3526,3960,1608,1255,17,7,336,258,8,0,394,89,256,166
51003010800,140,51,003,16820,999,,,Census Tract 108,5325,2870,5370,2727,5325,5370,3565,4367,1004,567,44,9,214,245,1,0,312,69,185,113
51003010901,140,51,003,16820,999,,,Census Tract 109.01,1900,840,11025,1047,1900,11025,1149,8228,91,983,4,10,600,1433,0,0,15,117,41,254
51003010902,140,51,003,16820,999,,,Census Tract 109.02,3191,514,738,480,3191,738,1965,430,329,146,5,1,693,139,1,0,47,4,151,18
51003010903,140,51,003,16820,999,,,Census Tract 109.03,2613,25,135,113,2613,135,1960,109,174,11,2,1,340,9,0,2,20,0,117,3
51003011000,140,51,003,16820,999,,,Census Tract 110,6292,2678,6258,2441,6292,6258,5891,5986,167,121,4,4,154,84,1,0,14,13,61,50
51003011100,140,51,003,16820,999,,,Census Tract 111,7024,2853,4551,1811,7024,4551,6333,4120,292,272,6,7,214,47,0,0,45,42,134,62
51003011201,140,51,003,16820,999,,,Census Tract 112.01,4092,1884,3263,1421,4092,3263,3713,2919,210,250,6,7,25,39,0,0,74,28,64,19
51003011302,140,51,003,16820,999,,,Census Tract 113.02,3765,1700,2865,1206,3765,2865,2254,2384,560,344,24,7,202,37,4,0,609,49,112,39
51005080100,140,51,005,99999,999,,,Census Tract 801,3362,1699,3660,1727,3362,3660,3169,3482,132,134,11,5,1,1,2,0,11,6,36,28
51005080201,140,51,005,99999,999,,,Census Tract 802.01,2842,1371,3000,1339,2842,3000,2643,2791,123,149,5,8,20,25,0,0,18,10,33,17
51005080301,140,51,005,99999,999,,,Census Tract 803.01,1905,892,1975,884,1905,1975,1855,1914,33,39,1,9,2,0,0,1,0,5,14,7
51005080302,140,51,005,99999,999,,,Census Tract 803.02,1553,830,1641,711,1553,1641,1503,1603,33,28,1,1,0,4,0,0,3,4,13,1
51007930100,140,51,007,40060,999,,,Census Tract 9301,6913,2915,5994,2417,6913,5994,5168,4262,1528,1653,33,17,12,12,0,2,76,16,96,32
51007930200,140,51,007,40060,999,,,Census Tract 9302,5777,2444,5406,2192,5777,5406,4164,3783,1404,1545,23,15,15,7,4,0,84,12,83,44
51009010200,140,51,009,31340,999,,,Census Tract 102,7238,2848,7135,2610,7238,7135,5494,5321,1463,1629,45,54,37,36,0,1,44,18,155,76
51009010401,140,51,009,31340,999,,,Census Tract 104.01,3375,1462,3084,1328,3375,3084,2604,2361,587,621,44,36,17,7,1,4,32,23,90,32
