GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
53001950200,140,53,001,99999,999,,,Census Tract 9502,1738,844,1895,899,1738,1895,1524,1714,24,2,10,9,12,5,2,1,123,125,43,39
53001950400,140,53,001,99999,999,,,Census Tract 9504,2856,921,2625,841,2856,2625,1764,1440,13,15,50,33,29,26,0,0,928,988,72,123
53003960100,140,53,003,30300,999,,,Census Tract 9601,4304,1941,3769,1609,4304,3769,4117,3671,12,3,44,38,18,7,13,1,18,8,82,41
53003960200,140,53,003,30300,999,,,Census Tract 9602,4542,2072,4387,1870,4542,4387,4365,4226,20,1,40,33,24,32,7,1,16,20,70,74
53003960400,140,53,003,30300,999,,,Census Tract 9604,2165,970,1996,888,2165,1996,2009,1888,8,6,21,23,11,10,3,0,31,19,82,50
53003960500,140,53,003,30300,999,,,Census Tract 9605,3424,1584,3415,1542,3424,3415,3151,3221,15,11,60,52,25,24,5,1,46,20,122,86
53003960600,140,53,003,30300,999,,,Census Tract 9606,3413,1491,3190,1381,3413,3190,3280,3049,2,10,36,48,12,8,6,1,13,29,64,45
53005010100,140,53,005,28420,999,,,Census Tract 101,4448,1870,4635,1894,4448,4635,3940,4161,60,33,14,33,292,281,0,0,39,29,103,98
53005010202,140,53,005,28420,999,,,Census Tract 102.02,6060,3073,5985,2957,6060,5985,5118,5151,116,112,54,43,337,340,3,6,233,157,199,176
53005010300,140,53,005,28420,999,,,Census Tract 103,5010,2251,4359,1939,5010,4359,4409,4009,73,28,53,52,143,82,14,9,145,66,173,113
53005010400,140,53,005,28420,999,,,Census Tract 104,3617,1563,3543,1570,3617,3543,3135,3227,53,52,52,44,56,57,5,2,161,80,155,81
53005010500,140,53,005,28420,999,,,Census Tract 105,3022,1130,3057,1195,3022,3057,2692,2690,28,63,36,24,67,80,5,2,86,104,108,94
53005010600,140,53,005,28420,999,,,Census Tract 106,4296,1832,3666,1597,4296,3666,3707,3285,75,87,44,19,99,77,7,12,193,76,171,110
53005010703,140,53,005,28420,999,,,Census Tract 107.03,2803,1182,2083,874,2803,2083,2495,1947,20,9,49,11,34,35,10,0,90,38,105,39
53005010707,140,53,005,28420,999,,,Census Tract 107.07,2491,860,1851,636,2491,1851,2227,1731,17,8,26,10,64,31,1,0,51,33,105,35
