GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
54001965500,140,54,001,99999,999,,,Census Tract 9655,3979,1884,3812,1838,3979,3812,3905,3749,16,21,10,20,1,1,1,1,11,0,35,20
54001965700,140,54,001,99999,999,,,Census Tract 9657,5276,2626,4839,2451,5276,4839,5136,4724,22,12,28,45,3,9,0,0,1,6,86,43
54001965800,140,54,001,99999,999,,,Census Tract 9658,3770,1674,3439,1516,3770,3439,3713,3392,9,1,8,5,2,4,1,1,10,0,27,36
54003971101,140,54,003,25180,999,,,Census Tract 9711.01,4614,2017,3264,1423,4614,3264,4040,3176,286,33,7,4,61,12,0,1,68,12,152,23
54003971102,140,54,003,25180,999,,,Census Tract 9711.02,8554,3617,6052,2551,8554,6052,8060,5889,211,61,23,7,50,23,2,1,37,24,171,44
54003971201,140,54,003,25180,999,,,Census Tract 9712.01,9837,3845,6292,2670,9837,6292,8890,6087,505,83,20,15,150,36,3,1,92,12,177,55
54003971202,140,54,003,25180,999,,,Census Tract 9712.02,5845,3326,3739,2309,5845,3739,5680,3617,55,49,23,8,11,21,3,1,7,7,66,32
54003971300,140,54,003,25180,999,,,Census Tract 9713,8363,3655,7199,3083,8363,7199,6762,6384,1051,582,23,12,57,38,6,3,188,44,276,130
54003971400,140,54,003,25180,999,,,Census Tract 9714,8890,3746,6601,2748,8890,6601,7630,6013,826,419,21,22,66,26,3,1,62,21,282,99
54003971500,140,54,003,25180,999,,,Census Tract 9715,3660,1832,3690,1767,3660,3690,2881,3052,535,509,11,17,24,7,0,0,41,48,168,57
54003971600,140,54,003,25180,999,,,Census Tract 9716,4546,2242,4501,2186,4546,4501,3633,3720,606,536,19,21,33,38,3,2,109,70,143,114
54003971800,140,54,003,25180,999,,,Census Tract 9718,8175,3350,6498,2556,8175,6498,7904,6304,69,75,29,11,33,7,2,2,41,35,97,64
54003972000,140,54,003,25180,999,,,Census Tract 9720,11756,4479,7069,2620,11756,7069,9736,6300,1290,566,33,14,122,45,8,0,141,39,426,100
54003972101,140,54,003,25180,999,,,Census Tract 9721.01,4924,1961,3334,1296,4924,3334,4590,3214,161,53,9,7,20,11,0,0,53,10,91,36
54005958400,140,54,005,16620,999,,,Census Tract 9584,2145,976,2214,1020,2145,2214,2109,2182,3,3,1,1,13,13,0,0,18,1,1,14
54005958501,140,54,005,16620,999,,,Census Tract 9585.01,3238,1496,3298,1593,3238,3298,3202,3240,9,40,5,2,0,0,0,0,2,2,20,12
54005958700,140,54,005,16620,999,,,Census Tract 9587,2042,950,2092,1033,2042,2092,2020,2082,2,1,5,2,0,0,0,0,0,0,15,7
54005958800,140,54,005,16620,999,,,Census Tract 9588,3128,1396,3231,1395,3128,3231,3051,3156,44,56,2,7,1,0,1,0,3,0,26,12
54011000500,140,54,011,26580,999,,,Census Tract 5,2842,600,2647,617,2842,2647,2399,2337,288,243,6,2,97,24,4,0,9,4,39,37
54007967900,140,54,007,99999,999,,,Census Tract 9679,5303,2684,5408,2657,5303,5408,5207,5297,22,56,17,11,7,5,2,5,2,3,46,31
54007968000,140,54,007,99999,999,,,Census Tract 9680,4596,2346,4546,2270,4596,4546,4530,4488,13,9,7,12,13,9,0,0,0,1,33,27
54007968100,140,54,007,99999,999,,,Census Tract 9681,4624,2385,4748,2447,4624,4748,4522,4626,24,36,18,28,5,2,1,2,5,8,49,46
54009031101,140,54,009,44600,999,,,Census Tract 311.01,5213,2622,10703,5068,5213,10703,4979,10228,108,298,2,17,55,47,0,0,8,19,61,92
54009031102,140,54,009,44600,999,,,Census Tract 311.02,4513,2001,4683,1984,4513,4683,4440,4590,11,23,4,6,13,34,1,0,4,1,40,26
54009031200,140,54,009,44600,999,,,Census Tract 312,3308,1539,3663,1635,3308,3663,3256,3626,9,8,4,1,0,3,1,0,3,0,35,25
54009031400,140,54,009,44600,999,,,Census Tract 314,4304,2138,4585,2217,4304,4585,4164,4468,60,61,3,5,9,5,1,1,13,4,54,37
54009031600,140,54,009,44600,999,,,Census Tract 316,3875,1377,4176,1457,3875,4176,3711,4072,80,43,4,1,12,12,0,6,9,1,59,36
54011000101,140,54,011,26580,999,,,Census Tract 1.01,1723,779,1742,784,1723,1742,1641,1698,23,15,1,3,3,6,0,0,2,0,53,20
54011000200,140,54,011,26580,999,,,Census Tract 2,3055,1594,3240,1602,3055,3240,2878,3146,79,46,9,1,0,0,0,3,3,10,86,34
